Spanish	Gascon	probability
f	h	1.0
t	t	1.0
ŋ	ŋ	1.0
ˈa	ˈa	1.0
a	ɔ	0.681
l	l	0.801
m	-	0.21
s	z	0.051
x	ʒ	0.071
ɟ͡ʝ	-	0.141
ɲ	ɲ	0.861
ˈi	h_ˈi	0.061
ˈi	ˈɛ	0.111
ˈo	ˈɔ	0.081
ˈo	w_ˈe	0.091
l	-	0.152
o	w	0.192
o	j	0.202
w	-	0.102
ð	-	0.062
ð	t	0.332
ɟ͡ʝ	p_l	0.252
ɾ	-	0.172
ʝ	ʒ	0.072
ʝ	l	0.452
β	β	0.712
a	a	0.233
b	b	0.983
j	ˈi	0.153
o	ˈɔ	0.053
ɟ͡ʝ	l	0.093
ɡ	ɡ	0.923
ˈo	ˈu	0.443
θ	s	0.363
i	e	0.254
k	k	0.944
ɾ	e	0.294
ɾ	ɾ	0.374
ˈo	ˈa_w	0.234
β	-	0.14
e	e	0.855
j	-	0.125
o	e	0.125
ɣ	k	0.215
ɣ	ɣ	0.785
ʧ	t	0.355
ʧ	j_t	0.645
θ	-	0.15
i	i	0.746
n	-	0.086
n	ŋ	0.166
p	p	0.996
ð	ð	0.606
ɟ͡ʝ	<#_h	0.086
ɾ	r	0.16
ʝ	-	0.476
ˈe	ˈɛ	0.176
ˈo	w	0.056
ˈo	-	0.056
θ	ʦ	0.196
θ	z	0.246
e	ˈe	0.097
s	s	0.917
x	ʎ	0.887
ɡ	k	0.077
ˈu	ˈy	0.97
β	w	0.147
a	-	0.078
d	d	0.988
n	n	0.748
o	u	0.178
r	a_r	0.978
w	w	0.898
ɟ͡ʝ	ʒ	0.428
ˈe	-	0.218
ˈe	ˈe	0.508
ˈi	ˈi	0.778
j	j	0.689
m	m	0.79
o	-	0.239
ɲ	ŋ	0.139
