Ladin	Ladin	probability
ˈɛ_n	ˈẽ	1.0
ˈɔ_n	ˈũ	1.0
ˈo_w	ˈuː	1.0
ˈo_n	ˈũ	1.0
ˈi_n	ˈĩ	1.0
ˈi_l	ˈiː_l	1.0
ˈa_ŋ	ˈã	1.0
ˈa_s	ˈa_s	1.0
ˈa_n	ˈã	1.0
ʧ	ʧ	1.0
ʦ	s	1.0
ʥ	ʤ	1.0
ʃ	s	1.0
ɲ	ɲ	1.0
ɡ	ɡ	1.0
ŋ_k	k	1.0
ŋ	-	1.0
z	-	1.0
w_ˈɛ	ˈøː	1.0
w_t	l_t	1.0
v	v	1.0
u	-	1.0
s_#>	#>	1.0
s	s	1.0
r_t	r_t	1.0
r_n	r_n	1.0
r_e	e_r	1.0
r	r	1.0
p_l	p_j	1.0
p_#>	p_#>	1.0
p	p	1.0
n_ˈe	n	1.0
m_#>	#>	1.0
m	m	1.0
l_a	a	1.0
k_r	k_r	1.0
k_l	ʧ	1.0
k	k	1.0
j_ˈɛ	ˈeː	1.0
j_#>	ˈɛ_#>	1.0
f	f	1.0
e_n	ẽ	1.0
d_ˈe	d	1.0
d_l	ʧ	1.0
b	b	1.0
a_r	a_r	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_a	<#_a	1.0
#>	a_#>	1.0
a	a	0.954
n	n	0.929
t	t	0.909
ˈu	ˈyː	0.857
l	l	0.857
d	d	0.846
ˈe_#>	ˈa_#>	0.833
o	u	0.818
ˈe_j	ˈeː	0.8
ʨ	k	0.783
i	-	0.714
j	-	0.692
ˈɔ	ˈɔ	0.619
ʒ	ʒ	0.6
<#	<#_v	0.6
ˈa	ˈa	0.577
ˈo	ˈu	0.562
ˈi	ˈi	0.556
ˈɛ	ˈɛ	0.526
e	e	0.483
ˈe	ˈɛ	0.45
ˈa	ˈɑː	0.423
e	-	0.414
ʒ	z	0.4
<#	<#_ˈa	0.4
w	ˈoː	0.375
w	-	0.375
ˈi	ˈiː	0.333
j	j	0.308
i	e	0.286
ˈo	ˈuː	0.25
ˈe	ˈe	0.25
w	l	0.25
ˈɔ	-	0.238
ˈɛ	ˈɑː	0.211
ˈe_j	ˈiː	0.2
ˈe	-	0.2
ˈo	-	0.188
o	y	0.182
ˈe_#>	ˈɑː_#>	0.167
ˈɛ	-	0.158
ˈɔ	ˈu	0.143
ˈu	ˈy	0.143
ʨ	ʧ	0.13
ˈi	j_ˈøː	0.111
e	i	0.103
ˈe	ˈi	0.1
t	ʧ	0.091
ʨ	-	0.087
l	j	0.082
d	t	0.077
d	-	0.077
n	-	0.071
l	-	0.061
ˈɛ	ˈɑː_d	0.053
ˈɛ	ˈe	0.053
