Bavarian	Danish	probability
a	ə	0.347
a	ɐ	0.338
a	-	0.113
a	wˀ	0.099
a	w	0.051
b̥	b̥	0.676
b̥	-	0.233
b̥	b̥_j	0.068
d	ð̞ˠ	1.0
d̥	-	0.609
d̥	d̥	0.226
d̥	ʦʰ	0.123
d̥_a	ɐ	1.0
f	f	0.61
f	-	0.222
f	b̥	0.11
h	h	0.901
h	-	0.093
i	ə	0.425
i	i	0.227
i	lˀ	0.121
j	l	0.426
j	lˀ	0.309
j	-	0.148
j	ə	0.072
j_f	lˀ	1.0
k	j	0.306
k	k	0.306
kʰ	kʰ	0.956
l	l	0.854
l	-	0.054
l	ð̞ˠ	0.054
m	m	0.694
m	-	0.111
m	mˀ	0.1
m	w	0.066
n	n	0.4
n	-	0.258
n	ə	0.215
n_d̥	nˀ	1.0
p	ð̞ˠ	1.0
p͡f	b̥	0.871
r	ʁ	0.797
r	-	0.143
r	ɐˀ	0.056
s	s	0.568
s	ð̞ˠ	0.367
t	-	0.348
t	t	0.301
t	ð̞ˠ	0.204
t	d̥	0.139
x	j	0.496
x	s	0.242
x	w	0.242
x_t	t	1.0
ç	-	0.53
ç	k	0.461
ŋ	ŋˀ	0.293
ŋ	ŋ	0.205
ŋ	ə	0.115
ŋ	-	0.079
ŋ	jˀ	0.079
ŋ	k	0.079
ŋ	w	0.079
ɐ	ɐ	0.642
ɐ	-	0.232
ɐ	ˈi	0.054
ə	-	0.562
ə	ə	0.253
ə	ʋ	0.095
ɡ̊	ɡ̊	0.472
ɡ̊	-	0.452
ɡ̊	k	0.063
ɪ	i	1.0
ʃ	s	0.537
ʃ	s_k	0.387
ʃ	f	0.063
ʋ	ʋ	0.707
ʋ	-	0.206
ʋ	ˈyː	0.081
ʋ_ˈo	ˈu	1.0
ʦ	ʦʰ	0.499
ʦ	t	0.263
ʦ	-	0.218
ʦ_ʋ	ʦʰ	1.0
ˈa	ˈa	0.48
ˈa	w	0.138
ˈa	ˈʌ	0.097
ˈa	ˈɑ	0.094
ˈa	ˈøː	0.062
ˈa	ˈɛ	0.061
ˈai̯	ˈiˀ	0.449
ˈai̯	ˈyˀ	0.111
ˈai̯	ˈy	0.084
ˈai̯	ˈiː	0.069
ˈai̯	ˈɛ	0.065
ˈai̯	ˈɑ	0.051
ˈau̯	ˈuˀ	0.725
ˈau̯	ˈoˀ	0.135
ˈau̯	ˈɔ	0.056
ˈaː	ˈœˀ	0.302
ˈaː	ˈa	0.229
ˈaː	ˈoː	0.229
ˈaː	ˈʌˀ	0.229
ˈe	ˈɛ	0.261
ˈe	ˈøː	0.178
ˈe	ˈuˀ	0.102
ˈe	ˈæ	0.102
ˈe	ˈœː	0.102
ˈe	ˈɛˀ	0.102
ˈe	j	0.075
ˈe	ˈyˀ	0.053
ˈeɐ̯	ˈiˀ	0.53
ˈeɐ̯	ˈʌ	0.246
ˈeː	ˈiˀ	0.467
ˈeː	ˈɑ	0.178
ˈeː	ˈeˀ	0.126
ˈi	ˈe	0.367
ˈi	ˈiˀ	0.084
ˈi	ˈiː	0.079
ˈi	ˈɛ	0.06
ˈi	ˈɛˀ	0.06
ˈi	ˈʌ	0.06
ˈiɐ̯	ˈyˀ	0.326
ˈiɐ̯	ˈeˀ	0.187
ˈiɐ̯	ˈœ	0.187
ˈiɐ̯	ˈyː	0.115
ˈiɐ̯	ˈœˀ	0.115
ˈiː	ˈyː	0.683
ˈiː	ˈe	0.182
ˈo	ˈa	0.177
ˈo	ˈeː	0.134
ˈo	ˈiː	0.134
ˈo	ˈœ	0.134
ˈo	ˈɛˀ	0.134
ˈo	ˈu	0.086
ˈo	ˈɛ	0.086
ˈo	ˈʌ	0.061
ˈou̯	ˈœˀ	0.74
ˈou̯	ˈʌˀ	0.121
ˈoɐ̯	ˈeˀ	0.422
ˈoɐ̯	ˈo	0.259
ˈoɐ̯	ˈœˀ	0.079
ˈoɐ̯	ˈoˀ	0.059
ˈoː	ˈɑː	0.24
ˈoː	ˈa	0.158
ˈoː	ˈɒˀ	0.158
ˈoː	ˈɛː	0.158
ˈoː	ˈɒ	0.072
ˈoː	ˈuˀ	0.067
ˈoː	ˈæˀ	0.067
ˈu	ˈœ	0.235
ˈu	ˈɔ	0.174
ˈu	ˈy	0.115
ˈu	ˈʌ	0.115
ˈu	ˈu	0.084
ˈu	ˈuː	0.083
ˈu	ˈe	0.079
ˈu	ˈɔˀ	0.055
ˈuɐ̯	ˈoˀ	0.685
ˈuɐ̯	ˈo	0.157
ˈuɐ̯	ˈoː	0.157
ˈy	ˈoː	0.216
ˈɒ	ˈa	0.435
ˈɒ	ˈe	0.153
ˈɒ	ˈɑˀ	0.094
ˈɒ	ˈoː	0.058
ˈɒː	ˈɛ	0.325
ˈɒː	ˈɔˀ	0.151
ˈɔ	ˈɛ	0.34
ˈɔ	ˈʌ	0.17
ˈɔ	ˈɔː	0.113
ˈɔ	ˈɒː	0.104
ˈɔ	ˈɔˀ	0.104
ˈɛ	ˈɛ	0.196
ˈɛ	ˈʌ	0.196
ˈɛ	ˈe	0.13
ˈɛ	ˈœ	0.129
ˈɛ	ˈɛː	0.129
ˈɛ	ˈœˀ	0.086
ˈɛː	ˈeˀ	0.216
ˈʏ	ˈœ	0.216
