Old High German	Danish	probability
ˈɑ_r	ˈɑˀ	1.0
ˈu_r	ˈoˀ	1.0
ˈou̯	-	1.0
ˈie̯	ˈɛˀ	1.0
ˈeː	ˈeˀ	1.0
ɡ_ˈɛ	ɡ̊	1.0
ɡ_ɑ	jˀ	1.0
ɛ_r	ɐ	1.0
ɛ	-	1.0
ə	-	1.0
ɑ_ɡ	i	1.0
ɑ_r	ɐ	1.0
ɑ_n	ə	1.0
ŋ_ɡ	ŋ	1.0
xː	-	1.0
w_ˈo	ˈu	1.0
w_ˈi	ʋ	1.0
v	ʁ	1.0
u	-	1.0
s̻ː	ð̞ˠ	1.0
rː	ˈœˀ	1.0
r_ˈou̯	ʁ	1.0
r_ˈiː	ʁ	1.0
r_ɑ	ɐ	1.0
r_n	ɐˀ_n	1.0
r_i	ɐ	1.0
p͡f	pʰ	1.0
p	b̥	1.0
oː	-	1.0
ou̯	ˈøˀ	1.0
n_t	nˀ	1.0
n_d	n	1.0
mː	ˈø_m	1.0
lː	lˀ	1.0
l_d	lˀ	1.0
l_b	lˀ	1.0
kː	ɡ̊	1.0
kʰ	kʰ	1.0
k	ɡ̊	1.0
h_ɑ	ˈɔˀ	1.0
fː	b̥	1.0
f_ˈo	f	1.0
f_ɑ	b̥_ə	1.0
f	f	1.0
eː	-	1.0
e_n	ə	1.0
d_ˈo	ʨ	1.0
b_ɑ	w	1.0
s	s	0.956
s̻	ð̞ˠ	0.86
h	h	0.86
m	m	0.833
i	-	0.831
nː	n	0.768
l	l	0.75
ˈiː	ˈiˀ	0.736
ˈei̯	ˈeˀ	0.711
w	ʋ	0.688
ŋ	ŋˀ	0.667
b	b̥	0.659
n	n	0.653
ʦ	ʦʰ	0.636
ˈuː	ˈuˀ	0.631
d	ʦʰ	0.605
x	ˈɛ	0.595
o	ə	0.585
x_t	d̥	0.577
ˈiu̯	-	0.549
ɑ	ə	0.508
ˈi	ˈe	0.486
ɡ	w	0.481
ˈuo̯	ˈoˀ	0.478
ˈo	ˈo	0.474
t	ð̞ˠ	0.463
ˈe	-	0.46
ˈiu̯	ˈyˀ	0.451
x_t	ɡ̊_d̥	0.423
r	ɐ	0.415
o	-	0.415
ˈoː	ˈøˀ	0.408
x	ɡ̊	0.405
ˈuo̯	-	0.402
t	d̥	0.401
ˈɑ	ˈæ	0.384
ˈoː	ˈøː	0.374
ˈɑː	ˈɒˀ	0.372
ˈu	ˈu	0.371
ˈio̯	ˈyː	0.369
ʦ	d̥	0.364
ˈe	ˈe	0.36
ˈio̯	ˈyˀ	0.355
ˈɑː	ˈɔˀ	0.352
b	w	0.341
ŋ	-	0.333
ɑ	-	0.328
r	ʁ	0.324
ˈu	-	0.32
w	-	0.312
ˈɛ	ˈɛ	0.308
ɡ	j	0.308
ˈo	-	0.297
ˈɑː	ˈɔː	0.277
ˈio̯	-	0.276
ˈiː	ˈiː	0.264
r	ɐˀ	0.26
d	-	0.257
ˈɑ	ˈɑ	0.246
nː	nˀ	0.232
ˈɛ	-	0.231
ˈo	ˈu	0.229
l	lˀ	0.222
ˈoː	ˈœˀ	0.218
ˈu	ˈœ	0.217
ɡ	-	0.211
n	ə	0.202
ˈuː	ˈuː	0.191
ˈe	ˈœː	0.18
ˈuː	ˈɔ	0.178
ˈei̯	j	0.172
i	ɐ	0.169
m	mˀ	0.167
ˈɑ	-	0.157
ˈɛ	j_ˈɛ	0.15
ˈɛ	j	0.15
s̻	ˈøˀ_ð̞ˠ	0.14
h	j	0.14
d	ð̞ˠ	0.138
t	-	0.137
ˈi	ˈiˀ	0.136
ɑ	w	0.131
ˈi	ˈɛ	0.127
ˈi	ˈi	0.127
ˈuo̯	ˈøː	0.12
ˈei̯	-	0.118
ˈu	ˈʌ	0.092
ˈɛ	ˈɑ	0.081
ˈɛ	ˈe	0.081
n	nˀ	0.079
ˈi	-	0.075
n	-	0.066
ˈɑ	ˈɛː	0.063
ˈɑ	ˈʌ	0.057
ˈɑ	ˈe	0.057
