West Flemish	Alsatian	probability
b	b̥	1.0
d	d̥	0.598
d	t	0.305
d	-	0.093
f	b̥	0.574
f	p͡f	0.288
h	x	0.483
h	-	0.207
h	ʃ	0.153
h	j	0.082
h	k	0.061
j	j	0.683
j	ˈəi̯	0.226
k	kʰ	0.481
k	-	0.215
k	ʃ	0.163
k	x	0.06
k	k	0.046
l	l	1.0
m	m	1.0
n	n	0.664
n	ə	0.29
n	-	0.045
p	f	0.454
p	p͡f	0.336
p	p	0.193
s	ʃ	0.593
s	s	0.334
s	k_s	0.067
t	t	0.41
t	s	0.196
t	ʦ	0.184
t	d̥	0.135
t	-	0.065
v	f	0.889
v	v	0.074
v	-	0.044
w	l	0.683
w	-	0.226
z	s	0.808
z	ʃ	0.188
ç	-	0.251
ŋ	ŋ	0.914
ŋ	-	0.083
ə	-	0.828
ə	ə	0.083
ə	i	0.081
ɦ	ɡ̊	0.495
ɦ	k	0.176
ɦ	j	0.104
ɦ	-	0.069
ɦ	h	0.069
ɪ	i	0.501
ɾ	ʁ	0.952
ɾ	-	0.048
ɾ_s	ʃ	1.0
ʃ	ʃ	0.251
ʋ	ʋ	0.692
ʋ	-	0.172
ʋ	w	0.127
ˈeː	ˈe	0.228
ˈeː	ˈəi̯	0.173
ˈeː	ˈæː	0.15
ˈeː	ˈæ	0.141
ˈeː	ˈiː	0.131
ˈi	ˈiː	0.558
ˈi	ˈei̯	0.219
ˈi	ˈeː	0.219
ˈiə̯	ˈiː	0.374
ˈiə̯	ˈei̯	0.223
ˈiə̯	ˈeː	0.165
ˈiə̯	ˈi	0.077
ˈiə̯	ˈɒ	0.075
ˈoː	ˈoː	0.307
ˈoː	ˈo	0.28
ˈoː	ˈʊː	0.173
ˈoː	ˈeː	0.109
ˈoː	ˈi	0.063
ˈu	ˈu	0.42
ˈu	ˈɒ_l	0.366
ˈu	ˈyː	0.103
ˈu	ˈɔi̯	0.076
ˈuə̯	ˈʊː	0.547
ˈuə̯	ˈiː	0.262
ˈuə̯	ˈøː	0.179
ˈyː	ˈyː	0.521
ˈyː	ˈi	0.336
ˈyː	ˈøi̯	0.092
ˈæ	ˈi	0.287
ˈæ	ˈæ	0.259
ˈæ	ˈiː	0.149
ˈæ	ˈeː	0.149
ˈæ	ˈe	0.107
ˈøː	ˈɒː	0.361
ˈøː	ˈoː	0.361
ˈøː	ˈø	0.208
ˈœ	ˈo	0.328
ˈœ	ˈu	0.2
ˈœ	ˈiː	0.138
ˈœ	w	0.125
ˈœ	ˈi	0.125
ˈɑ	ˈɒ	0.623
ˈɑ	ˈɒː	0.376
ˈɒː	ˈɒ	0.374
ˈɒː	ˈoː	0.357
ˈɒː	ˈæː	0.12
ˈɒː	ˈɒː	0.087
ˈɒː	ˈaː	0.046
ˈɔ	ˈo	0.447
ˈɔ	ˈu	0.213
ˈɔ	ˈɒ	0.162
ˈɔ	ˈoː	0.162
ˈɛ	ˈe	0.457
ˈɛ	ˈiː	0.134
ˈɛ	ˈi	0.129
ˈɛ	ˈaː	0.092
ˈɛ	ˈəi̯	0.089
ˈɛː	ˈəi̯	0.699
ˈɛː	ˈeː	0.204
ˈɪ	ˈi	0.847
ˈɪ	-	0.083
ˈɪ	ˈe	0.065
ˈʏ	ˈu	0.251
