Ripuarian	Elfdalian	probability
ˈʏ_v	ʏ	1.0
ˈʏ	-	1.0
ˈʊ	ˈʉə̯	1.0
ˈɔʊ̯	-	1.0
ˈøː_s	ɑ̃	1.0
ˈøː	ˈyːœ̯	1.0
ˈøʏ̯	ˈʏː	1.0
ˈyː_ɕ	rː	1.0
ˈy	ˈɛ	1.0
ˈu	-	1.0
ˈiː_ɐ	ˈɪ̃ː	1.0
ˈi	ˈɪ	1.0
ˈeɪ̯	-	1.0
ˈa_ɫ	ˈɔː	1.0
ʃ_l	l̥	1.0
ʀ_ˈøː	r	1.0
ɣ̊	ɣ	1.0
ɣ	-	1.0
ɡ̊	d	1.0
ə_f	v	1.0
ŋ_k	kː	1.0
v̥	v	1.0
n_z̥	sː	1.0
e	ˈɛ_tː	1.0
b	b	1.0
ʀ	r	0.94
f	f	0.914
z	s	0.881
m	m	0.864
l	ɽ	0.836
ˈɛː	-	0.8
s	t	0.737
j	ɡ	0.702
ə	ɑ	0.689
ʋ	w	0.667
ˈe	ˈɪ	0.656
d̥	ð	0.651
n	n	0.63
ˈœ	ˈʉ	0.626
k	kʰ	0.622
ˈo	ˈʉ	0.609
ʦ	tʰ	0.604
ˈuː	ˈɑːu̯	0.578
t	t	0.576
p	p	0.573
ɐ	ɛ_r	0.552
ˈɔː	ˈɔː	0.539
v	v	0.527
x	k	0.511
ˈɔ	ˈʉ	0.5
ˈɔ	-	0.5
ˈyː	ˈʏː	0.5
ˈyː	-	0.5
x	-	0.489
v	-	0.473
ˈɔː	-	0.461
ʃ	s	0.442
ˈɪ	ˈɪ	0.44
ɕ	ɣ	0.429
ɕ	k	0.429
p	pː	0.427
ˈiː	ˈɑːi̯	0.417
ˈiː	j	0.411
ɫ	l	0.393
ˈo	-	0.391
ˈoː	ˈʉːə̯	0.387
ˈa	ˈɑ	0.38
ˈœ	ˈʏ	0.374
ˈaː	ˈɑː	0.361
ˈaː	ˈɑ	0.351
d	d	0.347
ˈɛ	-	0.341
ˈɪ	-	0.339
d	tʰ	0.337
ʃ	s_ʨ	0.296
ˈaː	-	0.289
ˈa	-	0.288
n	nː	0.288
ˈɛ	ˈæ	0.283
ŋ	n	0.283
ˈoː	ˈʉə̯	0.276
t	-	0.274
ˈuː	ˈœː	0.263
s	-	0.263
ʃ	s_k	0.262
ŋ	ŋ_ɡ	0.257
ɫ	lː	0.256
ɐ	r	0.251
ˈeː	ˈiːe̯	0.231
ʦ	-	0.223
ˈɪ	ˈɪː	0.221
ɫ	ˈʉːə̯	0.209
ˈeː	j	0.201
ˈɛː	ˈæ	0.2
j	ˈʉːə̯_ɣ	0.199
ˈeː	ˈʉːə̯	0.194
d̥	d	0.194
ʋ	w_ˈɛː	0.192
d	ð	0.185
ˈɛ	ˈɑ	0.184
k	k	0.175
ˈoː	ˈʉː	0.173
ʦ	r_t	0.173
ˈiː	-	0.172
ˈe	ˈɪː	0.169
ˈoː	-	0.164
l	-	0.164
ŋ	ŋ	0.161
ˈuː	-	0.159
d̥	r_d	0.156
t	tː	0.15
ˈɛ	j	0.149
ŋ	nː	0.147
k	ʨ	0.146
ə	ɔ	0.145
ˈa	ˈɔ	0.144
ɕ	tː	0.143
ɫ	ɛ_ɽ	0.142
ʋ	-	0.141
m	mː	0.136
ˈeː	j_ˈʉːə̯	0.13
z	s_j	0.119
ˈa	ˈɑː	0.112
ə	-	0.111
ŋ	n_d	0.105
ˈe	ˈɛ	0.104
ɐ	-	0.1
j	ʥ	0.099
ɐ	r_ɑ	0.097
ˈeː	ˈɛ	0.096
ˈeː	ˈɪː	0.086
f	v	0.086
n	ˈɔ̃ː	0.083
ˈa	ˈo	0.075
ˈe	ˈo	0.071
d	-	0.07
ˈeː	-	0.061
d	d_j	0.061
ʀ	-	0.06
k	ʥː	0.057
