Aragonese	Aragonese	probability
θ_#>	θ_#>	1.0
θ	θ	1.0
β_ˈa	β_ˈa	1.0
ˈu_ɾ	ˈu_ɾ	1.0
ˈi_n	ˈi_ɲ	1.0
ˈe_ɾ	ɾ	1.0
ˈe_n	ˈe	1.0
ʧ	ʃ	1.0
ʎ_o	l_ʊ	1.0
ɾ_β	ɾ_β	1.0
ɾ_ˈe	ɾ_ˈe	1.0
ɾ_k	ɾ_k	1.0
ɾ_e	ɪ	1.0
ɾ_a	ɾ_ɐ	1.0
ɾ_#>	ɾ_#>	1.0
ɣ	ɣ	1.0
ɡ	ɡ	1.0
ŋ_ɡ	ɲ	1.0
ŋ	ŋ	1.0
z	ɟ	1.0
w_ˈa	w_ˈa	1.0
w_#>	ʊ_#>	1.0
t_a	t_ɐ	1.0
s_ˈe	s_ˈe	1.0
s_a	s_ɐ	1.0
s_#>	s_#>	1.0
s	s	1.0
r	r	1.0
p_l	ʧ	1.0
o_l	o	1.0
o_#>	#>	1.0
n_o	ŋ	1.0
n_a_#>	#>	1.0
m_b	m	1.0
m	m	1.0
l_a	ɐ	1.0
l_#>	l_#>	1.0
j_ˈe	ˈɛ	1.0
f_l	ʧ	1.0
f	f	1.0
e_ʝ	ˈe	1.0
e_#>	ɪ_#>	1.0
d	d	1.0
b	b	1.0
<#_θ	<#_θ	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʧ	<#	1.0
<#_ɡ	<#	1.0
<#_t	<#_t	1.0
<#_o	<#_o	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_e	<#_e	1.0
k	k	0.953
ɾ	ɾ	0.933
ˈi	ˈi	0.9
p	p	0.889
β	β	0.864
t	t	0.857
n_#>	ŋ_#>	0.818
<#_a	<#_a	0.818
o	ʊ	0.815
ʎ	ɟ	0.778
ɲ	ɲ	0.778
ð	ð	0.778
ˈa	ˈa	0.761
a	ɐ	0.711
ˈu	ˈu	0.708
n	n	0.686
ˈe	ˈe	0.673
ʃ	ʃ	0.667
i	i	0.667
e	e	0.667
j	j	0.536
ˈo	ˈo	0.5
ʝ	ð	0.5
ʝ	-	0.5
w_ˈe	ˈɔ	0.5
w_ˈe	ˈo	0.5
u	u	0.5
u	o	0.5
l	l	0.478
#>	ɪ_#>	0.467
j	-	0.464
l	-	0.435
w	β_ɪ	0.4
w	-	0.4
ʃ	θ	0.333
i	e	0.333
ˈu	ˈo	0.292
ˈo	ˈɔ	0.281
#>	t_ɪ_#>	0.267
n	-	0.257
e	-	0.25
a	a	0.25
ʎ	l	0.222
ɲ	n	0.222
w	ˈɔ	0.2
n_#>	#>	0.182
<#_a	<#	0.182
ˈa	ˈɑ	0.164
ˈo	ˈo_w	0.156
t	ð	0.143
β	-	0.136
#>	ʊ_#>	0.133
#>	ŋ_#>	0.133
ð	ʃ	0.111
ð	-	0.111
p	β	0.111
o	o	0.109
ˈi	-	0.1
l	ʧ	0.087
e	ɪ	0.083
ˈe	ˈɛ	0.082
ˈe	-	0.082
ɾ	r	0.067
ˈo	w	0.062
ˈe	ˈe_j	0.061
ˈe	j	0.061
n	ɲ	0.057
