Standard Croatian	Belarusian	probability
ʨ	ʧ	1.0
ʧ	ʧ	1.0
ʎ	lʲ	1.0
ʋ_j	vʲ	1.0
ʋ_a	v_a	1.0
ʃ	ʂ	1.0
ɲ	nʲ	1.0
ɡ	ɣ	1.0
x	x	1.0
uː_̌	u	1.0
uː_̂	u	1.0
t_i	ʦʲ	1.0
s_a	s	1.0
r̩ː	ɵ	1.0
r̩_̂	r	1.0
r̩	e	1.0
r_a	r	1.0
oː	o	1.0
o_̌	a	1.0
o_̂	o_ˈ	1.0
l_j	lʲ	1.0
j_e	e	1.0
j	-	1.0
i_̂	ɨ_ˈ	1.0
eː_̌	æ	1.0
e_̌	æ	1.0
aː_̌	a	1.0
aː_̂	a	1.0
a_̌	a_ˈ	1.0
a_̂	ˈ	1.0
a_r	r_ɨ	1.0
̂	ˈ	0.961
r	r	0.828
k	k	0.794
l	ɫ	0.762
o	a	0.72
b	b	0.719
n	n	0.713
iː	ɨ	0.689
ʦ	ʦ	0.684
̌	-	0.667
t	t	0.623
ʋ	vʲ	0.594
i	i	0.593
j_eː	a	0.589
s	s	0.585
d	d	0.582
p	pʲ	0.577
ʒ	ʐ	0.552
z	z	0.524
m	m	0.523
m	mʲ	0.477
ʒ	ʐ̊	0.448
uː	u	0.432
p	p	0.423
aː	o	0.421
s	sʲ	0.415
j_eː	e	0.411
e	e	0.411
ʋ	v	0.406
d	ʣʲ	0.404
u	o	0.38
z	zʲ	0.378
t	ʦʲ	0.377
eː	e	0.358
u	u	0.351
a	a	0.35
̌	ˈ	0.333
uː	o	0.332
ʦ	-	0.316
iː	i	0.311
aː	-	0.302
eː	æ	0.292
n	nʲ	0.287
b	bʲ	0.281
o	o_ˈ	0.28
aː	a	0.277
u	v_u	0.269
a	a_ˈ	0.252
l	lʲ	0.238
uː	ʉ	0.237
i	i_ˈ	0.209
i	ɨ_ˈ	0.198
r	a_r	0.172
eː	ɛ	0.171
e	-	0.153
a	o	0.153
e	a	0.148
e	e_ˈ	0.141
k	kʲ	0.132
e	o	0.129
a	e	0.102
z	z̥	0.098
eː	a	0.096
eː	ɵ	0.082
a	-	0.08
k	-	0.074
