Old Norse	Swabian	probability
a	a	0.768
a	-	0.118
a	ˈao̯	0.114
b	b	0.948
b	-	0.052
c	-	0.706
c	ɡ	0.153
c	x	0.142
cʰ	kʰ	1.0
cː	ɡ	1.0
d	d	0.98
f	f	0.979
h	h	1.0
i	-	0.579
i	ʌ	0.421
j	-	0.493
j	ˈiə̯	0.229
j	ˈeː	0.111
j	ˈiː	0.094
j	ˈʌ	0.062
k	ç	0.528
k	-	0.214
k	x	0.108
k	ɡ	0.103
kʰ	kʰ	0.806
kʰ	ʁ	0.194
kː	ɡ	0.572
kː	ŋ_ɡ	0.428
l	l	0.982
lː	l	1.0
l̥	l	1.0
m	m	1.0
mː	m	1.0
n	n	0.763
n	-	0.237
nː	n	0.466
nː	s	0.256
nː	t	0.148
nː	l	0.129
p	f	0.904
p	b̥͡f	0.096
pː	f	1.0
r	ʌ	0.304
r	ʕ	0.287
r	ʁ	0.189
r	-	0.162
r	e	0.051
rː	ʌ	0.843
rː	ɡ	0.157
r̥	ʁ	1.0
s	s	0.503
s	ʃ	0.478
sː	s	1.0
t	s	0.692
t	d	0.186
t	ʦ	0.122
tʰ	ʦ	0.792
tʰ	b	0.208
tː	x	0.573
tː	ç	0.323
tː	ʦ	0.104
u	i	0.269
u	-	0.243
u	n	0.17
u	ˈeə̯	0.17
u	ɐ	0.149
v	ʋ	0.453
v	b	0.314
v	f	0.116
v	m	0.081
w	ʋ	1.0
x	-	1.0
ç	h	1.0
ð	d	0.796
ð	-	0.121
ð	t	0.083
ŋ	ŋ	0.887
ŋ	-	0.113
ɑ	a	0.872
ɑ	-	0.05
ɑː	eə̯	1.0
ɟ	ɡ	0.954
ɟː	ɡ	1.0
ɡ	ɡ	0.585
ɡ	-	0.415
ɡː	-	0.5
ɡː	ɡ	0.5
ɣ	ɡ	1.0
ʝː	ɡ	1.0
ʦ	d	1.0
ˈa	ˈa	0.869
ˈa	ˈɔː	0.131
ˈe	ˈɛ	0.411
ˈe	ˈaː	0.141
ˈe	-	0.076
ˈe	ˈae̯	0.068
ˈe	ˈeː	0.068
ˈe	ˈɪ	0.068
ˈe	ˈɛː	0.067
ˈe	ˈe	0.053
ˈeː	ˈoː	0.327
ˈeː	ˈi	0.283
ˈeː	ˈəi̯	0.203
ˈeː	ˈɛ	0.121
ˈeː	ˈiː	0.065
ˈi	ˈe	0.337
ˈi	ˈi	0.179
ˈi	ˈɛ	0.174
ˈi	ˈɪ	0.156
ˈi	ˈeː	0.092
ˈiː	ˈəi̯	0.669
ˈiː	ˈae̯	0.218
ˈiː	-	0.064
ˈo	ˈɔ	0.366
ˈo	ˈoː	0.285
ˈo	ˈo	0.177
ˈo	ˈeː	0.086
ˈoː	ˈi	0.316
ˈoː	-	0.281
ˈoː	ˈuə̯	0.198
ˈoː	ˈuː	0.06
ˈoː	ˈɔ	0.06
ˈu	ˈo	0.663
ˈu	ˈao̯	0.084
ˈu	ˈoː	0.084
ˈu	ˈɔ	0.057
ˈuː	ˈao̯	0.657
ˈuː	-	0.266
ˈy	ˈi	0.345
ˈy	ˈɔ	0.207
ˈy	ˈɪ	0.126
ˈy	ˈu	0.114
ˈy	ˈo	0.104
ˈy	ˈɛ	0.104
ˈyː	ˈəi̯	0.461
ˈyː	ˈao̯	0.241
ˈyː	ˈiː	0.149
ˈyː	ˈuə̯	0.098
ˈøy̯	ˈeː	0.544
ˈøy̯	ˈae̯	0.27
ˈøy̯	ˈoː	0.186
ˈøː	ˈeə̯	0.392
ˈøː	ˈuə̯	0.276
ˈøː	ˈiə̯	0.151
ˈøː	ˈɛ	0.119
ˈøː	ˈɪ	0.063
ˈɑ	ˈa	0.693
ˈɑ	ˈaː	0.094
ˈɑ	-	0.065
ˈɑ	ˈe	0.061
ˈɑ	ˈɛ	0.059
ˈɑu̯	ˈao̯	0.533
ˈɑu̯	ˈoː	0.395
ˈɑu̯	a	0.072
ˈɑː	ˈɔː	0.197
ˈɑː	ˈao̯	0.154
ˈɑː	ˈoː	0.152
ˈɑː	a	0.114
ˈɑː	ˈaː	0.106
ˈɑː	ˈa	0.102
ˈɑː	ˈo	0.093
ˈɒu̯	ˈu	0.636
ˈɒu̯	ˈoː	0.364
ˈɔ	ˈɛ	0.519
ˈɔ	ˈaː	0.313
ˈɔ	ˈi	0.108
ˈɔː	ˈɔə̯	1.0
ˈɛ	ˈɛ	0.413
ˈɛ	ˈa	0.183
ˈɛ	ˈɔe̯	0.182
ˈɛ	ˈae̯	0.088
ˈɛi̯	ˈɔe̯	0.963
ˈɛː	ˈeː	0.749
ˈɛː	-	0.183
ˈɛː	ˈa	0.068
θ	d	1.0
