Faroese	Pennsylvania German	probability
a	ə	0.78
a	d_ə	0.092
a	-	0.083
b̥	b	0.958
d̥	d	0.488
d̥	-	0.262
d̥	t	0.239
f	f	0.848
f	-	0.09
h	h	0.949
h	-	0.051
j	-	0.461
j	ˈɛː	0.179
j	ˈɛ	0.128
j	ɣ	0.123
j	ˈɪ	0.1
k	x	0.497
k	ç	0.261
k	k	0.242
kʰ	kʰ	0.807
kʰ	f	0.115
kʰ	ɡ	0.077
l	l	0.987
l̥	l	1.0
m	m	0.95
n	n	0.767
n	ç	0.119
n	-	0.071
nː	n	0.931
nː	-	0.057
n̥	n	0.479
n̥	-	0.214
n̥	j	0.186
n̥	ə	0.121
p	f	1.0
r	ɾ	0.688
r	-	0.312
s	s	0.603
s	ʃ	0.379
sː	s	1.0
t	s	0.297
t	t	0.284
t	-	0.249
t	ʦ	0.106
t	d	0.064
tʰ	d	0.648
tʰ	ʦ	0.276
tʰ	b	0.075
tː	p	1.0
v	ʋ	0.432
v	v	0.295
v	-	0.101
v	f	0.062
w	-	0.583
w	k	0.177
w	t	0.136
w	ə	0.105
ŋ	ŋ	0.8
ŋ	-	0.175
ɑ	ə	1.0
ə	ɑ	1.0
ɛ	ɪ	1.0
ɡ̊	-	0.531
ɡ̊	ɡ	0.313
ɡ̊	ɣ	0.08
ɡ̊	j	0.058
ɡ̊ː	k	0.719
ɡ̊ː	-	0.281
ɪ	d_ɑ	0.392
ɪ	ɑ	0.335
ɪ	ɪ	0.159
ɪ	-	0.069
ɲ	ŋ	1.0
ɹ	-	0.684
ɹ	ɾ	0.209
ɹ	ɑ	0.106
ɹː	k	0.669
ɹː	ˈɛː	0.331
ʃ	ʃ	0.756
ʃ	s	0.244
ʈ	ʦ	1.0
ʊ	-	0.916
ʊ	ə	0.054
ʊ̯ˈiː	ˈaɪ̯	1.0
ʎ	l	1.0
ʤ̊	ɡ	0.403
ʤ̊	d	0.267
ʤ̊	j	0.165
ʤ̊	-	0.164
ʤ̊ː	k	0.398
ʤ̊ː	-	0.379
ʤ̊ː	n	0.223
ʧ	ɡ	0.575
ʧ	x	0.284
ʧ	ç	0.14
ʧʰ	d	0.903
ʧʰ	kʰ	0.097
ʧː	n	1.0
ʰkː	k	1.0
ʰp	f	0.898
ʰp	p	0.102
ʰpː	f	1.0
ʰt	s	0.928
ʰt	t	0.072
ʰtː	x	0.364
ʰtː	ʦ	0.332
ʰtː	ç	0.303
ʰʧ	k	1.0
ʰʧː	k	1.0
ˈa	ˈa	0.598
ˈa	ˈaɪ̯	0.125
ˈa	ˈɔː	0.109
ˈa	-	0.095
ˈa	ˈaː	0.074
ˈai̯	ˈeː	0.909
ˈai̯	ˈaɪ̯	0.091
ˈaːi̯	ˈeː	1.0
ˈeə̯	ˈɛ	1.0
ˈeː	ˈɛ	0.601
ˈeː	ˈɪ	0.255
ˈeː	ˈeː	0.091
ˈeː	ˈa	0.053
ˈiː	ˈɪ	0.427
ˈiː	ˈɔː	0.285
ˈiː	ˈɛ	0.218
ˈiː	ˈɔ	0.069
ˈoː	-	0.42
ˈoː	ˈʊ	0.42
ˈoː	ˈoː	0.098
ˈoː	ˈa	0.062
ˈuː	ˈɔ	0.393
ˈuː	ˈʊ	0.384
ˈuː	ˈeː	0.223
ˈøː	-	0.398
ˈøː	ˈiː	0.293
ˈøː	ˈuː	0.182
ˈøː	ˈɛː	0.073
ˈøː	ˈɔː	0.053
ˈœ	-	0.23
ˈœ	ˈɛ	0.216
ˈœ	ˈɛː	0.131
ˈœ	ˈɔ	0.13
ˈœ	ˈuː	0.105
ˈœ	ˈʊ	0.075
ˈœ	ˈɔː	0.059
ˈœ	ˈɪ	0.054
ˈɔ	ˈa	0.295
ˈɔ	ˈaː	0.198
ˈɔ	ˈoː	0.145
ˈɔ	ˈɛ	0.131
ˈɔ	ˈɔː	0.096
ˈɔ	ˈeː	0.066
ˈɔːi̯	ˈeː	0.502
ˈɔːi̯	ˈɔː	0.26
ˈɔːi̯	ˈaʊ̯	0.135
ˈɔːi̯	ˈoː	0.103
ˈɔːu̯	ˈuː	0.325
ˈɔːu̯	ˈiː	0.32
ˈɔːu̯	ˈʊ	0.182
ˈɔːu̯	-	0.172
ˈɔ̯aː	ˈoː	0.693
ˈɔ̯aː	ˈɔː	0.17
ˈɔ̯aː	ˈeː	0.065
ˈɔ̯aː	ˈa	0.052
ˈɛ	ˈɛ	0.569
ˈɛ	ˈa	0.129
ˈɛ	ˈaɪ̯	0.093
ˈɛ	ˈeː	0.072
ˈɛ	ˈɔɪ̯	0.07
ˈɛːa̯	ˈa	0.378
ˈɛːa̯	ˈɔː	0.237
ˈɛːa̯	ˈɛ	0.1
ˈɛːa̯	ˈiː	0.096
ˈɛːa̯	ˈaɪ̯	0.075
ˈɛːa̯	-	0.066
ˈɛːi̯	ˈɔː	0.468
ˈɛːi̯	ˈoː	0.44
ˈɪ	ˈɪ	0.849
ˈʉːu̯	ˈaʊ̯	0.624
ˈʉːu̯	ˈiː	0.261
ˈʉːu̯	ˈuː	0.115
ˈʊ	ˈʊ	0.625
ˈʊ	ˈaɪ̯	0.086
ˈʊ	ˈɔ	0.077
ˈʊ	ˈɛ	0.074
ˈʊ̯iː	ˈaɪ̯	0.661
ˈʊ̯iː	ˈiː	0.266
ˈʊ̯iː	ˈa	0.073
ˈʏ	ˈiː	0.563
ˈʏ	ˈɪ	0.283
ˈʏ	ˈɔ	0.154
