Faroese	Pennsylvania German	probability
a	ə	0.555
a	-	0.388
a	d_ə	0.05
a_ɹ	ɑ	1.0
b̥	b	0.926
b̥	-	0.074
d̥	d	0.641
d̥	t	0.304
d̥	ʦ	0.054
d̥_ʊ	t	1.0
f	f	0.846
f	-	0.094
f	ʃ	0.055
h	h	0.968
h	-	0.043
j	-	0.435
j	ˈɛː	0.22
j	ɣ	0.124
j	ˈɪ	0.093
j	t	0.087
j_ʊ	t	1.0
j_ˈøː	ˈɛ	1.0
k	ç	0.509
k	k	0.286
k	x	0.153
kʰ	kʰ	0.573
kʰ	ʋ	0.266
kʰ	-	0.073
kʰ	ɡ	0.069
l	l	1.0
l_ʊ	l	1.0
l̥	l	1.0
m	m	0.97
m	n	0.043
m_ʊ	m	1.0
n	n	0.781
n	-	0.213
nː	n	0.839
nː	l	0.074
nː	-	0.069
n̥	n	0.376
n̥	-	0.32
n̥	j	0.097
n̥	ə	0.094
p	f	1.0
r	ɾ	1.0
s	s	0.604
s	ʃ	0.393
s_k	ʃ	1.0
t	s	0.349
t	-	0.318
t	t	0.258
t	d	0.039
t	ʦ	0.038
tʰ	d	0.598
tʰ	ʦ	0.391
tː	p	1.0
v	ʋ	0.366
v	-	0.208
v	v	0.176
v	p	0.071
v	f	0.054
v_ʊ	f	1.0
w	-	0.549
w	t	0.257
w	k	0.147
w	ə	0.04
ŋ	ŋ	0.768
ŋ	-	0.129
ŋ	n	0.094
ə	ɑ	1.0
ɛ	ɪ	1.0
ɡ̊	-	0.562
ɡ̊	ɡ	0.288
ɡ̊	ɣ	0.069
ɡ̊	k	0.046
ɡ̊	j	0.037
ɡ̊_ʊ	ç	1.0
ɪ	-	0.798
ɪ	ɪ	0.1
ɪ	ə	0.1
ɪ_ɹ	ɑ	1.0
ɲ	ŋ	1.0
ɹ	-	0.655
ɹ	ɾ	0.191
ɹ	d_ɑ	0.048
ɹ	ɾ_ə	0.038
ɹ	ɑ	0.036
ɹ_a	ɑ	1.0
ɹ_ʊ	ɑ	1.0
ɹː	k	0.375
ɹː	ˈɛː	0.092
ʃ	ʃ	0.815
ʃ	s	0.149
ʈ	ʦ	0.494
ʊ	-	0.945
ʊ	ə	0.053
ʊ_ɹ	ɑ	0.571
ʊ_ɹ	ɪ	0.409
ʊ̯ˈiː	ˈaɪ̯	1.0
ʎ	l	0.244
ʤ̊	-	0.45
ʤ̊	d	0.171
ʤ̊	n	0.13
ʤ̊	j	0.068
ʤ̊	ɡ	0.063
ʤ̊_a	ə	1.0
ʧ	ɡ	0.66
ʧ	ç	0.161
ʧʰ	d	0.74
ʧʰ	kʰ	0.137
ʧː	n	1.0
ʰkː	ŋ_k	0.683
ʰkː	k	0.223
ʰp	p	0.574
ʰp	f	0.284
ʰt	s	0.852
ʰt	t	0.102
ʰtː	x	1.0
ʰtː_ʊ	t	0.494
ʰʧ	k	1.0
ˈa	ˈa	0.691
ˈa	ˈaɪ̯	0.118
ˈa	ˈaː	0.078
ˈa	ˈɔː	0.069
ˈa	-	0.041
ˈa_ɹ	ˈaː	1.0
ˈai̯	ˈeː	0.715
ˈai̯	ˈaɪ̯	0.28
ˈaːi̯	ˈeː	1.0
ˈeə̯	ˈɛ	1.0
ˈeː	ˈɪ_ç	0.296
ˈeː	ˈɛ	0.246
ˈeː	ˈa	0.17
ˈeː	ˈeː	0.17
ˈiː	ˈɪ	0.718
ˈiː	ˈɔː	0.174
ˈiː	ˈɛ	0.084
ˈoː	ˈoː	0.326
ˈoː	ˈa	0.161
ˈuː	ˈʊ	0.361
ˈuː	ˈeː	0.361
ˈuː	ˈɔ	0.205
ˈøː	ˈiː	0.538
ˈøː	ˈɔː	0.278
ˈøː	ˈɛː	0.103
ˈœ	ˈɔ	0.223
ˈœ	ɑ	0.165
ˈœ	ˈɛ	0.144
ˈœ	ˈʊ	0.109
ˈœ	ˈɔː	0.085
ˈɔ	ˈa	0.399
ˈɔ	ˈaː	0.34
ˈɔ	ˈeː	0.076
ˈɔ	ˈɔ	0.062
ˈɔ	ˈɔː	0.062
ˈɔːi̯	ˈaʊ̯	0.223
ˈɔːi̯	ˈɔː	0.223
ˈɔːi̯	ˈeː	0.126
ˈɔːi̯	ˈoː	0.126
ˈɔːu̯	ˈuː	0.475
ˈɔːu̯	ˈiː	0.321
ˈɔːu̯	ˈʊ	0.146
ˈɔ̯aː	ˈoː	0.657
ˈɔ̯aː	ˈɔː	0.152
ˈɔ̯aː	ˈeː	0.099
ˈɔ̯aː	ˈa	0.07
ˈɛ	ˈɛ	0.45
ˈɛ	ˈa	0.19
ˈɛ	ˈɪ	0.165
ˈɛ	ˈɔɪ̯	0.085
ˈɛ	ˈeː	0.084
ˈɛ_ɡ̊	ˈɛ	0.244
ˈɛːa̯	ˈa	0.496
ˈɛːa̯	ˈɔː	0.174
ˈɛːa̯	ˈɔː_t	0.115
ˈɛːa̯	ˈaː	0.087
ˈɛːa̯	ˈɛ	0.067
ˈɛːi̯	ˈoː	0.437
ˈɛːi̯	ˈɔː	0.412
ˈɛːi̯	ˈeː	0.114
ˈɪ	ˈɪ	0.697
ˈɪ	ʋ	0.067
ˈɪ	ˈaʊ̯	0.067
ˈɪ	ˈuː	0.067
ˈɪ	ˈɛː	0.056
ˈʉːu̯	ˈaʊ̯	0.755
ˈʉːu̯	ˈiː	0.153
ˈʉːu̯	ˈuː	0.076
ˈʊ	ˈʊ	0.331
ˈʊ	ˈɔ	0.184
ˈʊ	ˈaɪ̯	0.164
ˈʊ	ˈeː	0.129
ˈʊ	ˈɪ	0.064
ˈʊ̯iː	ˈaɪ̯	0.872
ˈʊ̯iː	ˈiː	0.111
ˈʏ	ˈɔ	0.223
ˈʏ	ˈɪ	0.223
ˈʏ	ˈiː	0.126
