Macedonian	Latvian	probability
ʦ	-	1.0
ʣ	z	1.0
ʒ	ʣ	1.0
ɫ_o	l̩	1.0
ɫ	l	1.0
ɡ̊	ɡ̊	1.0
ɡ	ɡ	1.0
ɟ	d_i	1.0
ɛ_ʦ	e	1.0
z̥	z̥	1.0
z	z	1.0
v	v	1.0
t_ɛ	j	1.0
r̩	i_r	1.0
r_a	a_r	1.0
p	p	1.0
m	m	1.0
k_o	ʦ	1.0
j	-	1.0
f	s	1.0
e	æː	1.0
c	k_t	1.0
b̥	b̥	1.0
b	b	1.0
a_r	r̩_s	1.0
t	t	0.817
n	n	0.763
s	s	0.755
ʧ	k	0.74
u	uɔ̯	0.714
r	r	0.686
k	k	0.672
l	l	0.657
d	d	0.534
ɔ	-	0.519
d̥	d̥	0.5
d̥	d_u	0.5
ɔ	a	0.481
d	-	0.466
i	uː	0.38
i	-	0.364
ɛ	-	0.36
l	ʎ	0.343
k	s	0.328
r	r_s	0.314
o	-	0.303
o	a	0.298
u	au̯	0.286
o	i	0.278
ʧ	ʧ	0.26
i	iː	0.255
a	uɔ̯	0.255
s	s_t	0.245
ɛ	ɛ	0.237
n	-	0.237
t	-	0.183
a	ɛ	0.16
a	u	0.134
ɛ	iɛ̯	0.133
a	-	0.131
o	aː	0.12
a	aː	0.111
ɛ	æ	0.106
ɛ	a	0.092
a	i	0.076
a	a	0.069
a	ɛ_n	0.063
