Phone1	Phone2	Surprisal
a	-	1.772
a	ɛ	2.541
a	u	2.855
a	uɔ̯	3.066
a	i	3.68
a	a	3.789
a	s	3.973
a	ɛ_n	3.973
a_r	r̩_s	0.0
b	b	0.0
b̥	b̥	0.0
c	k_t	0.0
d	d	0.905
d	-	1.102
d̥	d_u	1.0
d̥	d̥	1.0
e	æː	0.0
f	s	0.0
i	uː	0.779
i	iː	1.261
j	uɔ̯	0.908
j	-	1.099
k	k	0.479
k	-	1.824
k_o	ʦ	0.0
l	l	0.783
l	ʎ	1.255
l_ɛ	l	0.0
m	m	0.0
n	n	0.497
n	-	1.778
o	a	0.89
o	-	1.119
o_ɫ	i_l	0.859
o_ɫ	l	1.156
p	p	0.0
r	r	0.0
r_a	a_r	0.0
r̩	i_r	0.0
s	s	0.44
s	s_t	1.927
s_ɛ	e	0.0
t	t	0.0
u	uɔ̯	0.485
u	au̯	1.807
v	v	0.0
z	z	0.0
z̥	z̥	0.0
ɔ	-	0.0
ɛ	-	1.528
ɛ	ɛ	2.044
ɛ	iɛ̯	2.716
ɛ	æ	3.063
ɛ	a	3.324
ɛ	ɛː	4.678
ɛ_z	z̥	0.0
ɟ	d_i	0.0
ɡ	ɡ	0.0
ɡ̊	ɡ̊	0.0
ɫ	l	0.0
ɫ_o	l̩	0.0
ɾ	iɛ̯_k	0.0
ʒ	ʣ	0.0
ʣ	z	0.0
ʦ	-	0.774
ʦ	s	1.267
ʧ	k	0.0
