Old Chinese	Old Chinese	probability
ʦʰ	ʨʰ	1.0
ʔ_s	ʦ	1.0
ʔ_#>	#>	1.0
ɯ_s	z̩	1.0
ɢʷ	-	1.0
ɢ	y	1.0
ɡʷ	-	1.0
ŋʷ	-	1.0
ŋ_s	ŋ_¹¹	1.0
ŋ_aː	ŋ̍	1.0
z	-	1.0
uː	a	1.0
u_ʔ	w_²¹³	1.0
tʰ	ʦʰ	1.0
t	ʦ	1.0
sʰ	ʦʰ	1.0
r_ɯ	i	1.0
r_aː	a	1.0
r_a	i	1.0
qʰʷ	-	1.0
qʰ	-	1.0
pʰ	pʰ	1.0
n_ʔ	n_²¹³	1.0
n_i	nʲ	1.0
m_ʔ	n_²¹³	1.0
m_ɯ	u	1.0
m_#>	n_³⁵_#>	1.0
l̥ʰ	tʰ	1.0
kʷ	k_w	1.0
kʰʷ	kʰ_w	1.0
j	-	1.0
iː	ɛ	1.0
hʷ	f	1.0
h_m	h	1.0
h	s	1.0
b	pʰ	1.0
aː_l	o	1.0
a_ʔ	y	1.0
<#_ɡ	<#	1.0
<#_ŋ	<#	1.0
ŋ	ŋ	0.87
n	n	0.75
a	ɔ	0.714
ʔ	w_²¹³	0.667
ɯ	ɨ	0.667
eː	a	0.667
i	-	0.6
<#_s	<#_ɕ	0.6
<#_q	<#_ŋ	0.6
oː	u	0.571
p	p	0.556
kʰ	kʰ	0.556
r	l	0.538
#>	⁴²_#>	0.518
n_s	n_¹¹	0.5
n_s	n	0.5
lʼ	tʰ	0.5
lʼ	-	0.5
k	ʨ	0.5
k	k	0.5
d_s	j_¹¹	0.5
d_s	j	0.5
d	t̚	0.455
p	f	0.444
e	ɛ	0.444
ɡ	ʔ	0.438
ɡ	t̚	0.438
s	j	0.429
oː	-	0.429
o	u	0.429
u	w	0.417
m	m	0.417
i	i	0.4
<#_s	<#	0.4
<#_q	<#	0.4
l	-	0.375
ɯː	ɛ	0.364
aː	ɔ	0.357
ʔ	-	0.333
ɯ	z̩	0.333
u	u	0.333
m	-	0.333
eː	j_ɛ	0.333
e	ɵ	0.333
#>	⁵_#>	0.321
s	s	0.286
s	-	0.286
o	ɵ	0.286
o	a	0.286
aː	a	0.286
a	-	0.286
ɯː	a	0.273
u	j_u	0.25
m	n	0.25
kʰ	ʨʰ	0.222
kʰ	ʦʰ	0.222
e	a	0.222
aː	ɵ	0.214
l	j	0.188
l	a	0.188
ɯː	j	0.182
ɯː	-	0.182
d	ʦʰ	0.182
d	tʰ	0.182
d	-	0.182
#>	²¹³_#>	0.161
r	ɛ	0.154
r	s	0.154
r	-	0.154
aː	-	0.143
ŋ	n	0.13
ɡ	ʨʰ	0.125
n	nʲ	0.125
n	l	0.125
l	ʦʰ	0.125
l	j_⁴²	0.125
