Gothic	East Frisian Low Saxon	probability
θ_iː	d̥	1.0
β_a	v	1.0
β	-	1.0
ˈɛː_w	ˈɛːɪ̯	1.0
ˈɔ	ˈoː	1.0
ˈuː	ˈuː	1.0
ˈoː_n	ˈʏə̯	1.0
ˈiː_s	ˈɛːɪ̯	1.0
ˈiː	ˈiː	1.0
ˈiu̯_ð	ˈyː	1.0
ˈeː	ˈɒː	1.0
ˈa_t	ˈɒː_t	1.0
ˈa_n	ˈɑ_n	1.0
ʍ	v	1.0
ɡʷː	ˈuːu̯	1.0
ɡʷ	ŋ	1.0
ɡ_s	ɣ̊	1.0
ɔː	-	1.0
ŋ_ɡ	ŋ	1.0
ŋ	-	1.0
ð	d	1.0
x	ɣ̊	1.0
u	-	1.0
t_a	t	1.0
t	t	1.0
s_ˈɛ	z	1.0
r_n	ɐ_n	1.0
p	p	1.0
oː	-	1.0
nː	n	1.0
n_oː	ˈɑːʊ̯	1.0
n_d	n	1.0
n	n	1.0
m	m	1.0
lː	l	1.0
l	l	1.0
k	k	1.0
iː	-	1.0
i_s	s	1.0
i_l	ɫ	1.0
i	-	1.0
h_l	l	1.0
f_s	v̥	1.0
f	f	1.0
e	-	1.0
d_u	d̥	1.0
d_s	d̥	1.0
d	d	1.0
aː	-	1.0
a_r	ɐ	1.0
b	b	0.918
w	v	0.883
j	-	0.798
a	-	0.752
r	ɐ	0.649
ˈɛ	-	0.615
ˈɛː	ˈæɪ̯	0.598
ɣ	-	0.595
ˈoː	ˈɑʊ̯	0.593
θ	d̥	0.59
ˈɔː	ˈoː	0.563
ˈi	ˈɪ	0.554
s	z	0.536
ˈu	ˈʊ	0.525
h	h	0.52
ɡ	ɡ	0.506
ɡ	-	0.494
ˈiu̯	-	0.436
θ	-	0.41
ɣ	ɣ̊	0.405
ˈɛ	ˈɑː	0.385
ˈa	ˈɑ	0.334
s	s	0.332
h	-	0.326
r	r	0.307
ˈoː	ˈœːy̯	0.288
ˈiu̯	ˈæɪ̯	0.284
ˈiu̯	ˈɛːɪ̯	0.28
ˈɔː	ˈøː	0.264
ˈi	-	0.229
ˈɛː	ˈæːɪ̯	0.215
ˈa	ˈɑː	0.213
ˈa	-	0.205
j	j	0.202
ˈɛː	-	0.187
ˈa	ˈɒː	0.181
ˈɔː	ˈoːo̯	0.173
ˈu	ˈøː	0.164
a	ɡ	0.155
h	χ	0.154
ˈoː	ˈøy̯	0.119
w	w	0.117
ˈu	ˈɔ	0.108
s	-	0.106
ˈu	-	0.103
ˈu	ˈʊə̯	0.099
a	ɐ	0.093
ˈi	ˈʏ	0.085
b	v̥	0.082
ˈi	ˈiː	0.066
ˈi	ˈɛ	0.065
