Old High German	West Flemish	probability
ˈɛ_h	ˈiə̯	1.0
ˈɑː	ˈɒː	1.0
ˈɑ_l	ˈu	1.0
ˈɑ_h	ˈɒː	1.0
ˈuo̯	ˈuə̯	1.0
ˈu_kː	ˈœ_ɦ	1.0
ˈoː	ˈoː	1.0
ˈou̯	ˈoː	1.0
ˈio̯	ˈiə̯	1.0
ˈeː	-	1.0
ˈe	-	1.0
ʦː	t	1.0
ʦ	t	1.0
ɡ_ɑ	ɦ	1.0
ɡ_eː	ɦ	1.0
ɛ_r	ɾ	1.0
ɛ_h	iə̯	1.0
ə	-	1.0
ɑ_r	ɾ	1.0
ɑ_n	n	1.0
ɑ	ə	1.0
ŋ_ɡ	ŋ	1.0
ŋ	ŋ	1.0
xː_ɑ	k_ə	1.0
xː	k	1.0
t_ɛ	t	1.0
t_ɑ	d_ə	1.0
s̻ː	t	1.0
s̻	t	1.0
s_t	s_t	1.0
s_k	ʃ_h	1.0
rː	ɦ̥	1.0
r	ɾ	1.0
p͡f	p	1.0
p	p	1.0
oː	-	1.0
ou̯	ˈoː	1.0
nː	-	1.0
mː	m	1.0
m	m	1.0
lː	l	1.0
kʰ	k	1.0
k	k	1.0
j	j	1.0
i_f	v_ə	1.0
fː	p	1.0
f_ɑ	p	1.0
f	v	1.0
e_n	n	1.0
b_ɑ	v	1.0
n	n	0.938
w	ʋ	0.888
ˈuː	ˈyː	0.845
b	b	0.812
d	d	0.767
ɡ	ɦ	0.747
ˈɑ	ˈɑ	0.725
x	h	0.72
ˈiː	ˈi	0.683
l	l	0.673
u	-	0.631
ˈiu̯	ˈiə̯	0.629
t	d̥	0.587
ˈi	ˈɪ	0.561
o	-	0.558
s	z	0.538
ˈei̯	ˈɛː	0.465
i	-	0.459
o	ə	0.442
i	ə	0.434
ˈo	ˈoː	0.415
ˈɛ	ˈæ	0.412
s	s	0.408
ˈiu̯	-	0.371
u	ə	0.369
ˈu	ˈu	0.327
l	w	0.327
ˈiː	-	0.317
ˈɛ	-	0.305
ˈei̯	-	0.284
ˈɛ	ˈeː	0.283
x	-	0.28
ˈo	ˈɔ	0.261
t	t	0.261
ˈei̯	ˈeː	0.251
d	d̥	0.233
ɡ	-	0.232
ˈɑ	ˈɒː	0.221
ˈu	ˈoː	0.22
ˈu	ˈɔ	0.202
ˈo	ˈœ	0.194
ˈi	-	0.188
b	v	0.188
ˈi	ˈæ	0.165
ˈu	ˈøː	0.162
ˈuː	-	0.155
t	d	0.152
ˈo	-	0.13
w	-	0.112
i	ɪ	0.107
ˈu	ˈɪ	0.088
ˈi	ˈɛ	0.086
n	-	0.062
ˈɑ	-	0.054
s	z̥	0.053
