Romagnol	Romagnol	probability
ˈɛ̃	-	1.0
ˈɛ_n	ˈɛ̃	1.0
ˈɛ_j	ˈiː	1.0
ˈɔə̯_v	ˈuː	1.0
ˈu_ɡ	ˈøː	1.0
ˈu	ˈuː	1.0
ˈõũ̯	ˈɔ̃	1.0
ˈou̯_t	ˈɔ	1.0
ˈou̯_n	ˈɔ̃	1.0
ˈo_ɲ	ˈœ̃	1.0
ˈẽ_j̃	ˈẽ	1.0
ˈeə̯_l	ˈɔː	1.0
ˈeə̯_d	ˈɛ	1.0
ˈe	-	1.0
ˈaː	l_ˈɛ	1.0
ʤ	-	1.0
ɲ	ɲ	1.0
ɡ_ɐ_#>	#>	1.0
ɡ_ɐ	j	1.0
ɡ	-	1.0
ɐ_v	f	1.0
ɐ_#>	#>	1.0
ŋ	-	1.0
ð_n	ɲː	1.0
z_ɐ	ʃ	1.0
v_ɐ	ˈiː	1.0
v_r	f	1.0
u_n	ɔ̃	1.0
t_r_i_#>	t_#>	1.0
s_t	s	1.0
s_#>	#>	1.0
r_θ	ˈa_s	1.0
r_ɐ	ˈɛː_ʀ	1.0
r_t	ˈa_ʀ	1.0
n_ɐ_#>	#>	1.0
n_ɐ	ˈɛ̃ː_n	1.0
n_t_#>	#>	1.0
l_ɐ	j	1.0
k_ɐ	ʧ	1.0
k_v	k_w	1.0
j_ɐ	j	1.0
i_ŋ	ẽ	1.0
f	f	1.0
e	-	1.0
d_ɐ	j	1.0
d_#>	#>	1.0
b_ɐ_r_#>	p_#>	1.0
b	b	1.0
a_j	ɛː	1.0
a	-	1.0
<#_ɡ	<#_ɡ	1.0
<#_ɐ	<#_a	1.0
<#_t	<#_t	1.0
<#_r	<#_ʀ	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
p	p	0.933
v	v	0.84
m	m	0.84
u	ɔ	0.818
r	ʀ	0.673
ˈẽ	ˈɛ̃	0.667
ʧ	-	0.667
d	d	0.647
θ	s	0.643
s	s	0.643
l	l	0.643
t	t	0.609
<#	<#_a	0.6
l_#>	ˈa_#>	0.583
ð	ʤ	0.545
j	l	0.538
ˈɛə̯	j	0.529
ˈo	ˈɔ	0.5
ˈi	-	0.5
t_ɐ	t	0.5
t_ɐ	s	0.5
i	i	0.5
i	-	0.5
ˈɛ	ˈɛ	0.478
ɐ	-	0.474
ˈa	ˈa	0.462
k	ʧ	0.452
ˈɔə̯	w	0.444
ˈeː	ˈɛ	0.444
n	n	0.435
ˈou̯	ˈøː	0.417
l_#>	#>	0.417
ˈeə̯	ˈe	0.4
<#	<#_ɔ	0.4
n	-	0.391
k	k	0.387
θ	-	0.357
l	-	0.357
d	-	0.353
ˈʌ̃	ˈɑ̃	0.35
ˈɔ	ˈɔ	0.333
ˈẽ	ˈɛ	0.333
ˈeː	-	0.333
ʧ	k_l	0.333
ˈi	ˈi	0.318
ˈo	-	0.312
ˈa	-	0.308
j	-	0.308
t	-	0.304
z	ˈɛ	0.3
z	ʃ	0.3
ˈɛə̯	-	0.294
s	ʃ	0.286
ð	ˈɛ	0.273
ɐ	a	0.263
ˈɔ	ˈuː	0.25
ˈɔ	-	0.25
ˈou̯	ˈuː	0.25
#>	ˈi_#>	0.25
ˈeə̯	ˈiː	0.24
ˈa	ˈɔː	0.231
ˈɔə̯	-	0.222
ˈeː	j	0.222
r	-	0.204
ˈʌ̃	ˈɛ̃	0.2
z	ʒ	0.2
z	-	0.2
#>	ˈe_#>	0.2
#>	ˈa_#>	0.2
#>	j_#>	0.2
ˈo	ˈu	0.188
ˈi	ˈiː	0.182
ð	-	0.182
u	uː	0.182
ˈɛə̯	ˈɛ	0.176
ˈɛ	w	0.174
ˈɛ	-	0.174
ˈɔə̯	ˈuː	0.167
ˈɔə̯	ˈoː	0.167
ˈɔ	ˈyː	0.167
ˈou̯	w	0.167
ˈou̯	-	0.167
k	-	0.161
ˈeə̯	ˈoː	0.16
m	-	0.16
ɐ	ɛ	0.158
j	z	0.154
ˈʌ̃	ˈa	0.15
ˈʌ̃	w_ˈɛ̃	0.15
ˈʌ̃	-	0.15
#>	ʀ_#>	0.15
ˈeə̯	ˈɔː	0.12
ɐ	n	0.105
ˈɛ	ˈiː	0.087
ˈɛ	j	0.087
t	ʀ	0.087
n	ˈɛ̃	0.087
n	i_n	0.087
ˈeə̯	-	0.08
v	f	0.08
v	-	0.08
s	ˈɛ	0.071
p	-	0.067
