Pennsylvania German	Faroese	probability
b	b̥	0.983
b	tʰ	0.033
d	d̥	0.298
d	-	0.266
d	tʰ	0.26
d	ʤ̊	0.045
d	v	0.045
f	f	0.674
f	p	0.106
f	v	0.083
f	v_ʊ	0.063
f	-	0.056
h	h	0.942
h	-	0.059
j	ˈɔ̯aː	0.19
j	n̥	0.179
j	ʤ̊	0.114
j	-	0.108
j	ɡ̊	0.108
k	k	0.209
k	ʤ̊	0.158
k	ɹː	0.158
k	ʰʧ	0.158
k	v	0.106
kʰ	kʰ	0.706
kʰ	-	0.158
kʰ	ʧʰ	0.112
l	l	0.664
l	l̥	0.171
l	l_ʊ	0.078
l	-	0.032
l	nː	0.03
m	m	0.662
m	m_ʊ	0.183
m	-	0.14
n	n	0.551
n	nː	0.155
n	-	0.097
n	n̥	0.073
n	ʧː	0.035
p	tː	0.354
p	ɹ	0.203
p	v	0.197
p	ʰp	0.13
s	s	0.584
s	t	0.287
s	ʰt	0.081
s	-	0.032
s	sː	0.027
t	-	0.335
t	t	0.18
t	d̥_ʊ	0.127
t	d̥	0.108
t	j_ʊ	0.071
v	v	1.0
x	ʰtː	0.296
x	-	0.16
x	k	0.133
x	v	0.08
ç	-	0.58
ç	k	0.257
ç	ʧ	0.082
ç	ɡ̊_ʊ	0.063
ŋ	ŋ	0.859
ŋ	ɲ	0.14
ŋ_k	ʰkː	1.0
ɑ	ɹ	0.207
ɑ	ʊ_ɹ	0.196
ɑ	ɪ_ɹ	0.194
ɑ	ɹ_a	0.083
ɑ	-	0.079
ɑ_t	ɹ	1.0
ə	a	0.727
ə	-	0.084
ə	ʤ̊_a	0.059
ə	ʊ_ɹ	0.039
ə	n̥	0.036
ɡ	ɡ̊	0.801
ɡ	kʰ	0.082
ɡ	ʧ	0.062
ɡ	ʤ̊	0.046
ɣ	-	0.304
ɣ	ɡ̊	0.294
ɣ	j	0.183
ɪ	-	0.273
ɪ	ɡ̊_ʊ	0.164
ɪ	ɪ	0.157
ɪ	ʊ	0.108
ɪ	v_ʊ	0.108
ɾ	ɹ	0.848
ɾ	-	0.101
ɾ	r	0.051
ɾ_ə	ɹ	0.484
ʃ	s	0.63
ʃ	ʃ	0.162
ʃ	s_k	0.162
ʃ	f	0.036
ʋ	v	0.591
ʋ	-	0.227
ʋ	ˈoː	0.051
ʋ	ˈʉːu̯	0.05
ʋ	ˈɪ	0.05
ʦ	tʰ	0.545
ʦ	ʈ	0.173
ʦ	d̥	0.086
ʦ	ʧʰ	0.084
ʦ	t	0.084
ˈa	ˈa	0.38
ˈa	ˈɛːa̯	0.245
ˈa	ˈɔ	0.166
ˈa	ˈɛ	0.055
ˈa	ˈɔ̯aː	0.048
ˈaɪ̯	ˈʊ̯iː	0.62
ˈaɪ̯	ˈʊ	0.14
ˈaɪ̯	ˈa	0.106
ˈaɪ̯	ʊ̯ˈiː	0.07
ˈaɪ̯	ˈai̯	0.056
ˈaʊ̯	ˈʉːu̯	0.692
ˈaʊ̯	ˈɪ	0.141
ˈaʊ̯	ˈʊ	0.097
ˈaʊ̯	ˈɔːi̯	0.051
ˈaː	ˈɔ	0.26
ˈaː	ˈa_ɹ	0.211
ˈaː	ɹ	0.114
ˈaː	ˈɛːa̯	0.114
ˈaː	ˈa	0.102
ˈeː	ˈaːi̯	0.309
ˈeː	ˈai̯	0.128
ˈeː	ˈɛːi̯	0.103
ˈeː	ˈɔːi̯	0.103
ˈeː	ˈeː	0.079
ˈiː	ˈøː	0.295
ˈiː	ˈɔːu̯	0.272
ˈiː	ˈʊ̯iː	0.272
ˈiː	ˈɛːa̯	0.08
ˈiː	ˈʏ	0.061
ˈoː	ˈɔ̯aː	0.389
ˈoː	ˈɛːi̯	0.36
ˈoː	ˈɔːi̯	0.12
ˈoː	ˈoː	0.12
ˈuː	ˈɔːu̯	0.584
ˈuː	ˈœ	0.157
ˈuː	ˈɪ	0.112
ˈuː	ˈʉːu̯	0.108
ˈɔ	ˈʊ	0.371
ˈɔ	ˈœ	0.245
ˈɔ	ˈuː	0.11
ˈɔ	ˈʏ	0.11
ˈɔ	ˈɔ	0.084
ˈɔɪ̯	ˈɛ	0.484
ˈɔː	ˈɛːi̯	0.214
ˈɔː	ˈɔ̯aː	0.182
ˈɔː	ˈɔ	0.091
ˈɔː	ˈa	0.083
ˈɔː	ˈœ	0.071
ˈɔː_t	ˈɛːa̯	1.0
ˈɛ	ˈɛ	0.253
ˈɛ	ˈeː	0.139
ˈɛ	ˈɛːa̯	0.128
ˈɛ	ˈœ	0.092
ˈɛ	j_ˈøː	0.085
ˈɛː	j	0.428
ˈɛː	ˈɪ	0.126
ˈɛː	ɹː	0.121
ˈɛː	ˈœ	0.116
ˈɛː	ˈøː	0.116
ˈɪ	ˈɪ	0.556
ˈɪ	ˈiː	0.241
ˈɪ	ˈɛ	0.127
ˈɪ	j	0.063
ˈɪ_ç	ˈeː	1.0
ˈʊ	ˈʊ	0.664
ˈʊ	ˈɔːu̯	0.144
ˈʊ	ˈœ	0.08
ˈʊ	ˈuː	0.061
ˈʊ	ˈɔ	0.034
