Swabian	Ripuarian	probability
a	ə	0.863
a	-	0.136
b	b	0.646
b	v	0.231
b	f	0.112
b_d	p	1.0
b̥	p	0.488
b̥͡f	p	1.0
d	d	0.392
d	t	0.362
d	-	0.123
d	k	0.098
e	-	0.116
f	f	0.837
f	ə_f	0.1
f	-	0.039
f	v	0.033
h	h	0.923
h	k	0.076
i	ɪ	1.0
j	j	1.0
k	-	1.0
kʰ	k	0.875
kʰ	-	0.107
l	l	0.911
l	ə_l	0.052
l	n	0.032
l_e	l	1.0
m	m	0.922
m	n	0.072
n	n	0.824
n	ŋ	0.173
p͡f	p	1.0
s	s	0.59
s	z	0.359
s	-	0.033
s	t	0.032
t	t	0.629
t	k	0.361
x	x	0.778
x	-	0.11
x	ɕ	0.077
ç	ɕ	1.0
ŋ	ŋ	1.0
ɐ	ə	0.238
ə	-	1.0
ɡ	j	0.286
ɡ	k	0.215
ɡ	ɕ	0.179
ɡ	-	0.142
ɡ	ɣ	0.077
ɪ	ə	1.0
ʁ	ʀ	1.0
ʃ	ʃ	0.907
ʃ	s	0.088
ʃ_ʋ	z	0.488
ʋ	ʋ	1.0
ʌ	ɐ	1.0
ʕ	-	0.899
ʕ	p	0.101
ʕ_m	m	1.0
ʦ	ʦ	1.0
ˈa	ˈa	0.619
ˈa	ˈaː	0.248
ˈa	ˈɛː_ɐ	0.072
ˈa	ɐ	0.054
ˈae̯	ˈyː	0.145
ˈae̯	ˈœ	0.145
ˈae̯	ˈeɪ̯	0.145
ˈae̯	ˈʏ	0.137
ˈae̯	ˈɛ	0.137
ˈao̯	ˈuː	0.405
ˈao̯	ˈaʊ̯	0.333
ˈao̯	ˈɔ	0.171
ˈao̯	ˈoː	0.071
ˈaː	ˈaː	0.367
ˈaː	ˈa_ŋ	0.206
ˈaː	ˈa	0.136
ˈaː	ˈoː	0.136
ˈaː	ˈɛː	0.098
ˈe	ˈɛ	0.719
ˈe	ˈɪ	0.202
ˈe	ˈe	0.059
ˈeə̯	ˈɛː	0.425
ˈeə̯	ˈeː	0.238
ˈeə̯	ˈøː	0.133
ˈeː	ˈyː	0.207
ˈeː	ˈiː	0.207
ˈeː	ˈʏ	0.157
ˈeː	ˈɛː	0.157
ˈeː	ˈa	0.109
ˈi	ˈe	0.411
ˈi	ˈɪ	0.157
ˈi	ˈiː	0.112
ˈi	ˈʏ	0.09
ˈi	ˈeː	0.09
ˈiə̯	ˈeː	0.596
ˈiə̯	ˈøː	0.384
ˈiː	ˈøː	0.196
ˈiː	ˈeː	0.196
ˈiː	ˈɪ	0.18
ˈiː	ˈiː	0.18
ˈo	ˈɔ	0.46
ˈo	ˈo	0.371
ˈo	ˈʊ	0.082
ˈo	ˈoː	0.074
ˈoː	ˈuː	0.447
ˈoː	ˈoː	0.24
ˈoː	ˈu	0.209
ˈoː	ˈɔ	0.067
ˈu	ˈœ	0.437
ˈu	ˈu	0.219
ˈu	ˈoː	0.219
ˈu	ˈo	0.091
ˈuə̯	ˈoː	1.0
ˈuː	ˈoː	0.488
ˈɔ	ˈɔ	0.545
ˈɔ	ˈoː	0.186
ˈɔ	ˈaʊ̯	0.125
ˈɔ	ˈyː	0.084
ˈɔe̯	ˈeː	0.622
ˈɔe̯	ˈeː_n	0.251
ˈɔe̯	ˈeɪ̯	0.101
ˈɔə̯	ˈoː	1.0
ˈɔː	ˈoː	0.642
ˈɔː	ˈaː	0.246
ˈɔː	ˈa	0.079
ˈəi̯	ˈiː	0.428
ˈəi̯	ˈyː	0.111
ˈəi̯	ˈøː	0.084
ˈəi̯	ˈɪ	0.084
ˈəi̯	ˈɔʏ̯	0.084
ˈɛ	ˈɛ	0.447
ˈɛ	ˈɛː	0.153
ˈɛ	ˈœ	0.153
ˈɛ	ˈa	0.133
ˈɛ	ˈe	0.093
ˈɛ_ʕ	ˈɛː	0.488
ˈɛː	ˈɛ	0.456
ˈɛː	ˈɛː	0.25
ˈɛː	ˈoː	0.165
ˈɛː	ˈiː	0.106
ˈɪ	ˈʏ	0.291
ˈɪ	ˈe	0.247
ˈɪ	ˈɪ	0.187
ˈɪ	ˈɛ	0.064
ˈʌ	ˈɛː	0.322
ˈʌ	ˈiː	0.157
