Swabian	Ripuarian	probability
a	ə	0.854
a	-	0.146
b	b	0.647
b	v̥	0.157
b	v	0.15
b̥͡f	p	1.0
d	d	0.451
d	d̥	0.221
d	t	0.133
d	ɡ̊	0.125
d	-	0.071
eə̯	e	1.0
f	f	0.85
f	ə_f	0.068
f	p	0.052
h	h	0.961
i	ɪ	1.0
j	j	1.0
kʰ	k	0.975
l	l	0.916
l	ə_l	0.073
m	m	0.933
n	n	0.749
n	ŋ	0.251
p͡f	p	1.0
s	s	0.583
s	z	0.376
t	-	0.54
t	t	0.297
t	d̥	0.163
x	x	0.651
x	ɕ	0.18
x	-	0.122
ç	ɕ	1.0
ŋ	ŋ	0.814
ŋ	n	0.186
ɡ	j	0.412
ɡ	k	0.162
ɡ	-	0.143
ɡ	ɕ	0.118
ɡ	ɣ	0.081
ɡ	x	0.075
ɪ	ə	1.0
ʁ	ʀ	1.0
ʃ	ʃ	0.807
ʃ	s	0.166
ʋ	ʋ	0.946
ʋ	-	0.054
ʌ	ɐ	1.0
ʕ	-	1.0
ʣ	ʦ	1.0
ʦ	ʦ	1.0
ˈa	ˈa	0.72
ˈa	ˈaː	0.129
ˈa	ˈoː	0.079
ˈae̯	ˈøː	0.323
ˈae̯	ˈyː	0.227
ˈae̯	ˈʏ	0.133
ˈae̯	ˈeɪ̯	0.086
ˈae̯	ˈœ	0.078
ˈae̯	ŋ	0.07
ˈae̯	ˈɛ	0.057
ˈao̯	ˈuː	0.439
ˈao̯	ˈaʊ̯	0.254
ˈao̯	ˈoː	0.202
ˈao̯	ˈɔ	0.061
ˈaː	ˈaː	0.482
ˈaː	ˈa	0.334
ˈaː	ˈɛː	0.092
ˈaː	ˈoː	0.092
ˈe	ˈe	0.398
ˈe	ˈɛ	0.358
ˈe	ˈɪ	0.244
ˈeə̯	ˈøː	0.571
ˈeə̯	ˈeː	0.284
ˈeə̯	ˈɛː	0.145
ˈeː	ˈʏ	0.256
ˈeː	ˈeː	0.241
ˈeː	ˈyː	0.196
ˈeː	ˈa	0.104
ˈeː	ˈɛː	0.104
ˈeː	ˈiː	0.098
ˈi	ˈe	0.516
ˈi	ˈeː	0.162
ˈi	ˈɪ	0.121
ˈi	ˈiː	0.095
ˈi	ˈeɪ̯	0.05
ˈiə̯	ˈeː	0.361
ˈiə̯	ˈøː	0.325
ˈiə̯	ˈʏ	0.187
ˈiə̯	ˈe	0.128
ˈiː	ˈøː	0.288
ˈiː	ˈeː	0.261
ˈiː	ˈyː	0.22
ˈiː	ˈɪ	0.186
ˈo	ˈo	0.511
ˈo	ˈɔ	0.318
ˈo	ˈʊ	0.109
ˈoː	ˈuː	0.32
ˈoː	ˈoː	0.299
ˈoː	ˈo	0.105
ˈoː	ˈu	0.105
ˈoː	ˈɔ	0.092
ˈoː	ˈoʊ̯	0.08
ˈu	ˈœ	0.437
ˈu	ˈo	0.261
ˈu	ˈoː	0.157
ˈu	ˈu	0.116
ˈuə̯	ˈoː	0.847
ˈuə̯	ˈøː	0.093
ˈuə̯	ˈo	0.06
ˈuː	ˈoː	1.0
ˈɔ	ˈɔ	0.37
ˈɔ	ˈu	0.344
ˈɔ	ˈoː	0.125
ˈɔ	ˈaʊ̯	0.083
ˈɔ	ˈyː	0.079
ˈɔe̯	ˈeː	0.631
ˈɔe̯	ˈeɪ̯	0.369
ˈɔə̯	ˈoː	1.0
ˈɔː	ˈoː	0.76
ˈɔː	ˈaː	0.171
ˈɔː	ˈa	0.069
ˈəi̯	ˈiː	0.439
ˈəi̯	ˈeː	0.136
ˈəi̯	ˈɛ	0.136
ˈəi̯	ˈʏ	0.136
ˈɛ	ˈɛ	0.391
ˈɛ	ˈɛː	0.211
ˈɛ	ˈœ	0.143
ˈɛ	ˈɪ	0.094
ˈɛ	ˈa	0.056
ˈɛ	ˈe	0.056
ˈɛː	ˈɛ	0.361
ˈɛː	ˈoː	0.31
ˈɛː	ˈɛː	0.22
ˈɛː	ˈiː	0.11
ˈɪ	ˈe	0.615
ˈɪ	ˈʏ	0.223
ˈɪ	ˈɪ	0.125
ˈʌ	ˈiː	0.813
ˈʌ	ˈɛː	0.187
