Northern Low Saxon	Northern Low Saxon	probability
ˈɪ_d	ˈi_t	1.0
ˈɛɪ̯	-	1.0
ˈɔː	ˈɪ_r	1.0
ˈœː	-	1.0
ˈøː	-	1.0
ˈø	-	1.0
ˈeɪ̯	-	1.0
ˈaː_f	ˈɪə̯_l	1.0
ˈaː	ˈɛ_r	1.0
ˈaʊ̯_ɐ	ˈoə̯	1.0
ˈaʊ̯_d_#>	ˈɪə̯_#>	1.0
ˈaʊ̯_d	ˈuə̯	1.0
ɪ	ə	1.0
ə	-	1.0
ŋ	ŋ	1.0
z̥_#>	s_#>	1.0
x	χ	1.0
v̥	f	1.0
t	t	1.0
pʰ	p	1.0
p	-	1.0
n_n	n_ə	1.0
n_d	n	1.0
kʰ	ʦ	1.0
k	k	1.0
j	ɡ	1.0
i	ə_χ	1.0
h	h	1.0
f_#>	#>	1.0
f	f	1.0
b_m	p_ə	1.0
aɪ̯	ɪ	1.0
<#_ʒ	<#_j	1.0
<#_tʰ	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_kʰ	<#_k	1.0
#>	ə_#>	1.0
l	l	0.913
m	m	0.897
z	s	0.889
b	b	0.8
r	r	0.778
ˈɛ	-	0.714
ˈɔ	ˈɔ	0.714
s	s	0.7
v	ʋ	0.667
ˈuː	ˈuː	0.571
ˈa	ˈa	0.571
d_n	t_ə	0.571
n	n	0.569
ˈɪ	ˈɪ	0.56
ç	χ	0.556
ʃ	s_k	0.538
ɐ	r	0.531
ˈʊ	ˈɔ	0.5
ˈɔʏ̯	-	0.5
ˈœ	ˈɛ	0.5
ˈœ	-	0.5
ˈyː	j_ˈuə̯	0.5
ˈyː	-	0.5
ˈeː	-	0.5
ʃ	s	0.462
d_n	d_ə	0.429
ˈɔʏ̯	ˈiə̯	0.4
ˈaʊ̯	ˈuə̯	0.4
d	t	0.393
ɐ	ə_r	0.375
ˈiː	ˈiː	0.353
ˈiː	ˈi	0.353
ˈaʊ̯	ˈɪə̯	0.35
ɡ	ɡ	0.345
ɡ	k	0.345
ˈʏ	ˈɪ	0.333
v	v	0.333
ˈaɪ̯	ˈiə̯	0.318
s	s_t	0.3
ˈɛ	ˈɔ	0.286
ˈɔ	ˈoə̯	0.286
ˈuː	-	0.286
d	d	0.279
ˈoː	ˈiə̯	0.273
ˈʏ	-	0.25
ˈeː	ˈɪ	0.25
ˈeː	ˈiə̯	0.25
ç	χ_t	0.222
ç	ɣ_ə	0.222
ˈʊ	ˈu	0.214
d	d̥	0.213
b	p	0.2
n	ə	0.196
ˈoː	ˈɪə̯	0.182
ˈoː	ˈaː	0.182
ˈoː	-	0.182
ˈaɪ̯	ˈɪə̯	0.182
ˈiː	ˈɛ_j	0.176
ɡ	k_ə	0.172
ˈʏ	ˈɛː	0.167
ˈʏ	ˈy	0.167
ˈɪ	ˈi	0.16
ˈaʊ̯	-	0.15
ˈʊ	ˈuː	0.143
ˈʊ	-	0.143
ˈuː	ˈuə̯	0.143
ˈa	ˈɛː	0.143
ˈa	ˈɔː	0.143
ˈa	ˈaː	0.143
ˈaɪ̯	ˈaː	0.136
ˈɪ	-	0.12
ˈiː	j	0.118
z	ɕ	0.111
r	r_ˈuː	0.111
r	-	0.111
m	v_ə	0.103
ˈɔʏ̯	ˈu̯o	0.1
ˈaʊ̯	ˈoː	0.1
ɐ	ə	0.094
ˈoː	ˈoə̯	0.091
ˈoː	ˈa	0.091
ˈaɪ̯	ˈɪ	0.091
ˈaɪ̯	ˈeː	0.091
ˈaɪ̯	j_ˈɪ	0.091
ˈaɪ̯	j	0.091
l	-	0.087
ˈʏ	ˈøə̯	0.083
ˈɪ	ˈɔ	0.08
ˈɪ	ˈiː	0.08
n	n_ə	0.078
ɡ	ɣ_j	0.069
ɡ	ɣ	0.069
n	n_d	0.059
n	j_ə	0.059
