West Frisian	Old English	probability
ˈɪə̯_r	r_ɑ	1.0
ˈɔ_k	kː	1.0
ˈøə̯	ˈeːo̯	1.0
ˈø	-	1.0
ˈyː	ˈuː	1.0
ˈy_k	ʧː	1.0
ˈy	-	1.0
ˈu̯o	ˈeː	1.0
ˈu	ˈu	1.0
ˈiə̯_n	ˈɑː_n	1.0
ˈi_t	t	1.0
ˈeː	-	1.0
ˈai̯	ˈiy̯	1.0
ɪ	iː	1.0
ɣ_ə	ʤ	1.0
ɣ	ɣ	1.0
ə_χ	i_j	1.0
ɕ	s	1.0
ŋ	ŋ	1.0
s_k	ʃ	1.0
j_ˈɪ	ˈeːo̯	1.0
j_ˈɔ	ˈi	1.0
j_ɪ	iːy̯	1.0
j_ə	i_ɑ	1.0
h	h	1.0
f_ˈɪ	f_ˈi	1.0
f	f	1.0
d̥	θ	1.0
b	b	1.0
s	s	0.953
m	m	0.946
t	t	0.92
r	r	0.916
ʋ	w	0.859
p	p	0.853
ɡ	ɡ	0.804
ˈɔː	ˈɑ	0.74
v	w	0.734
d	d	0.704
ˈuə̯	ˈoː	0.634
l	l	0.621
n	n	0.592
ˈa	ˈɑ	0.582
ˈɔ	ˈu	0.578
z	ʤː	0.557
ˈi	ˈiː	0.541
j	-	0.528
k	ʧ	0.527
ˈuː	ˈuː	0.517
ˈɛː	ˈæɑ̯_r	0.508
ˈɛi̯	-	0.5
z	z	0.443
ʦ	θ	0.435
ˈɪə̯	ˈæːɑ̯	0.419
χ	x	0.41
ˈɛ	-	0.402
ˈiː	ˈiː	0.385
ˈoə̯	ˈo_r	0.372
ˈɛ	ˈeo̯	0.368
ˈuə̯	-	0.366
ʦ	-	0.355
ˈɪ	ˈi	0.345
k	k	0.344
ə	ɑ_n	0.324
ˈiː	ˈi	0.304
ˈɪ	-	0.302
χ	ç	0.3
ˈuː	-	0.298
l	ɫ	0.298
ˈɛː	ˈæ	0.295
ˈɛi̯	ˈe_j	0.295
ˈaː	-	0.293
ˈiə̯	ˈeː	0.274
ˈoə̯	ˈoː	0.264
ˈɔː	ˈæɑ̯_ɫ	0.26
ˈɪə̯	-	0.258
ə	e	0.232
ˈɔ	ˈo	0.231
ˈi	ˈi	0.23
ˈi	ˈeː	0.229
ˈoə̯	ˈo	0.217
j	ˈeːo̯	0.213
ʦ	xː	0.21
ˈiə̯	ˈeːo̯	0.209
ˈɛi̯	ˈæ_j	0.205
ˈɛː	ˈy	0.197
ɡ	j	0.196
ˈɔ	-	0.191
d	θ	0.189
ˈɪə̯	ˈɑː	0.188
v	v	0.188
ˈɛ	ˈe	0.186
ˈuː	ˈyː	0.185
ˈiː	-	0.182
χ	ʤ	0.18
ˈiə̯	ˈæːɑ̯	0.178
ˈiə̯	ˈæː	0.167
n	n_d	0.167
ə	o	0.165
ˈa	ˈæ	0.162
j	ɑ	0.16
ˈaː	ˈɑ	0.158
ˈaː	ˈæː	0.158
ˈaː	ˈæɑ̯	0.148
ˈa	ˈe	0.148
ˈoə̯	r	0.147
p	pː	0.147
ʋ	h_w	0.141
ˈɪə̯	ˈæɑ̯	0.135
ˈɪ	ˈy	0.132
ˈiː	ˈeːo̯	0.129
k	ʃː	0.129
ˈaː	ˈæ	0.126
n	nː	0.12
ˈaː	ˈɑː	0.116
χ	ɣ̊	0.11
ə	-	0.109
ˈa	ˈi	0.108
d	dː	0.107
ə	n	0.101
j	ˈiː	0.099
ˈiə̯	ˈeo̯	0.09
ˈiə̯	ˈɑː_w	0.083
l	ɫː	0.081
ˈɪ	ˈe	0.079
v	bː	0.078
ˈɪ	ˈu	0.073
n	n_e	0.067
n	-	0.054
m	mː	0.054
