Old West Norse	Pennsylvania German	probability
θ	d	1.0
ˈɛi̯	ˈeː	1.0
ˈɛ_ɡː	ˈɔɪ̯	1.0
ˈɔː	ˈʊ	1.0
ˈɑː_r	ˈɔː_ɑ	1.0
ˈɑ_r	ˈaː	1.0
ˈøy̯	-	1.0
ˈuː	ˈaʊ̯	1.0
ˈo_r	ˈaː	1.0
ˈiː	ˈaɪ̯	1.0
ˈeː_r̥	ˈeː_ɑ	1.0
ˈa	ˈa	1.0
ʦ	d̥	1.0
ʝː	ɣ	1.0
ɾ	ɑ	1.0
ɡː	-	1.0
ɟː	-	1.0
ɟ	ɡ	1.0
ɑː	eː	1.0
ŋ_ɡ	ŋ	1.0
ŋ_ɟ	ŋ	1.0
ç	h	1.0
x_w	ʋ	1.0
u	-	1.0
tʰ	ʦ	1.0
t_ɑ	s_ə	1.0
sː	s	1.0
s_t	ʃ_d̥	1.0
s_k	ʃ	1.0
s_j	s	1.0
r̥ː	ɑ	1.0
r_i	ɑ	1.0
pː	f	1.0
pʰ	b	1.0
n̥	n	1.0
nː	n	1.0
n_d	n	1.0
m_r̥	ə_m	1.0
m	m	1.0
l̥	l	1.0
lː	l	1.0
l	l	1.0
kʰ	k	1.0
j_ˈɔ	ˈɛ	1.0
j_ˈɑ	ˈɛː	1.0
j_ˈuː	ˈiː	1.0
j_ˈoː	ˈiː	1.0
j_ɑ	ə	1.0
j	ˈɪ	1.0
i_r̥	d_ɑ	1.0
h	h	1.0
f_r̥	b̥	1.0
f	f	1.0
e	ˈɛ	1.0
d_r̥	d̥	1.0
d	d̥	1.0
cː	k	1.0
cʰ	k	1.0
b	b	1.0
a	ə	1.0
ˈi	ˈɪ	0.922
n	n	0.867
p	f	0.86
ɑ	ə	0.837
c	ʃ	0.743
k	ç	0.699
ˈøː	ˈiː	0.696
t	s	0.684
v	ʋ	0.674
ˈɔ	-	0.669
i	-	0.657
ˈɛ	ˈɛ	0.635
ŋ	ŋ	0.626
ˈɑu̯	ˈɔː	0.619
kː	k	0.61
ˈɛː	ˈeː	0.609
ɡ_r̥	ɡ̊	0.578
ˈu	ˈʊ	0.568
s	s	0.566
r	ɾ	0.552
ˈeː	ˈiː	0.549
ˈy	ˈɪ	0.546
ˈɑː	ˈoː	0.543
ˈoː	ˈuː	0.54
r̥	ɑ	0.533
ɡ	ç	0.532
ˈɑ	ˈa	0.521
ð	d̥	0.506
ˈyː	ˈaɪ̯	0.501
ˈyː	-	0.499
ɡ	ɡ	0.468
r̥	d̥	0.467
ˈeː	ç	0.451
ɣ	ɡ̊	0.448
ɡ_r̥	ɑ	0.422
tː	d̥	0.395
ˈɛː	-	0.391
kː	ŋ_k	0.39
ˈɑu̯	ˈoː	0.381
ŋ	-	0.374
ˈe	-	0.372
ˈɛ	ˈa	0.365
ð	d	0.362
i	ɑ	0.343
s	ʃ	0.341
r	ɑ	0.341
ˈe	ˈɛ	0.34
ˈɑ	ˈɔː	0.334
ˈɔ	ˈa	0.331
ˈøː	-	0.304
ˈo	-	0.291
ˈu	-	0.276
ˈo	ˈaː	0.271
c	n_ʃ	0.257
ˈoː	-	0.256
ˈɑː	ˈa	0.253
ɣ	j	0.245
ˈy	ˈɛ	0.227
ˈy	-	0.227
tː	ʦ	0.225
tː	x	0.212
ˈɑː	ˈeː	0.204
ˈoː	ˈʊ	0.204
ɣ	-	0.179
ˈo	ˈɔ	0.173
t	ʦ	0.172
tː	x_d̥	0.169
k	ʃ	0.169
ɑ	-	0.163
ˈe	ˈɛː	0.159
ˈu	ˈɔ	0.156
ˈo	ˈoː	0.151
ˈɑ	ˈɛ	0.145
t	t	0.144
p	p	0.14
n	ə	0.133
k	-	0.133
ð	-	0.132
ˈe	ˈɪ	0.13
ɣ	ɣ	0.128
ˈo	ˈʊ	0.115
v	f	0.115
v	-	0.108
v	b̥	0.102
s	ˈɪ	0.094
ˈi	-	0.078
r	ˈa	0.068
