Zeelandic	East Low German	probability
ˈʊə̯_ɾ	ˈuː	1.0
ˈɒː	ˈa	1.0
ˈɑu̯	ˈɔ_l	1.0
ˈɑ	ˈa	1.0
ˈæi̯	ˈae̯	1.0
ˈæ_ɾ	ˈaː	1.0
ˈeː	ˈɛː	1.0
ɫ	l	1.0
ɪ	ɪ	1.0
ə_ɾ	æ	1.0
ŋ	ŋ	1.0
z̥	s	1.0
x_t	ç	1.0
x_#>	ç_#>	1.0
w	-	1.0
v_ə	m	1.0
v	f	1.0
t_ə	t	1.0
s_x	ʃ	1.0
p_ə	p	1.0
p	p	1.0
m	m	1.0
l	l	1.0
k_ə	k	1.0
j	j	1.0
b	b	1.0
<#_n	<#_n	1.0
n	n	0.936
ˈɛː	ˈɒː	0.889
ʋ	v	0.87
z	z	0.864
ˈyː	ˈuː	0.857
ˈʊə̯	ˈaʊ̯	0.833
ˈɪ	ˈɪ	0.833
ˈɪə̯	ˈae̯	0.8
v̥	f	0.8
d	d	0.781
t	t	0.75
ˈæ	ˈɛ	0.714
s	ʃ	0.7
ə	-	0.648
ˈi	ˈiː	0.643
ə_n	æ_n	0.6
x_ə	ŋ	0.6
ˈuː	ˈaʊ̯	0.571
k	kʰ	0.538
d̥	d	0.538
ˈiː	ˈae̯	0.533
ɾ	r	0.513
ˈʏ	ˈʏ	0.5
ˈʏ	ˈʊ	0.5
ˈøː	ˈɔ	0.5
ˈøː	ˈœː	0.5
ˈu	ˈʊ	0.5
ˈu	ˈaʊ̯	0.5
ŋ_k	ŋ	0.5
ŋ_k	ç	0.5
ˈɔ	ˈʊ	0.471
d̥	t	0.462
ˈuː	ˈɔʏ̯	0.429
ɾ	æ	0.41
x	ɡ	0.409
ə_n	n	0.4
x_ə	ɡ	0.4
k	k	0.385
x	x	0.364
ˈi	ˈɪ	0.357
ə	n	0.315
s	s	0.3
ˈɔ	ˈɔ	0.294
ˈæ	ˈiː	0.286
ˈiː	ˈiː	0.267
t	tʰ	0.25
d	-	0.219
ˈɪə̯	ˈeː	0.2
ˈiː	ˈyː	0.2
v̥	m	0.2
ˈʊə̯	ˈoː	0.167
ˈɪ	ˈʏ	0.167
ˈyː	ˈiː	0.143
z	ʃ	0.136
x	j	0.136
ʋ	w	0.13
ˈɔ	ˈʏ	0.118
ˈɔ	r	0.118
ˈɛː	ˈoː	0.111
x	ç	0.091
ɾ	ˈaː	0.077
k	ç	0.077
n	-	0.064
