Gascon	Gascon	probability
ˈɛ_j	ˈa	1.0
ˈa_β	ˈa_p	1.0
ʦ	k_ɛ	1.0
ʤ	ð	1.0
ɾ_ˈe	ɾ_ˈɛ	1.0
ɾ_ɔ	a	1.0
ɾ_e	ɾ_u	1.0
ŋ_k	m	1.0
ð_ɔ	t_a	1.0
y	u	1.0
s_t	s_t	1.0
s_k	s_k	1.0
p	p	1.0
n_d	nː	1.0
m	m	1.0
lː	z_j	1.0
k_a	k_a	1.0
k_#>	k_u_#>	1.0
k	k	1.0
j_ˈe	ˈe	1.0
j_t	t	1.0
h	f	1.0
f	u_f	1.0
e_#>	#>	1.0
d	d	1.0
b	b	1.0
a_w	o	1.0
a_r	r	1.0
<#_ˈe	<#_ˈi	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʒ	<#_ʣ	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_n	<#_n	1.0
<#_k	<#	1.0
<#_a_r	<#_ɾ	1.0
ˈi	ˈi	0.923
a	a	0.867
ɔ	a	0.825
<#_e	<#_i	0.818
ˈy	ˈu	0.792
ɡ	ɡ	0.778
n	n	0.769
ɾ	ɾ	0.731
n_#>	n_t_u_#>	0.714
t	t	0.71
w_ˈe	ˈɔ	0.7
ˈa	ˈa	0.695
l	l	0.674
w_#>	l_u_#>	0.625
ˈɔ	ˈo	0.6
ɲ	n_ʣ	0.571
j	-	0.571
ˈɛ	ˈɛ	0.556
r	ɾ	0.529
ŋ	n_u	0.524
ɣ	k	0.5
ð	ð	0.5
ð	t	0.5
s_#>	z_ɛ̆_#>	0.5
s_#>	z_ă_#>	0.5
j_ʃ	s_k	0.5
j_ʃ	s	0.5
<#	<#_i	0.5
<#	<#_a	0.5
s	s	0.484
#>	ɛ_#>	0.468
β	β	0.462
ʎ	k_ɾ	0.462
ˈu	ˈɔ	0.444
ʒ	ɡ	0.429
w	-	0.429
u	ɔ	0.429
ˈɔ	ˈɔ	0.4
ˈe	ˈi	0.4
ˈu	ˈu	0.389
ʎ	ʣ	0.385
w_#>	ɛ_#>	0.375
ˈɛ	ˈe	0.37
#>	u_#>	0.358
z	z	0.333
z	j_z	0.333
z	-	0.333
i	i_n	0.333
i	i	0.333
i	-	0.333
e	ɛ_ɾ	0.333
ˈe	ˈɛ	0.314
β	-	0.308
ɣ	ɣ	0.3
w_ˈe	ˈo	0.3
r	r	0.294
ˈe	ˈe	0.286
ʒ	ɡ_e	0.286
ʒ	-	0.286
ɲ	nː	0.286
ŋ	n_ɛ	0.286
u	o	0.286
u	-	0.286
n_#>	n_t_ɛ_#>	0.286
s	k	0.258
ˈa	ˈa_ɾ	0.254
e	i	0.25
l	ɾ	0.233
β	p	0.231
n	nː	0.231
ɡ	-	0.222
w	β_ɛ	0.214
w	β_u	0.214
ɣ	-	0.2
s	ɔ_z	0.194
<#_e	<#	0.182
r	-	0.176
ˈu	ˈo	0.167
t	ɖː	0.161
ʎ	l	0.154
ɲ	ɲ	0.143
w	ˈo	0.143
j	ʣ_u	0.143
j	ɣ_ɛ	0.143
j	u	0.143
e	ɛ	0.139
a	ˈa	0.133
ˈy	ˈu_ɾ	0.125
ɾ	ɛ_ɾ	0.115
ŋ	nː_u	0.095
ŋ	n	0.095
l	-	0.093
#>	ɾ_ɛ_#>	0.092
ˈy	-	0.083
e	ɾ_u	0.083
e	i_k	0.083
ˈi	i	0.077
ɾ	ɾ_a	0.077
ɾ	-	0.077
ˈɛ	-	0.074
ɔ	n_a	0.07
t	ð_u	0.065
t	-	0.065
s	p_u	0.065
e	ɾ	0.056
e	-	0.056
ɔ	ɛ	0.053
ɔ	-	0.053
ˈa	-	0.051
