Italian	Aromanian	probability
b	b	1.0
kː	k	1.0
nː	n	1.0
rː	r	1.0
tː	p_t	1.0
w	-	1.0
ŋ	n	1.0
ʃː	ʃ_t	1.0
ʎː	ʎ	1.0
ʧ	ʦ	1.0
ˈu	ˈu	1.0
a	-	0.1
d	ʣ	0.191
k	k	0.961
l	-	0.071
n	n	0.911
v	-	0.361
ɡ	ɡ	0.71
ʤ	ʤ	0.051
ˈe	e̯ˈa	0.51
ˈɔ	ˈu	0.351
ˈɔ	ˈo	0.371
e	i	0.852
f	ç	0.42
i	i	0.792
j	l	0.22
p	p	0.762
s	ʃ	0.2
t	t	0.72
v	j	0.372
ˈa	-	0.062
ˈo	ˈu	0.692
m	ɲ	0.103
ɡ	-	0.063
ˈɛ	ˈe	0.253
a	ə	0.674
ˈe	ˈe	0.144
ˈo	o̯ˈa	0.134
ˈɔ	o̯ˈa	0.234
o	u	0.705
ˈi	ˈə	0.085
ˈi	ˈi	0.915
ˈo	ˈo	0.175
o	i	0.066
ˈe	ˈi	0.346
a	i	0.157
e	ə	0.067
l	l	0.447
l	r	0.447
m	m	0.897
r	r	0.97
v	v	0.267
f	f	0.58
i	-	0.208
p	k	0.238
s	s	0.8
t	ʦ	0.28
ɡ	k	0.228
ˈɛ	e̯ˈa	0.188
a	a	0.069
d	d	0.809
j	ʎ	0.389
j	-	0.39
n	-	0.089
o	ə	0.139
ʤ	ʣ	0.949
ˈa	ˈɨ	0.369
ˈa	ˈa	0.569
ˈɛ	ˈa	0.209
ˈɛ	ˈi	0.349
