Lombard	Catalan	probability
a	ə	0.939
a	-	0.06
ã	ə	0.561
ã	ɲ	0.425
b	b	0.697
b	β	0.203
b	k	0.084
d	d	0.526
d	ð	0.285
d	-	0.086
d	ʤ	0.079
e	ə	0.66
e	-	0.181
e	ˈɛ	0.077
e	u	0.068
e_r	ɾ	1.0
ẽ	-	0.518
f	f	0.737
f	w	0.18
i	ə	0.484
i	i	0.232
i	w	0.153
ĩ	i	0.74
ĩ	ə	0.151
j	l	0.368
j	-	0.36
j	ʎ	0.103
j	ˈɛ	0.058
j	u	0.053
j_r	ɾ	0.518
k	k	0.863
k	ŋ	0.073
l	ʎ	0.576
l	l	0.346
l	-	0.076
l_a	l	0.518
m	m	0.963
n	n	0.882
n	ɲ	0.073
o	u	1.0
p	p	0.885
p	s	0.087
r	ɾ	0.484
r	r	0.402
r	-	0.109
s	s	0.636
s	-	0.222
s	ʃ	0.055
t	t	0.762
t	n	0.184
u	u	0.606
u	ə	0.162
u	-	0.107
u	w	0.107
ũ	u	0.518
v	b	0.139
w	w	1.0
y	u	0.5
y	ə	0.5
z	m	0.488
z	-	0.334
ɛ	-	0.393
ɛ	ə	0.204
ɡ	ɡ	0.37
ɡ	ɣ	0.302
ɡ	-	0.101
ɡ	k	0.081
ɡ	β	0.081
ɡ	b	0.065
ɲ	ɲ	0.77
ɲ	n	0.171
ɲ	-	0.061
ʃ	s	0.822
ʃ	ɾ	0.124
ʋ	b	0.512
ʋ	β	0.361
ʋ	-	0.122
ʤ	ʒ	0.567
ʤ	ɡ	0.218
ʤ	ʎ	0.137
ʤ	n	0.066
ʦ	s	0.32
ʦ	w	0.175
ʦ	t	0.133
ʦ	ʧ	0.133
ʦ	ɲ	0.104
ʦ	-	0.102
ʧ	s	0.347
ʧ	ʎ	0.246
ʧ	t	0.229
ʧ	k	0.099
ʧ	-	0.053
ˈa	ˈa	0.865
ˈa	ˈe	0.078
ˈaː	ˈa	1.0
ˈãː	ˈa	0.921
ˈãː	u	0.081
ˈe	ˈe	0.541
ˈe	ˈɛ	0.413
ˈeː	ˈɛ	1.0
ˈẽː	ˈe	0.517
ˈẽː	ˈɛ	0.22
ˈẽː	ŋ	0.131
ˈi	ˈi	0.743
ˈi	ˈu	0.113
ˈi	ˈi_ʎ	0.086
ˈi	ˈe	0.058
ˈĩː	ˈi	1.0
ˈo	ˈɔ	0.518
ˈu	ˈo	0.476
ˈu	ˈɔ	0.225
ˈu	w	0.11
ˈu	ˈu	0.11
ˈu	ˈi	0.064
ˈuː	ˈo	0.518
ˈũː	ˈo	0.432
ˈũː	ˈɔ	0.257
ˈũː	ˈu	0.195
ˈũː	-	0.101
ˈy	ˈu	0.65
ˈy	ˈo	0.19
ˈy	ˈɛ	0.078
ˈy	ɲ	0.076
ˈyː	ˈu	0.384
ˈyː	ˈo	0.375
ˈyː	ˈɔ	0.177
ˈỹː	ˈu	0.518
ˈø	ˈu	0.476
ˈø	ˈo	0.283
ˈø	ˈɔ	0.176
ˈøː	ˈɔ	1.0
ˈɔ	ˈɔ	0.793
ˈɔ	ˈɛ	0.087
ˈɔ	w	0.058
ˈɔ	ˈa	0.058
ˈɛ	ˈɛ	0.481
ˈɛ	ˈe	0.394
ˈɛ	ˈi	0.072
ˈɛ	ˈɛ_w	0.052
ˈɛ̃ː	ˈe	1.0
ˈˈi	w	1.0
