Western Lombard	Western Lombard	probability
ˈɛ_r	ˈe_ʀ	1.0
ˈɔ_t	ˈœ_j	1.0
ˈɑː_s	ˈa_s	1.0
ˈɑː_r	ˈa	1.0
ˈɑː_d	ˈe_j	1.0
ˈy	ˈu	1.0
ˈoː	ˈa_w	1.0
ˈo	-	1.0
ˈĩ	ˈĩ	1.0
ˈi_#>	#>	1.0
ˈi	ˈi	1.0
ˈã	ˈã	1.0
ˈa_n	ˈã_ŋ	1.0
ˈa_l	ˈa_w	1.0
ˈa_#>	ˈa_#>	1.0
ʧ_#>	#>	1.0
ʃ	ʧ	1.0
ɲ	ɲ	1.0
ɛ	ə	1.0
y	u	1.0
w	-	1.0
ũ	ũ	1.0
s_ˈɛ	s_ˈɪ	1.0
s_t	t	1.0
s_e	s_ə	1.0
s_a	s_ɔ	1.0
s_#>	#>	1.0
r_t_#>	ʀ_#>	1.0
r_n_#>	ʀ_#>	1.0
r_a	ʀ	1.0
r_#>	#>	1.0
l_a	ɔ	1.0
k_r	k_ʀ	1.0
k_#>	k_#>	1.0
ĩ	-	1.0
f_#>	w_#>	1.0
ẽ	ˈɪ_j_n	1.0
b	b	1.0
ã	ã	1.0
<#_t	<#_t	1.0
<#_r	<#_ʀ	1.0
<#_a	<#_ɒ	1.0
<#	<#_ɒ	1.0
p	p	0.906
ˈɑː	ˈa	0.889
f	f	0.857
t	t	0.85
l_#>	l_#>	0.846
a	ɔ	0.836
ˈuː	ˈu	0.818
n	n	0.818
m	m	0.815
<#_ʧ	<#_s	0.75
ˈu	ˈu	0.727
e_r	ʀ_ə	0.727
ˈẽ	ˈẽ	0.714
ʧ	ʎ	0.714
ˈa	ˈa	0.688
ɡ	ɡ	0.688
r	ʀ	0.676
ˈɛ	ˈe	0.654
t_#>	ŋ_#>	0.643
s	s	0.63
<#_l	<#_l	0.625
ʤ	ʎ	0.6
ʒ	ʤ	0.6
z	-	0.6
d	d	0.586
k	ʧ	0.576
ˈũ	w_ˈɔ̃	0.571
ˈe	ˈɪ	0.571
j	l	0.556
ˈiː	ˈi	0.545
ˈœ	ˈœ	0.5
ˈœ	-	0.5
ˈøː	w_ˈɔ	0.5
ˈeː	ˈɪ	0.5
l	l	0.5
i	ə	0.5
i	-	0.5
ˈyː	ˈy	0.467
v	v	0.444
ˈɔ	w_ˈɔ	0.429
ˈɔ	w	0.429
ˈũ	ˈũ	0.429
ˈe	-	0.429
u	u	0.417
ˈyː	-	0.4
ʤ	ʤ	0.4
ʒ	-	0.4
z	s	0.4
#>	ŋ_#>	0.387
ˈeː	ˈe	0.375
k	k	0.364
t_#>	#>	0.357
ˈa	ˈe_j	0.312
ɡ	-	0.312
e	ə	0.312
e	-	0.312
ˈøː	ˈœ	0.3
ˈẽ	ˈɪ̃_ŋ	0.286
ʧ	k_l	0.286
ˈu	w_ˈɔ	0.273
ˈiː	ˈɪ	0.273
e_r	ə	0.273
u	-	0.25
l	-	0.25
e	ɒ	0.25
<#_ʧ	<#	0.25
<#_l	<#_ʎ	0.25
#>	ə_#>	0.226
j	ʎ	0.222
j	-	0.222
ˈøː	j_ˈɔ	0.2
#>	ɔ_#>	0.194
v	vʲ	0.185
ˈuː	-	0.182
ˈiː	-	0.182
u	ˈu	0.167
u	œ	0.167
ˈɛ	ə	0.154
l_#>	#>	0.154
s	ɪ	0.152
t	d	0.15
l	ˈa_l	0.15
r	-	0.147
ˈɔ	-	0.143
f	fʲ	0.143
d	-	0.138
a	ɒ	0.134
ˈyː	l	0.133
ˈeː	ˈa	0.125
e	ʀ	0.125
<#_l	<#	0.125
n	-	0.121
r	ʀ_ə	0.118
ˈɛ	-	0.115
ˈɑː	-	0.111
v	ʤ	0.111
v	w	0.111
m	mʲ	0.111
d	j_ʀ	0.103
d	dʲ	0.103
l	ˈe_ʎ	0.1
#>	s_#>	0.097
#>	e_#>	0.097
ˈɛ	ˈɛ	0.077
v	ʀ	0.074
v	-	0.074
m	-	0.074
d	ʧ	0.069
p	-	0.062
n	ŋ	0.061
k	k_w	0.061
r	ʀ_ˈɪ	0.059
