Proto-Balto-Slavic	Latvian	probability
́ˀ_w	v	1.0
́ˀ	-	1.0
́	-	1.0
ˀ	-	1.0
ɡ_a	ɡ̊	1.0
ɛ	ɛ	1.0
ŋ	uɔ̯	1.0
z	ɡ_z	1.0
w_a	w	1.0
w	v	1.0
uː_́ˀ	uː	1.0
t_a	t	1.0
t	t	1.0
sʲ	s	1.0
s	s	1.0
r_i	r	1.0
r_a	r	1.0
p	p	1.0
o	-	1.0
n_a	n	1.0
m_b	b̥	1.0
m	m	1.0
l_i	l	1.0
l_a	l̩	1.0
l	l	1.0
j	-	1.0
iː	iː	1.0
i_́	i	1.0
ei̯	iɛ̯	1.0
e_́	æ	1.0
d_a	d̥	1.0
b	b	1.0
aː_́ˀ	a	1.0
au̯	au̯	1.0
a_́	a	1.0
a_s	s	1.0
a_n	uɔ̯	1.0
ai̯	iɛ̯	0.888
r	r	0.873
d	d	0.792
eː	-	0.774
k	k	0.745
zʲ	z	0.734
n	n	0.688
ɡ	ɡ	0.573
ʃ	-	0.544
u	u	0.535
i	i	0.528
i	-	0.472
u	-	0.465
ʃ	ʃ	0.456
ɡ	ʣ	0.427
aː	ɛ	0.413
a	-	0.411
oː	uɔ̯	0.401
e	ɛ	0.389
oː	aː	0.371
aː	a	0.371
a	s	0.353
n	-	0.312
zʲ	z̥	0.266
e	-	0.254
oː	ɛ_n	0.228
eː	ɛ	0.226
aː	aː	0.215
d	-	0.208
a	a	0.191
e	æː	0.176
k	ʦ	0.169
r	r̩	0.127
ai̯	ai̯	0.112
e	a	0.109
k	ʧ	0.086
e	æ	0.072
