Slovak	Slovenian	probability
<#_b	<#_b	1.0
<#_c	<#_t	1.0
<#_d	<#_d	1.0
<#_j	<#_j	1.0
<#_k	<#_k	1.0
<#_l	<#_l	1.0
<#_m	<#_m	1.0
<#_n	<#_n	1.0
<#_p	<#_p	1.0
<#_r	<#_r	1.0
<#_s	<#_s	1.0
<#_t	<#_t	1.0
<#_v	<#_ʋ	1.0
<#_x	<#_x	1.0
<#_z	<#_z	1.0
<#_ɟ	<#_d	1.0
<#_ɦ	<#_ɡ	1.0
<#_ɲ	<#_n	1.0
<#_ʃ	<#_ʃ	1.0
<#_ʋ	<#_ʋ	1.0
<#_ʒ	<#_ʒ	1.0
<#_ʧ	<#_ʧ	1.0
a_#>	a_#>	1.0
b	b	1.0
c	t_i	1.0
c_#>	t_#>	1.0
d	d	1.0
d_ɫ	l	1.0
k	k	1.0
k_#>	k_#>	1.0
m	m	1.0
m_#>	m_#>	1.0
n	n	1.0
n_iː	n	1.0
p	p	1.0
p_#>	p_#>	1.0
r_#>	r_#>	1.0
r_ˈaː	r_àː	1.0
s	s	1.0
s_#>	s_#>	1.0
t	t	1.0
t_#>	t_#>	1.0
v	ʋ	1.0
x	x	1.0
x_iː_#>	x_#>	1.0
z	z	1.0
ɔ	ə	1.0
ɛ_#>	ɛ_#>	1.0
ɟ	d	1.0
ɦ	ɡ	1.0
ɪ̯ˈa	èː	1.0
ɪ̯ˈɛ_k	èː_k	1.0
ɪ̯ˈɛ_s	èː_s	1.0
ɫ	l	1.0
ɫ_#>	w_#>	1.0
ɲ_#>	n_#>	1.0
ʃ	ʃ	1.0
ʊ̯ˈɔ	ɔ́	1.0
ʋ	ʋ	1.0
ʋ_ˈɛ	ʋ_éː	1.0
ˈu	óː	1.0
ˈɔ_x_#>	óː_k	1.0
ˈɫ̩	ɔ́ː_w	1.0
ˈɔ	óː	0.312
iː	w	0.3
ɔ_#>	ɔ_#>	0.583
ɛ	éː	0.273
ʎ	w_#>	0.333
ʦ	ʧ	0.333
ˈɛ	éː	0.353
i	i	0.4
ɛ	ɛ	0.364
ɛ	ə	0.364
ɪ̯ˈɛ	éː	0.4
ˈa	áː	0.294
ˈa	àː	0.294
ˈi	íː	0.444
ˈr̩	ə_r	0.4
<#_ˈɔ	<#_o	0.5
<#_ˈɔ	<#_ɔ̀ː	0.5
l	l_ɛ́	0.25
l	ə	0.25
l	l	0.5
ˈɔ	o	0.125
ˈɔ	ɔ	0.125
ˈɔ	ɔ̀ː	0.25
ˈɛ	ɛ̀ː	0.235
ˈɛ	e	0.235
i	-	0.6
r	r_j	0.176
r	r	0.706
ɪ̯ˈɛ	èː	0.6
ˈa	á	0.176
ˈi	ìː	0.556
ˈr̩	ə́_r	0.6
ˈɛ	èː	0.176
iː	-	0.7
ɔ_#>	óː_#>	0.417
ʎ	l	0.667
ʦ	ʦ	0.667
r	r_#>	0.118
ˈa	ɛ̀ː	0.118
ˈa	éː	0.118
ˈɔ	òː	0.188
