East Franconian	Swabian	probability
β	b	1.0
ˈɛː	ˈɛː	1.0
ˈɘ	-	1.0
ˈɒː	ˈa	1.0
ˈɒ_n	ˈaː	1.0
ˈoː_n	ˈoː_n	1.0
ˈaʊ̯	ˈao̯	1.0
ˈa	ˈa	1.0
ʦ	ʦ	1.0
ʃ	ʃ	1.0
ɾ	d	1.0
ɪ	ɪ	1.0
ɣ	ɡ	1.0
ɡ̊_n	ɡ	1.0
ɡ̊	ɡ	1.0
ə	a	1.0
ɐ_n	ʁ_a	1.0
z̥_n	s_a	1.0
z̥	s	1.0
x	x	1.0
v̥	f	1.0
v	ʋ	1.0
r	ʁ	1.0
n_a	n	1.0
m	m	1.0
l	l	1.0
kʰ	kʰ	1.0
j	j	1.0
i	i	1.0
h	h	1.0
f	f	1.0
eː	eə̯	1.0
d̥_n	d	1.0
b̥͡v̥	b̥͡f	1.0
b̥	b	1.0
d̥	d	0.979
s	s	0.961
ˈɒ	ˈa	0.952
ˈɛ	ˈɛ	0.917
ˈɔ	ˈo	0.797
ˈʊ	ˈo	0.77
ˈaː	ˈɔe̯	0.669
ɣ̊	ɡ	0.626
ˈaɪ̯	ˈəi̯	0.617
ˈeː	ˈɛː	0.605
ɐ	ʕ	0.562
a	a	0.549
n	n	0.538
ˈoː	ˈɔː	0.502
ˈoː	ˈaː	0.498
ŋ	ŋ	0.484
a	-	0.451
ɐ	ʌ	0.438
ç	ç	0.415
ŋ	ɡ_a	0.402
ˈuː	ˈoː	0.395
ˈeː	ˈeː	0.395
ˈuː	ˈuə̯	0.392
ˈaɪ̯	ˈae̯	0.383
ç	ɡ	0.383
ɣ̊	-	0.374
ˈɪ	ˈi	0.311
ˈiː	ˈiə̯	0.287
ˈɪ	ˈɪ	0.275
ˈɪ	ˈe	0.237
ˈiː	ˈi	0.237
ˈʊ	ˈu	0.23
n	a	0.23
ˈiː	ˈiː	0.222
ˈaː	ˈao̯	0.208
ç	-	0.202
ˈiː	-	0.164
ˈɔ	ˈa	0.138
ˈuː	ˈuː	0.131
ˈaː	-	0.123
n	-	0.123
ˈɪ	ˈɛ	0.12
ŋ	ç	0.114
n	n_d	0.109
ˈiː	ˈeː	0.09
ˈɛ	ˈe	0.083
ˈuː	ˈɔə̯	0.082
ˈɔ	ˈɔ	0.065
ˈɪ	ˈu	0.057
