Spanish	Franco-Provençal	probability
f	f	1.0
i	-	1.0
r	ʁ	1.0
ŋ	-	1.0
ʧ	-	1.0
b	v	0.671
e	a	0.051
l	-	0.131
o	ˈe	0.181
t	t	0.571
ɣ	v	0.161
ɣ	-	0.51
ɾ	ð	0.161
ˈe	j	0.061
ˈe	ˈɛ	0.151
ˈi	ˈĩ	0.231
d	d	0.92
m	-	0.262
p	-	0.112
s	ʃ	0.072
w	-	0.562
ˈi	ˈe	0.392
ˈo	ˈø	0.072
ˈo	ˈu	0.172
a	-	0.093
a	a	0.613
j	<#_f	0.063
k	t	0.053
n	-	0.303
o	ˈɔ̃	0.053
ð	-	0.963
ˈa	j_ˈe	0.093
ˈo	-	0.063
θ	ʃ	0.13
a	ə	0.204
x	ʎ	0.824
ɡ	-	0.124
ɲ	-	0.244
ˈa	ˈaː	0.114
ˈe	ˈi	0.064
ˈe	-	0.124
ˈe	ˈe	0.304
ˈu	ˈɔ̃	0.134
β	b	0.064
β	f	0.104
θ	z	0.184
e	ɛ	0.165
e	ə	0.35
o	o	0.435
ʝ	l	0.285
ʝ	-	0.715
ˈo	ˈo	0.155
β	v	0.555
e	o	0.166
ɟ͡ʝ	<#_f	0.306
ɡ	ɡ	0.876
ɲ	ɲ	0.476
ɾ	ʁ	0.516
ˈa	ˈɑ̃	0.116
e	-	0.267
k	k	0.27
n	n	0.697
o	ˈoː	0.057
o	-	0.067
x	-	0.07
x	ð	0.107
ɟ͡ʝ	l	0.397
ˈe	ˈɛː	0.237
ˈo	ˈɔ	0.07
ˈo	w	0.127
ˈo	ˈoː	0.297
ˈu	w	0.597
β	-	0.277
b	b	0.18
d	-	0.08
j	-	0.088
m	m	0.738
p	p	0.888
s	s	0.838
w	w	0.438
ɟ͡ʝ	p_l	0.178
ɲ	m	0.28
ˈa	ˈe	0.08
ˈi	-	0.068
ˈi	ˈi	0.308
θ	-	0.208
θ	s	0.478
b	-	0.149
j	j	0.849
k	ʃ	0.629
l	l	0.869
o	a	0.079
s	-	0.09
t	-	0.429
ɟ͡ʝ	<#_ð	0.119
ɣ	ɡ	0.329
ɾ	-	0.219
ˈa	ˈɛː	0.069
ˈa	ˈa	0.469
ˈu	ˈu	0.269
