Ligurian	Ligurian	probability
ˈɔ	w	1.0
ˈyː	ˈu	1.0
ˈy	ˈu	1.0
ˈe_j	ˈe	1.0
ˈe_d	ʝ	1.0
ˈaː_z	ˈa_s	1.0
ɥ	ð_ˈa	1.0
ŋ_t	ˈe_n	1.0
ŋ_k	ŋ_k	1.0
ŋ_#>	n_#>	1.0
y	e_m	1.0
u_#>	#>	1.0
t_e	j	1.0
sː	ʝ	1.0
s_w	z	1.0
r_ˈa	ɾ_ˈa	1.0
r_u	ɾ_o	1.0
r_n	ɾ_n	1.0
p	p	1.0
j_a	ɾ_a	1.0
j_#>	s_#>	1.0
f	f	1.0
<#_ˈɛː	<#_ˈa	1.0
<#_ʒ	<#_b	1.0
<#_ɡ	<#_ɡ	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_a	<#_a	1.0
k	k	0.956
a	a	0.944
u	o	0.943
ˈa	ˈa	0.875
m	m	0.857
e_#>	#>	0.857
r	ɾ	0.839
ɡ	ɣ	0.812
d	d	0.812
ˈøː	w_ˈe	0.8
ˈi	ˈi	0.789
<#_l	<#_l	0.789
ʒ	θ	0.75
b	b	0.75
ɲ	ɲ	0.714
n	n	0.714
t	t	0.711
ŋ	n	0.674
ˈø	w_ˈe	0.667
ʤ	ʎ	0.667
l	ʎ	0.643
ˈuː	ˈo	0.6
ʧ	p_l	0.6
ʃ	ʃ	0.556
ˈe	ˈe	0.552
ˈɔː	w_ˈe	0.545
ˈiː	ˈi	0.545
z	-	0.545
e	e	0.531
#>	o_#>	0.519
ˈu	ˈo	0.5
v	b	0.5
ˈeː	ˈe	0.474
s	s	0.469
ˈiː	ˈi_ɾ	0.455
z	ʧ	0.455
ˈaː	ˈa_ɾ	0.452
ʧ	k_l	0.4
v	β	0.361
l	l	0.357
ˈaː	ˈa	0.355
ˈɛː	j_ˈe	0.333
ˈɛ	ˈe_j	0.333
ˈɛ	j	0.333
ˈɛ	a_ɾ	0.333
ˈø	ˈu	0.333
w	w	0.333
w	o	0.333
ɲ	-	0.286
n	ɲ	0.286
i	i	0.286
i	e	0.286
ˈe	j_ˈe	0.276
ˈɔː	ˈo	0.273
ˈu	ˈu	0.273
ˈeː	j_ˈe	0.263
ˈɛː	ˈe	0.25
ˈɛː	ˈa	0.25
ʒ	-	0.25
b	β	0.25
ˈu	w	0.227
s	θ	0.224
ʃ	f_l	0.222
ʃ	-	0.222
i	o_s	0.214
i	-	0.214
ˈi	-	0.211
j	ɾ	0.211
<#_l	<#	0.211
ˈøː	w	0.2
ˈuː	l	0.2
ˈuː	-	0.2
ɡ	ɡ	0.188
d	ð	0.188
ˈɔː	ˈo_ɾ	0.182
ˈɛː	j	0.167
w	ˈa	0.167
w	-	0.167
ˈeː	ˈe_l	0.158
j	ˈe	0.158
e	ˈe_ɾ	0.156
#>	ɾ_#>	0.148
ʤ	-	0.143
s	e_s	0.143
m	m_b	0.143
e_#>	w_#>	0.143
ŋ	ˈe_n	0.14
ˈaː	ˈa_l	0.129
ˈa	-	0.125
e	ɾ_e	0.125
e	ɾ	0.125
#>	t_#>	0.111
#>	l_#>	0.111
#>	a_#>	0.111
ˈeː	ˈe_j	0.105
t	ð	0.105
t	j_t	0.105
j	u_s	0.105
j	l	0.105
j	e_l	0.105
j	e	0.105
j	a	0.105
j	-	0.105
ˈe	-	0.103
r	-	0.097
ʤ	ʧ	0.095
ʤ	ð	0.095
ŋ	ŋ	0.093
v	-	0.083
t	-	0.079
ˈe	j	0.069
ˈaː	ɾ	0.065
r	r	0.065
e	-	0.062
s	ˈe_s	0.061
s	-	0.061
v	ˈe	0.056
