Galician	Logudorese	probability
β_ˈa	ˈa	1.0
β_ɪ	ɛ	1.0
β_j	j	1.0
ˈɛ_ɾ	ˈɛ_ɾ	1.0
ˈɔ_β	ˈo	1.0
ˈɑ	ˈa	1.0
ˈu	ˈu	1.0
ˈo_w	ˈa	1.0
ˈo_j	ˈɔ	1.0
ˈe_ɾ	ɛ_ɾ	1.0
ˈe_j	ˈe	1.0
ˈa_m	ˈa_m	1.0
ɾ_β	ɾ_b	1.0
ɾ_ɐ	a	1.0
ɾ_ð	ɾ_d	1.0
ɾ_t	ɾ	1.0
ɾ_n	r	1.0
ɡ	b	1.0
ɑ	a	1.0
ŋ_k	m_b	1.0
t_ɐ	t_a	1.0
t	t	1.0
r	r	1.0
p	p	1.0
l_s	ɾ_ʦ	1.0
j_β	j	1.0
j_t	t	1.0
f	f	1.0
e_ɾ	ɾ	1.0
d	d	1.0
b	b	1.0
a_ð	a_ð	1.0
k	k	0.947
m	m	0.897
ɐ	a	0.89
ð	ð	0.879
ˈa	ˈa	0.861
ʊ	u	0.843
n	n	0.837
ɾ	ɾ	0.828
ˈi	ˈi	0.807
s	s	0.735
ɾ_ʊ	ɾ_u	0.719
ɣ	ɣ	0.705
i	i	0.693
ɪ	ɛ	0.667
ˈɛ	ˈɛ	0.637
ˈɔ	ˈɔ	0.592
a	a	0.56
l	ɖː	0.519
u	u	0.515
u	-	0.485
θ	ɣ	0.451
w	-	0.443
β	-	0.424
ŋ	n_ɛ	0.416
j	-	0.416
ɲ	n	0.415
ˈe	ˈi	0.409
ˈo	ˈɔ	0.397
j	j	0.392
ˈɛ	ˈe	0.363
o	ɔ	0.363
ʃ	s	0.359
l	l	0.352
w	ˈa	0.351
e	i	0.343
β	β	0.342
ˈe	ˈɛ	0.341
ɟ	ʣ	0.339
ˈo	ˈu	0.336
ʧ	p_ɾ	0.333
ʧ	k_ɾ	0.333
ʧ	f_ɾ	0.333
ˈɔ	ˈo	0.332
θ	k	0.317
i	e	0.307
ɟ	j	0.305
a	ˈa	0.297
ɾ_ʊ	u	0.281
s	z	0.265
o	ˈɔ	0.252
e	-	0.242
ʃ	ʣ	0.234
ɲ	n_ʣ	0.231
ʃ	-	0.228
ɲ	nː	0.211
w	ɔ	0.205
ɟ	-	0.204
j	ɣ	0.192
ˈo	ˈo	0.19
e	e	0.188
ŋ	n_u	0.186
ˈe	ˈe	0.184
ʃ	b	0.18
ɾ	ɛ_ɾ	0.172
ɣ	-	0.16
ŋ	m	0.153
ŋ	-	0.153
ɟ	u	0.152
ɪ	u	0.148
o	o	0.144
ɲ	ɲ	0.143
a	-	0.143
e	ɛ	0.136
ɣ	ɡ	0.135
o	u	0.129
l	-	0.129
β	u_l	0.126
ð	-	0.121
θ	ʦ	0.116
θ	t	0.116
ɪ	ɛ_n	0.111
o	-	0.111
ɐ	-	0.11
β	p	0.108
m	-	0.103
n	nː	0.093
ŋ	n	0.091
e	ɾ	0.091
ˈa	l_ˈa	0.086
ˈi	-	0.082
ˈi	i	0.08
ˈɔ	ˈu	0.076
ɪ	a	0.074
n	ŋ	0.07
ʊ	-	0.066
k	b	0.053
ˈo	ˈɔ_n	0.052
ˈa	-	0.052
