Danish	Danish	probability
ˈʌˀ	ˈoː	1.0
ˈɛˀ_ɐ	ɐ	1.0
ˈɛˀ	-	1.0
ˈɔː	ˈɒː	1.0
ˈɔ	ˈʊ	1.0
ˈɒˀ	ˈɔː	1.0
ˈɑː	ˈɒːɒ̯	1.0
ˈɑˀ_j	ɣ̊	1.0
ˈɑˀ	ˈɑː_ɐ	1.0
ˈœː	ˈɛə̯	1.0
ˈøˀ_ð̞ˠ	t	1.0
ˈøˀ	ˈoː	1.0
ˈoˀ_#>	#>	1.0
ˈi	-	1.0
ˈeː	-	1.0
ˈe_s	s	1.0
ʨ	d	1.0
ɡ̊_ə	k	1.0
ɡ̊_#>	k_#>	1.0
ɕ	z	1.0
ɐˀ_#>	ɐ_d̥_#>	1.0
ɐˀ	ɐ	1.0
ɐ_#>	#>	1.0
ŋˀ	ŋ	1.0
s_#>	z̥_#>	1.0
pʰ	p	1.0
n_ə	n	1.0
mˀ	m	1.0
m_ə	m	1.0
m	m	1.0
l_ə	ɫ	1.0
l_#>	l_#>	1.0
l	l	1.0
kʰ	k_ˈøː	1.0
jˀ	-	1.0
i	ɣ̊	1.0
h	h	1.0
d̥_ə	t	1.0
b̥_#>	p_#>	1.0
<#_ˈɔ	<#	1.0
<#_ʦʰ	<#_t	1.0
<#_n	<#_n	1.0
<#_kʰ	<#_k	1.0
<#_j	<#	1.0
ʁ	r	0.923
b̥	b	0.909
ɐ	ɐ	0.893
ˈoˀ	ˈɑʊ̯	0.889
f	f	0.882
n	n	0.871
ʦʰ	d	0.857
ˈøː	-	0.8
ˈe	ˈɪ	0.769
lˀ	l	0.714
<#	<#_v	0.714
ˈyˀ	-	0.667
ˈuˀ	ˈuː	0.667
ˈu	ˈʊ	0.667
ˈoː	-	0.667
ŋ	ŋ	0.667
ʋ	v	0.65
ˈɔˀ	ˈɒː	0.625
ˈæ	ˈɑ	0.625
ð̞ˠ	d̥	0.609
s	s	0.608
ˈœˀ	-	0.6
ˈuː	-	0.6
ˈiˀ	ˈiː	0.6
ð̞ˠ_ə	t_n	0.6
ə	n	0.588
ˈø	-	0.571
ˈiː	-	0.571
ˈœ	-	0.556
ˈɑ	-	0.538
ˈyː	ˈæɪ̯	0.5
ˈyː	-	0.5
ˈy	ˈyː	0.5
ˈy	-	0.5
ˈo	ˈoː	0.5
ˈo	-	0.5
nˀ	n_d̥	0.5
nˀ	n	0.5
b̥_ə	p_n	0.5
b̥_ə	p	0.5
j	-	0.462
ɡ̊	ɡ	0.433
ˈø	ˈʏ	0.429
ˈiː	ˈiː	0.429
ˈeˀ	ˈæɪ̯	0.429
d̥	t	0.424
d̥	d	0.424
ˈœˀ	ˈoː	0.4
ˈuː	ˈuːu̯	0.4
s	z	0.392
ð̞ˠ	t	0.391
ˈɔˀ	-	0.375
ˈʌ	-	0.333
ˈyˀ	ˈæɪ̯	0.333
ˈuˀ	-	0.333
ˈoː	ʊ	0.333
ŋ	-	0.333
ə	-	0.324
#>	n_#>	0.32
ˈɑ	ˈɑ	0.308
ˈiˀ	ˈɪ	0.3
lˀ	l_d̥	0.286
<#	<#_j	0.286
ˈɛ	ˈɪ	0.267
ˈɛ	-	0.267
ɡ̊	k	0.267
ˈe	ˈɛ	0.231
j	h	0.231
ˈʌ	ˈɑ	0.222
ˈʌ	ˈœ	0.222
ˈœ	ˈʏə̯	0.222
ˈœ	ˈøː	0.222
w	v̥	0.214
w	v	0.214
ˈɛ	ˈɛ	0.2
ˈøː	ˈøy̯	0.2
ʋ	w	0.2
ð̞ˠ_ə	t	0.2
ð̞ˠ_ə	n	0.2
ˈæ	ˈɑːɑ̯	0.188
ˈæ	-	0.188
ˈu	ˈʊə̯	0.167
ˈu	ˈɔ	0.167
ˈɑ	ˈɑː	0.154
j	ˈɪ	0.154
j	ɣ̊	0.154
d̥	χ_t	0.152
ʋ	-	0.15
ˈeˀ	ˈɛːɪ̯	0.143
ˈeˀ	ˈæːɪ̯	0.143
ˈeˀ	n	0.143
ˈeˀ	-	0.143
ʦʰ	t_v	0.143
w	ˈeː_v	0.143
w	ɣ̊	0.143
w	ɡ	0.143
w	k	0.143
ˈɛ	ˈɑː	0.133
ˈɛ	ˈeː	0.133
#>	ˈɛːɪ̯_#>	0.12
#>	ɣ̊_#>	0.12
#>	ɐ_#>	0.12
#>	v̥_#>	0.12
#>	k_#>	0.12
f	f_ˈøː	0.118
ˈʌ	ˈœːy̯	0.111
ˈʌ	o	0.111
ˈoˀ	ˈyːʏ̯	0.111
ɐ	-	0.107
ˈiˀ	ˈiːi̯	0.1
ɡ̊	ɣ̊	0.1
b̥	p	0.091
#>	d̥_#>	0.08
ʁ	-	0.077
ɡ̊	χ	0.067
ɡ̊	ŋ_k	0.067
ɡ̊	-	0.067
n	n_ˈɒː	0.065
n	-	0.065
ə	ɡ_n	0.059
