Sassarese	Dalmatian	probability
#>	r_#>	1.0
<#	<#_j	1.0
<#_b	<#_b	1.0
<#_d	<#_d	1.0
<#_f	<#_f	1.0
<#_i	<#_s	1.0
<#_k	<#_k	1.0
<#_l	<#_l	1.0
<#_m	<#_m	1.0
<#_n	<#_n	1.0
<#_p	<#_p	1.0
<#_r	<#_r	1.0
<#_s	<#_s	1.0
<#_t	<#_t	1.0
<#_v	<#_v	1.0
<#_ʤ	<#	1.0
<#_ʦ	<#_ʧ	1.0
<#_ˈa	<#_j	1.0
<#_ˈo	<#_w_ˈa	1.0
<#_ˈɛ	<#_j_ˈa	1.0
a_#>	a_#>	1.0
a_dː	a_t	1.0
bː	p	1.0
i_#>	#>	1.0
i_d	e_d	1.0
j_ˈa	l_ˈa	1.0
kː	k	1.0
lː	l	1.0
m	m	1.0
m_ˈe	m_ˈe	1.0
mː	m	1.0
n_u	ŋ_#>	1.0
p_u	p_#>	1.0
pː	p	1.0
rː	r	1.0
t	t	1.0
u_#>	#>	1.0
u_d	o_t	1.0
u_r	o_l	1.0
w	-	1.0
xː	k	1.0
z	ˈɔ_s	1.0
ŋ	ŋ	1.0
ŋ_k	ŋ_k_#>	1.0
ɡː	k	1.0
ɬ	r	1.0
ɬ_t	s_t	1.0
ɲː	ŋ_ɡ	1.0
ʃː	s	1.0
ʎː	ʎ	1.0
ʦ_i	k_#>	1.0
ˈa_n	ˈu_ŋ	1.0
ˈa_r	ˈu_r	1.0
ˈe_#>	r_#>	1.0
ˈi_#>	r_#>	1.0
ˈɔ_ɡː	ˈu_k	1.0
ˈɔ_ʦ	ˈa_w_k	1.0
ˈɛ_#>	ˈa_#>	1.0
ˈɛ_n	j_ˈa_n	1.0
r	r_o	0.111
ɡ	ɡ	0.571
ˈe	j	0.211
ˈi	ˈa_j	0.571
ˈɔ	w_ˈa	0.241
ˈɔ	ˈa_w	0.241
ˈɔ	ˈu	0.31
ˈɛ	j_ˈa	0.571
n	n	0.882
r	l	0.222
ˈu	ˈo	0.182
ˈu	ˈu	0.182
ˈu	j	0.182
β	p	0.222
β	-	0.222
β	f	0.222
i	e	0.333
r	r	0.593
tː	p_t	0.333
ˈo	w_ˈa	0.333
ˈɛ	ˈa	0.143
β	v	0.333
j_#>	j_#>	0.4
r	o_r	0.074
u	-	0.4
ʧː	k	0.4
ˈo	ˈa_w	0.4
a	-	0.235
d	t	0.5
d	d	0.5
dː	l	0.5
dː	t	0.5
i	i	0.5
j	l	0.5
j	r	0.5
ˈa	ˈa	0.125
ˈa	w_ˈɔ	0.25
ˈe	ˈa	0.105
ˈu	ˈo_j	0.455
j_#>	#>	0.6
u	o	0.6
ʧː	k_l	0.6
ˈe	ˈi	0.316
ˈɛ	ˈa_j	0.286
i	-	0.167
tː	t	0.667
ˈo	ˈo	0.267
a	ˈu	0.118
a	ˈa	0.118
n	ŋ	0.118
ˈa	ˈu	0.208
ˈa	w_ˈa	0.208
ˈa	w	0.208
ˈe	j_ˈa	0.368
ˈɔ	ˈo	0.138
a	a	0.529
ɡ	k	0.429
ˈi	ˈe	0.429
ˈɔ	w_ˈɔ	0.069
