Danish	North Frisian	probability
b̥	b	0.77
b̥	p	0.177
b̥	v	0.05
d̥	d	0.849
d̥	t	0.093
d̥	j	0.059
e	i	1.0
f	f	0.924
f	ʃ	0.074
h	h	1.0
i	i	1.0
j	-	0.59
j	k	0.194
j	x	0.064
j	w	0.062
j	ˈeː	0.062
jˀ	ˈi	0.574
jˀ	j	0.284
k	k	0.686
k	ŋ_k	0.303
kʰ	k	0.735
kʰ	ʃ	0.251
l	l	0.984
l	lʲ	0.033
lˀ	l	0.403
lˀ	lʲ	0.389
lˀ	l_ə	0.186
m	m	0.8
m	r_m	0.147
m	n	0.053
mˀ	v	0.326
mˀ	m	0.161
n	n	0.908
n	nʲ	0.038
n	-	0.035
n	r	0.034
n	d	0.034
nˀ	n	0.412
nˀ	nʲ	0.251
nˀ	s	0.245
nˀ	d	0.072
p	p	0.494
pʰ	p	1.0
s	s	0.847
s	r_s	0.091
s	z	0.045
s	ʃ	0.03
s_k	ʃ	1.0
t	t	0.661
t	x_t	0.331
v	v	0.683
v	-	0.222
w	v_ə	0.322
w	ə	0.185
w	f	0.185
w	j	0.122
w	-	0.094
wˀ	-	0.326
wˀ	m	0.161
ð̞ˠ	d	0.229
ð̞ˠ	dʲ	0.225
ð̞ˠ	tʲ	0.216
ð̞ˠ	-	0.21
ð̞ˠ	z	0.108
ŋ	ŋ	1.0
ŋˀ	ŋ	1.0
ɐ	r	0.866
ɐ	-	0.096
ɐ	ə	0.043
ɐ_n	r	1.0
ɐˀ	r	0.598
ɐˀ	r_d	0.374
ə	ə	0.572
ə	-	0.408
ə	j	0.03
ɡ̊	ɡ	0.663
ɡ̊	-	0.22
ɡ̊	x	0.099
ʁ	r	0.818
ʁ	-	0.181
ʋ	v	1.0
ʦʰ	t	0.717
ʦʰ	tʲ	0.136
ʦʰ	d	0.083
ʦʰ	t_v	0.042
ʨ	t	0.494
ˈa	ˈa	0.161
ˈa	ˈɒː	0.14
ˈa	ˈɒ	0.14
ˈa	ˈœ	0.11
