Danish	North Frisian	probability
b̥	b	0.764
b̥	p	0.182
b̥	v	0.051
d̥	d	0.919
d̥	j	0.061
e	i	1.0
f	f	0.924
f	ʃ	0.074
h	h	1.0
i	i	1.0
j	-	0.509
j	k	0.194
j	h	0.132
j	x	0.064
j	w	0.062
jˀ	ˈi	0.574
jˀ	j	0.284
k	k	0.648
k	ŋ_k	0.328
kʰ	k	0.735
kʰ	ʃ	0.251
l	l	0.984
lˀ	l	0.403
lˀ	lʲ	0.389
lˀ	l_ə	0.186
m	m	0.8
m	r_m	0.147
m	n	0.053
mˀ	v	0.326
mˀ	m	0.161
n	n	0.908
nˀ	n	0.412
nˀ	nʲ	0.251
nˀ	s	0.245
nˀ	d	0.072
p	p	0.494
pʰ	p	1.0
s	s	0.844
s	r_s	0.092
s_k	ʃ	1.0
t	t	0.661
t	x_t	0.331
v	v	0.683
v	-	0.222
w	v_ə	0.203
w	f	0.185
w	ə_n	0.185
w	j	0.122
w	-	0.094
w	ə	0.091
wˀ	-	0.326
wˀ	m	0.161
ð̞ˠ	dʲ	0.235
ð̞ˠ	d	0.225
ð̞ˠ	-	0.219
ð̞ˠ	tʲ	0.205
ð̞ˠ	z	0.098
ŋ	ŋ	1.0
ŋˀ	ŋ	1.0
ɐ	ə	0.447
ɐ	r	0.44
ɐ	-	0.104
ɐ_n	r	1.0
ɐˀ	r	0.598
ɐˀ	r_d	0.374
ə	ə	0.572
ə	-	0.408
ɡ̊	ɡ	0.663
ɡ̊	-	0.22
ɡ̊	x	0.099
ʁ	r	0.818
ʁ	-	0.181
ʋ	v	1.0
ʦʰ	t	0.75
ʦʰ	tʲ	0.146
ʦʰ	d	0.058
ʨ	t	0.494
ˈa	ˈa	0.171
ˈa	ˈɒː	0.121
ˈa	ˈœ	0.116
ˈa	ˈɒ	0.113
ˈa	ˈeː	0.098
ˈa	ˈɛi̯	0.098
ˈa	ˈa_r	0.071
ˈa	ˈʊ	0.071
ˈa	ˈɔː	0.057
ˈaː	ˈɒː	1.0
ˈe	ˈa	0.388
ˈe	ˈi	0.183
ˈe	ˈai̯	0.117
ˈe	ˈɔː	0.103
ˈe	ˈɛː	0.103
ˈe	ˈɛ	0.064
ˈeˀ	ˈiː	0.421
ˈeˀ	ˈɒ	0.111
ˈeˀ	ˈi	0.087
ˈeˀ	ˈɒː	0.085
ˈeˀ	ˈɛː	0.085
ˈeˀ	ˈɔi̯	0.083
