Icelandic	East Franconian	probability
θ	d̥	1.0
ˈʏː	-	1.0
ˈɛː_r̥	ɐ	1.0
ˈɔu̯	-	1.0
ˈɑu̯	ˈɒ	1.0
ˈœː	-	1.0
ˈuː_a	ŋ	1.0
ˈuː	ˈaʊ̯	1.0
ˈu	ˈʊ	1.0
ˈou̯	-	1.0
ˈi	ˈɪ	1.0
ˈaːu̯	ˈoː	1.0
ˈaː_c	ˈɒː	1.0
ˈai̯	-	1.0
ʰt͡n̥	z̥_ɐ	1.0
ʰp	-	1.0
ʰk	ŋ	1.0
ʰc	ɡ̊	1.0
ɲ	ŋ	1.0
ɡ̊ː	ɡ̊_n	1.0
ɡ̊_ʏ	ɐ	1.0
ɡ̊_a	a	1.0
ɟ̊ː	-	1.0
ɛ	-	1.0
ɑu̯	ɪ	1.0
ð_ɪ	ɾ	1.0
ç	h	1.0
x	ç	1.0
v_ʏ	b̥	1.0
v_a	m	1.0
t͡n̥	n	1.0
t͡l̥	l	1.0
tʰ	ʦ	1.0
t_a	z̥_n	1.0
sː	n_s	1.0
s_t	ʃ_d̥	1.0
s_k	ʃ	1.0
s_j	s	1.0
s_c	ʃ	1.0
r_ɪ	ɐ	1.0
r_ð	ɐ_d̥	1.0
r_t͡n̥	ɐ_n	1.0
pʰ	b̥͡v̥	1.0
p	f	1.0
n̥	n	1.0
nː	n	1.0
n_d̥	n	1.0
n	n	1.0
m	m	1.0
l̥	l	1.0
l	l	1.0
kʰ	kʰ	1.0
k_ˈa	ˈa	1.0
j_ˈɛ	ˈɛ	1.0
j_ˈuː	ˈiː	1.0
j_ˈoːu̯	ˈiː	1.0
j_a	n	1.0
h	h	1.0
f	f	1.0
d̥	d̥	1.0
cʰ	kʰ	1.0
b̥	b̥	1.0
aːu̯	eː	1.0
a_r̥	ɐ	1.0
ʏ	ɐ	0.839
r̥	ɐ	0.824
ˈœ	-	0.768
ˈɑːu̯	ˈoː	0.757
ð	d̥	0.75
ŋ	ŋ	0.748
ˈiː	ˈaɪ̯	0.734
a	a	0.727
ˈɛːi̯	ˈaː	0.709
ˈoːu̯	ˈuː	0.675
ˈaːi̯	-	0.674
t	s	0.654
ˈɔː	-	0.629
ɟ̊	ɡ̊	0.628
ˈɔ	ˈɔ	0.622
s	s	0.612
ˈɛː	-	0.6
k	x	0.573
ˈɪ	ˈɪ	0.568
v	v	0.56
ˈœːy̯	ˈaː	0.551
ɪ	-	0.534
ɡ̊	-	0.528
j	-	0.527
ˈɛ	ˈɛ	0.519
r	ɐ	0.515
ˈa	ˈɒ	0.506
ˈau̯	ˈɛ	0.5
ˈau̯	-	0.5
ɣ	ɣ̊	0.5
ɣ	-	0.5
r	r	0.485
ɪ	ɐ	0.466
ˈʏ	ˈʊ	0.46
ˈœːy̯	ˈuː	0.449
k	ç	0.427
ˈaː	ˈoː	0.424
ˈɛː	ˈɛ	0.4
ɡ̊	ç	0.379
ˈɔ	ˈʊ	0.378
ɟ̊	-	0.372
ˈɔː	ˈoː	0.371
ʰt	ʦ	0.335
ʰt	ç	0.335
ˈɪː	ˈɪ	0.333
ˈɪː	ˈiː	0.333
ˈɪː	-	0.333
ʰt	x	0.331
j	ˈiː	0.329
ˈaːi̯	ˈiː	0.326
ˈoːu̯	ˈʊ	0.325
ˈa	-	0.312
s	ʃ	0.307
ˈaː	ˈɒ	0.299
ˈɛːi̯	-	0.291
ˈʏ	-	0.289
ˈaː	-	0.277
v	β	0.273
a	ŋ	0.273
ˈiː	-	0.266
ŋ	-	0.252
ˈʏ	ˈɔ	0.251
ˈɑːu̯	-	0.243
ˈœ	ˈoː	0.232
t	ʦ	0.214
ˈɛ	ˈaɪ̯	0.192
ˈɛ	-	0.185
ˈɪ	ˈɔ	0.182
ˈa	ˈɛ	0.182
v	-	0.167
ʏ	-	0.161
ˈɪ	-	0.151
j	ˈɛ	0.144
t	d̥	0.132
ð	ɾ	0.129
ð	-	0.121
ˈɛ	ˈɒ	0.104
r̥	-	0.103
ˈɪ	ˈɪ_ɡ̊	0.099
ɡ̊	ɣ	0.092
s	d̥	0.081
r̥	ə	0.073
