Proto-Slavic	Belarusian	probability
ʧ	ʧ	1.0
ʦ	ʦ	1.0
ʤ	ʤ̥	1.0
ʎ	lʲ	1.0
ʃ	ʂ_ˈɛ	1.0
ɲ	-	1.0
ɨ̌	ˈɨ	1.0
ɨ̂ː	ˈɨ	1.0
ɨˀ	ˈɨ	1.0
ɨ	e_nʲ	1.0
ɡ	ɣ	1.0
ɛ̌ː	ˈe	1.0
ɛ̂ː	ˈe	1.0
ɛːˀ	ˈe	1.0
ɛˀ	ˈe	1.0
ɛ	ʌ	1.0
z_ŭ	z̥	1.0
x_ŭ	xʲ	1.0
x	x	1.0
v_ŭ	w	1.0
ǔ	ˈu	1.0
ŭ̌	ˈo	1.0
ŭ_t	a_ʦʲ	1.0
uː	ʉ	1.0
s_ŭ	ʃ	1.0
rʲ	r	1.0
ǒː	a	1.0
õ̌ː	ˈu	1.0
õ̂ː	ˈu	1.0
õːˀ	v_ˈu	1.0
õː	u	1.0
ôː	ˈo	1.0
oˀ	-	1.0
n_ŭ	n	1.0
l_ŭ	ɫ_ɨ	1.0
ǐ	ˈi	1.0
ĭˀ	ˈo	1.0
îː	-	1.0
î	ˈe	1.0
iː	ɨ	1.0
iˀ	x	1.0
ě	ˈɵ	1.0
ẽ̌	ˈæ	1.0
ẽː	æ	1.0
eˀ	æ	1.0
d_ŭ	d̥	1.0
d_l	ɫ	1.0
ǎ	ˈa	1.0
âː	ˈa	1.0
aː	a	1.0
r	r	0.9
ô	ˈo	0.843
k	k	0.836
ĭ	-	0.785
o	a	0.781
ĭ̂	-	0.75
n	n	0.701
aˀ	ˈa	0.688
i	ˈɨ	0.675
ûː	u	0.667
ĭ̌	ˈo	0.648
ǒ	ˈo	0.636
ʒ	ʐ	0.633
s	s	0.604
ê	ˈe	0.6
p	pʲ	0.569
z	z	0.54
m	m	0.536
d	ʣʲ	0.534
ɛː	a	0.532
v	vʲ	0.523
t	ʦʲ	0.507
ŭ̂	ˈo	0.5
ŭ̂	-	0.5
ẽ̂ː	ˈæ	0.5
ẽ̂ː	-	0.5
ẽ	ˈæ	0.5
ẽ	æ	0.5
t	t	0.493
v	v	0.477
ɛː	-	0.468
d	d	0.466
m	mʲ	0.464
z	zʲ	0.46
j	i	0.449
l	ɫ	0.44
p	p	0.431
b	bʲ	0.417
b	b	0.41
l	lʲ	0.403
ŭ	ɨ	0.401
ê	ˈɵ	0.4
s	sʲ	0.396
ʒ	ʐ̊	0.367
ǒ	a	0.364
ĭ̌	-	0.352
ûː	ˈʉ	0.333
i	ˈi	0.325
e	a	0.317
aˀ	-	0.312
n	nʲ	0.299
j	ˈi	0.288
j	-	0.263
ĭ̂	ˈo	0.25
ŭ	-	0.234
o	ʌ	0.219
ĭ	ˈe	0.215
e	æ	0.207
e	e	0.19
b	b̥	0.173
k	kʲ	0.164
ô	v_ˈo	0.157
l	w	0.157
ŭ	i	0.146
e	-	0.124
ŭ	a	0.11
ŭ	ˈɨ	0.109
r	r_ˈo	0.1
e	ɨ	0.097
e	ʌ	0.066
