Lithuanian	Lithuanian	probability
ˈ_#>	#>	1.0
ʒ	z	1.0
ʑ	z	1.0
ʊ_ˈ	k	1.0
ʃ_k	s	1.0
ɪ_ˈ	́	1.0
ɪ_#>	i_#>	1.0
ɛɪ̯	iː	1.0
ɕ	s	1.0
ɐʊ̯	-	1.0
ɐɪ̯	eː_̀	1.0
ɐ_ˈ	a	1.0
ɐ_s	t	1.0
ŋʲ	ʒ̊	1.0
ŋ	-	1.0
æː_̌	̀	1.0
z	aː	1.0
tʲ	t	1.0
s_#>	#>	1.0
r_ɐ	r	1.0
pʲ	p	1.0
n_ɐ	n	1.0
mʲ	m	1.0
kʲ_ɛ	ʃ	1.0
kʲ	k	1.0
k_ɐ	k	1.0
k_tʲ	ʧ	1.0
k	k	1.0
j	-	1.0
eː_̌	a	1.0
d_ɐ	d̥	1.0
d	d	1.0
aʊ̯	n_ʦ	1.0
aɪ̯	-	1.0
<#_tʲ	<#_t	1.0
<#_s	<#_s	1.0
<#_n	<#_n	1.0
b	b	0.857
vʲ	ʋ	0.818
ʊ	-	0.778
v	ʋ	0.75
ɡ	ɡ	0.727
t	t	0.727
n	-	0.714
ʃ	s	0.667
æː	eː	0.667
uə̯	-	0.667
sʲ	s	0.667
m	m	0.667
iː	-	0.667
lʲ	l	0.625
ɫ	l	0.615
uː	iː	0.6
nʲ	-	0.6
iə̯	-	0.6
dʲ	d	0.6
<#_ɐ	<#_oː	0.6
<#	<#_j	0.6
#>	ɛ_#>	0.6
r	r	0.583
ˈ	́	0.56
̌	́	0.5
ɡʲ	ʒ	0.5
ɡʲ	-	0.5
rʲ	r	0.5
bʲ	b_r	0.5
bʲ	b	0.5
aː	oː	0.5
̂	́	0.455
̂	̀	0.455
ɛ	eː	0.444
̌	-	0.429
ɐ	-	0.41
uː	i	0.4
nʲ	eː	0.4
iə̯	ɛː	0.4
dʲ	d_e	0.4
<#_ɐ	<#	0.4
#>	t_#>	0.4
ɫ	w	0.385
oː	aː_̀	0.375
oː	-	0.375
lʲ	-	0.375
ʃ	-	0.333
ɪ	-	0.333
ɛ	ɛ	0.333
æː	o	0.333
uə̯	ə	0.333
sʲ	x	0.333
m	-	0.333
iː	iː	0.333
eː	eː	0.333
eː	a	0.333
eː	-	0.333
ˈ	-	0.32
s	s	0.286
s	n	0.286
n	n	0.286
ɡ	ɡ̊	0.273
t	-	0.273
ɪ	ə	0.267
v	-	0.25
rʲ	́_r	0.25
rʲ	̀_r	0.25
r	ə	0.25
oː	aː	0.25
ʊ	uː	0.222
ɛ	-	0.222
s	x	0.214
s	j	0.214
<#	<#_ʋ	0.2
<#	<#_ɡ	0.2
vʲ	-	0.182
ɐ	a	0.179
r	-	0.167
aː	ɛ	0.167
aː	r_aː	0.167
aː	-	0.167
b	b̥	0.143
ɪ	ɔː	0.133
ɐ	oː	0.128
ˈ	̀	0.12
ɐ	ɔː_̀	0.103
̂	aː_̀	0.091
ɐ	r	0.077
̌	̀	0.071
ɪ	oː	0.067
ɪ	i	0.067
ɪ	eː_́	0.067
ɪ	eː	0.067
ɐ	eː_́	0.051
ɐ	aː	0.051
