Swabian	Bavarian	probability
ˈɪ	ˈi	1.0
ˈəi̯	ˈai̯	1.0
ˈɔə̯	ˈeɐ̯	1.0
ˈɔe̯	ˈoɐ̯	1.0
ˈɔ	ˈo	1.0
ˈuː	ˈu	1.0
ˈuə̯	ˈuɐ̯	1.0
ˈiː	-	1.0
ˈiə̯	ˈiɐ̯	1.0
ʦ	ʦ	1.0
ʕ	ɐ	1.0
ʌ	ɐ	1.0
ʋ	ʋ	1.0
ʃ	ʃ	1.0
ʁ	r	1.0
ɪ	ŋ	1.0
ɡ_a	ŋ	1.0
ɡ	ɡ̊	1.0
ŋ	ŋ	1.0
x	x	1.0
t	d̥	1.0
s_a	s_n	1.0
m	m	1.0
kʰ	kʰ	1.0
h	h	1.0
eə̯	eː	1.0
d_ˈo	d̥_ˈo	1.0
b̥͡f	b̥͡v̥	1.0
b_a	m	1.0
d	d̥	0.984
s	s	0.943
n	n	0.9
f	f	0.876
b	b̥	0.828
ˈe	ˈi	0.818
ˈu	ˈu	0.778
ˈi	ˈi	0.755
ˈɛ	ˈe	0.721
ˈaː	ˈɒː	0.667
ˈae̯	ˈai̯	0.658
ç	x	0.656
a	a	0.654
ˈɔː	ˈoː	0.607
ˈao̯	ˈau̯	0.607
ˈeː	ˈeː	0.582
ˈo	ˈu	0.537
l	l	0.465
l	j	0.456
ˈeː	-	0.418
ˈɔː	-	0.393
ˈo	ˈo	0.357
a	n	0.346
ç	ç	0.344
ˈae̯	-	0.342
ˈɛː	ˈɛ	0.333
ˈɛː	ˈeː	0.333
ˈɛː	-	0.333
ˈaː	-	0.333
ˈoː	ˈou̯	0.294
ˈoː	ˈoː	0.284
ˈoː	-	0.276
ˈao̯	ˈaː	0.276
ˈa	ˈo	0.236
ˈa	ˈɑ	0.23
ˈu	-	0.222
ˈa	ˈɒ	0.211
ˈɛ	ˈi	0.187
ˈe	ˈe	0.182
b	β	0.172
ˈoː	ˈo	0.146
f	fː	0.124
ˈi	ˈiː	0.122
ˈi	ˈiɐ̯	0.122
ˈa	ˈɑː	0.119
ˈao̯	ˈa	0.117
ˈa	ˈɒː	0.117
ˈo	ˈoː	0.106
ˈɛ	-	0.092
ˈa	ˈa	0.088
l	ˈu_j	0.079
n	-	0.061
s	sː	0.057
