Upper Franconian	Upper Franconian	probability
β	b̥_ə	1.0
ˈɛː	-	1.0
ˈɘ	-	1.0
ˈɒː	ˈɒ	1.0
ˈoː_n	ˈo_n	1.0
ˈaʊ̯	ˈuː	1.0
ˈa	ˈɒ	1.0
ʦ	ʦ	1.0
ɪ	i	1.0
ɣ̊_n	χː_ə	1.0
ɡ̊_r	ɡ̊_r	1.0
ɡ̊_n	kː_ə	1.0
ə	ə	1.0
ɐ_ç	r_ɡ̊	1.0
ɐ_n	r_n	1.0
ɐ_d̥	r_tː	1.0
z̥	sː	1.0
v̥	fː	1.0
v	ʋ	1.0
t	tː	1.0
s_d̥	ʃː_tː	1.0
r	r	1.0
n_d̥	ŋ	1.0
n_a	n_ə	1.0
l_n	l_ə	1.0
j	j	1.0
i	-	1.0
h	h	1.0
f_n	fː_ə	1.0
eː	æ	1.0
d̥_r	tː_r	1.0
d̥_l	d̥_l	1.0
b̥͡v̥	p͡f	1.0
b̥	b̥	1.0
a_#>	#>	1.0
a	ə	1.0
<#_r	<#_r	1.0
<#	<#_ɡ̊	1.0
#>	n_#>	1.0
l	l	0.978
m	m	0.926
ˈʊ	ˈu	0.875
f	v̥	0.719
ˈɒ	ˈɒ	0.714
x	χː	0.714
ʃ	ʒ̊	0.69
ˈoː	ˈɒː	0.684
ˈɛ	ˈæ	0.682
ɐ	r	0.674
ˈɔ	ˈo	0.667
s	z̥	0.643
d̥	tː	0.636
ɾ	tː_ə	0.6
ˈɪ	ˈi	0.583
ç	χː	0.545
n	n	0.529
ˈaː	ˈæi̯	0.524
ˈaɪ̯	ˈiː	0.5
m_#>	b̥_ə_#>	0.5
m_#>	#>	0.5
ˈuː	ˈuə̯	0.476
ŋ	ŋ	0.467
ç	ɡ̊	0.455
ˈuː	ˈoː	0.429
ɡ̊	ɣ̊	0.406
ˈeː	ˈæː	0.4
ɾ	d̥_ə	0.4
ŋ	ɡ̊_ə	0.4
ˈaː	ˈau̯	0.381
d̥	d̥	0.364
s	sː	0.357
ɡ̊	ɡ̊	0.312
ʃ	ʃː	0.31
ˈeː	ˈøː	0.3
ˈeː	ˈæ	0.3
n	ə	0.294
ˈɪ	ˈy	0.292
x	ɡ̊	0.286
f	fː	0.281
ˈiː	ˈi	0.28
ɐ	ə_r	0.279
ˈaɪ̯	ˈyː	0.273
ˈiː	ˈyː	0.2
ˈiː	ˈiə̯	0.2
ˈɛ	ˈe	0.182
ˈaɪ̯	-	0.182
ˈɔ	ˈɒ	0.167
ˈɔ	ˈu	0.167
ˈoː	ˈɒ	0.158
ˈoː	ˈoː	0.158
ɡ̊	kː	0.156
ˈɒ	-	0.143
ˈɛ	ˈø	0.136
ŋ	ə	0.133
ˈʊ	-	0.125
ˈɪ	-	0.125
ɡ̊	χː	0.125
ˈiː	ˈyə̯	0.12
ˈiː	ˈeː	0.12
n	-	0.098
ˈuː	-	0.095
ˈaː	-	0.095
ˈiː	-	0.08
n	n_d̥	0.078
m	-	0.074
ˈɒ	ˈɒː	0.071
ˈɒ	ˈæ	0.071
