Gothic	Gothic	probability
θ_s	dʲ	1.0
ˈɛ_r	ʀ	1.0
ˈuː	ˈʏ	1.0
ˈu_n	ˈʏ	1.0
ˈiu̯_ɣ	w	1.0
ˈa_ŋ	ˈʊ	1.0
ˈa_t	ˈɒː_d	1.0
ʍ	v	1.0
ɣ	-	1.0
ɡʷ	ŋ	1.0
ɔː	-	1.0
ŋ	-	1.0
ð	-	1.0
x	-	1.0
u	-	1.0
s_ˈɛ	s	1.0
s_k	ʃ	1.0
s_#>	#>	1.0
r	ʀ	1.0
p	p	1.0
nː	n	1.0
n_d	n	1.0
n_#>	#>	1.0
m	m	1.0
lː	l	1.0
l_θ	lʲ	1.0
l_s	ə_l	1.0
iː	-	1.0
f_s	v̥	1.0
e	ə	1.0
d_s	n	1.0
b	b	1.0
aː	ə	1.0
a_#>	#>	1.0
<#_θ	<#_t	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_r	<#_ʀ	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_k	<#_k	1.0
<#_h	<#	1.0
<#	<#_j	1.0
a	ə	0.909
l	l	0.9
f	f	0.812
t	t	0.783
ˈiː	ˈi	0.778
k	k	0.75
d	d	0.75
oː	-	0.727
j	-	0.714
n	n	0.68
ˈoː	ˈœ	0.667
ˈiu̯	ˈiː	0.667
i	-	0.667
ˈɛː	ˈiː	0.636
s	s	0.636
β	v	0.6
ˈɛ	-	0.6
w	v	0.6
h	h	0.6
ˈɔː	ˈuː	0.556
ˈu	ˈʊ	0.533
ˈɔ	-	0.5
#>	ʀ_#>	0.429
β	-	0.4
ˈɛ	ˈa	0.4
ˈɛː	-	0.364
ɡ	ɡ	0.353
ɡ	ŋ	0.353
θ	-	0.333
ˈu	-	0.333
ˈoː	-	0.333
ˈiu̯	-	0.333
ˈeː	ˈɔu̯	0.333
ˈeː	ˈeː	0.333
ˈeː	-	0.333
i	ə_n	0.333
ˈi	-	0.3
w	-	0.3
j	j	0.286
#>	t_#>	0.286
#>	d̥_#>	0.286
oː	ə	0.273
θ	d̥	0.25
θ	d	0.25
ˈɔ	ˈɔ	0.25
ˈɔ	ˈyː	0.25
k	-	0.25
d	-	0.25
ˈi	ˈi	0.233
ˈɔː	ˈyː	0.222
ˈɔː	-	0.222
ˈiː	-	0.222
ˈa	-	0.2
n	nʲ	0.2
h	x	0.2
h	-	0.2
f	-	0.188
s	ə	0.182
s	-	0.182
ɡ	j	0.176
θ	dʲ	0.167
ˈi	ˈa	0.167
ˈu	ˈɔː	0.133
ˈa	ˈɒ	0.133
ˈa	ˈœ	0.133
ˈa	ˈuː	0.133
ˈa	ˈa	0.133
t	-	0.13
n	-	0.12
ɡ	-	0.118
ˈi	ˈaː	0.1
ˈa	ˈɔː	0.1
ˈa	ˈeː	0.1
w	ə	0.1
l	lʲ	0.1
a	-	0.091
t	tʲ	0.087
ˈi	ˈɛ	0.067
ˈi	ˈɔː	0.067
ˈi	ˈeː	0.067
ˈa	ˈɒː	0.067
