Standard German	Standard German	probability
ˈɛː	-	1.0
ˈøː	ˈøː	1.0
ˈiː_ɐ	ˈiː	1.0
ˈeː_#>	ˈøː_#>	1.0
ˈaː_ɡ	jː	1.0
ˈaɪ̯_t	ˈiː_d	1.0
ʁ_ə	r	1.0
ɪ	ɪ	1.0
ɡ̊_#>	ɡ_#>	1.0
ɡ̊	j	1.0
ə_n	a	1.0
ɐ_ʦ	ʈː	1.0
ɐ_t	ɖ	1.0
ɐ_s	ʂ	1.0
ɐ_n	ɳ	1.0
ŋ_k	kː	1.0
ŋ	ŋː	1.0
ç_t_#>	tː_#>	1.0
ç_#>	#>	1.0
z̥_#>	s_#>	1.0
z_ˈaʊ̯	s_ˈʉː	1.0
x_t	tː	1.0
tʰ_ˈiː	j_ˈʉː	1.0
t_ɐ	r	1.0
s_t	s_t	1.0
p͡f	pʰ	1.0
n_d̥	n	1.0
n_d	nː	1.0
n_#>	#>	1.0
l_#>	l_#>	1.0
k_ə	ɡː	1.0
eː	ɔ	1.0
d̥_#>	#>	1.0
d̥	d	1.0
b̥_#>	v_#>	1.0
b_n_#>	#>	1.0
a	-	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʁ	<#_r	1.0
<#_v	<#	1.0
<#_tʰ	<#_d	1.0
<#_n	<#_n	1.0
<#_l	<#_j	1.0
<#_j	<#	1.0
h	h	0.913
l	l	0.902
v	v	0.875
b	b	0.84
ˈuː	ˈuː	0.818
ʁ	r	0.818
kʰ	kʰ	0.818
m	m	0.741
ɡ	ɡ	0.727
x	k	0.714
s	t	0.684
ʦ	tʰ	0.643
ˈa	ˈa	0.63
z	s	0.619
f	f	0.613
#>	ɛ_#>	0.6
ˈɛ	ˈɛ	0.579
ˈʏ	ˈʏ	0.571
ˈyː	-	0.571
ˈiː	ˈʉː	0.545
ˈeː	-	0.545
ˈɪ	ˈɪ	0.538
ç	k	0.538
ɐ	r	0.526
d	tʰ	0.524
ə	a	0.517
ˈaʊ̯	ˈʉː	0.5
ʃ	s	0.5
t	d	0.5
ˈɔʏ̯	-	0.444
ˈʏ	-	0.429
ˈyː	ˈøː	0.429
k	kː	0.429
ˈoː	ˈøː	0.417
ˈoː	ˈoː	0.417
n	n	0.417
ˈaː	ˈɑː	0.389
ˈaː	ˈoː	0.389
ə	-	0.379
ˈaɪ̯	ˈeː	0.375
n	a	0.361
ˈʊ	ˈɵ	0.333
ˈɔʏ̯	ˈyː	0.333
ˈɔ	ˈɵ	0.333
ˈɔ	ˈɔ	0.333
ˈaɪ̯	ˈiː	0.333
z	ɧ	0.286
x	-	0.286
k	ɡː	0.286
k	-	0.286
d	d	0.286
ˈiː	ˈyː	0.273
ˈeː	ˈɛː	0.273
ʃ	ɧ	0.269
ˈʊ	ˈʊ	0.267
m	mː	0.259
ˈaʊ̯	ˈøː	0.25
t	t	0.25
ɐ	ɛ_r	0.237
ˈɪ	-	0.231
ʃ	s_k	0.231
ç	ɡ	0.231
ç	-	0.231
ˈɔʏ̯	ˈœ	0.222
ˈa	ˈɑː	0.222
ʦ	tː	0.214
ˈɛ	-	0.211
s	tː	0.211
ˈaɪ̯	ˈɛ	0.208
ˈɔ	ˈuː	0.2
#>	r_#>	0.2
#>	d_#>	0.2
f	p	0.194
ˈuː	ˈøː	0.182
ˈiː	-	0.182
ˈeː	ˈæː	0.182
ɡ	j	0.182
kʰ	ɕ_ˈʏ	0.182
ˈoː	-	0.167
ˈɪ	j	0.154
ʦ	-	0.143
t	-	0.143
ˈʊ	ˈɔ	0.133
ˈʊ	ˈœ	0.133
ˈʊ	-	0.133
ˈɔ	ˈœ	0.133
f	v	0.129
ˈaʊ̯	ˈɵ	0.125
ˈaʊ̯	-	0.125
v	-	0.125
ˈaː	ˈa	0.111
ˈaː	-	0.111
ˈɛ	ˈɛː	0.105
ˈɛ	ˈæ	0.105
s	-	0.105
ə	ɛ	0.103
l	lː	0.098
z	-	0.095
d	ɕ	0.095
d	-	0.095
ʁ	r_ˈɛ	0.091
ʁ	-	0.091
ɡ	-	0.091
h	j	0.087
ˈaɪ̯	-	0.083
n	nː	0.083
b	v_ɛ	0.08
b	v	0.08
ɐ	r_a	0.079
ˈɪ	ˈeː	0.077
ˈa	ˈɛ	0.074
ˈa	-	0.074
t	s	0.071
f	pː	0.065
ɐ	ɳ	0.053
ɐ	rː	0.053
ɐ	-	0.053
