Occitan	Corsican	probability
f	f	1.0
i	i	1.0
v	v	1.0
y	u	1.0
ð	t	1.0
ŋ	ŋ	1.0
ʤ	ɟ	1.0
ˈy	ˈu	1.0
r	r_n	0.061
z	-	0.301
ɔ	a	0.921
ɡ	ɡ	0.951
ɣ	-	0.221
ɣ	k	0.701
ɾ	r	0.761
ʎ	ʎ	0.801
ʦ	ʦː_u	0.231
ˈi	e	0.121
ˈɔ	ˈɔ	0.861
j	t	0.232
k	kː	0.122
t	t	0.722
ɥ	-	0.902
ˈa	u_#>	0.112
d	d	0.983
k	k_w	0.053
l	l	0.393
t	tː	0.063
t	t_e	0.083
w	-	0.163
w	u	0.313
ɾ	e_r	0.053
ˈa	ˈa_n	0.073
β	v	0.293
m	m	0.954
n	n_t	0.144
n	n	0.824
p	p	0.984
r	r	0.864
s	-	0.094
t	t_u	0.074
z	z	0.514
ɲ	ɲ_u	0.064
ʧ	tː_u	0.544
ˈu	ˈɔ	0.614
s	s	0.595
u	u	0.745
ˈe	ˈɛ	0.735
ˈi	ˈi	0.835
ˈɛ	ˈa	0.055
e	ˈɛ	0.066
e	a	0.076
e	i	0.206
l	j	0.166
s	ʧ	0.206
w	j	0.296
z	d	0.186
ɲ	ɲ	0.936
ʧ	tː	0.456
ˈe	ˈe	0.126
a	-	0.087
b	b	0.987
l	lː	0.117
l	lː_u	0.157
ɾ	-	0.187
ˈa	ˈa	0.67
ˈɛ	ˈɛ	0.547
e	e	0.28
e	u	0.318
k	k_u	0.078
k	k	0.708
ɥ	ˈo	0.098
ˈɛ	ˈo	0.08
ˈɛ	ˈe	0.228
β	b	0.058
a	a	0.9
j	j	0.179
j	-	0.589
l	l_u	0.079
u	ˈɔ	0.209
w	v_e	0.179
ɣ	ɡ	0.079
ʎ	-	0.199
ʦ	ʧ_e	0.769
ˈa	e_#>	0.089
ˈe	ˈi	0.139
ˈu	ˈu	0.129
ˈu	ˈo	0.19
ˈɔ	ˈo	0.139
ˈɛ	ˈɔ	0.09
β	p	0.649
