Asturian	Asturian	probability
ˈe_ɾ	r_ə	1.0
ˈe_n	n	1.0
ˈa_ð	ˈɛ	1.0
ˈa_l	ˈa_w	1.0
ʧ	t	1.0
ɾ_t	r_t	1.0
ŋ_#>	n_#>	1.0
ŋ	ŋ	1.0
ð_a	ə	1.0
ð	-	1.0
t_a	t_ə	1.0
s_#>	s_#>	1.0
r	r	1.0
p	p	1.0
l_ˈa	l_ˈe	1.0
l_u	l	1.0
j_ˈe	ˈɛ	1.0
f	f	1.0
e_ɾ	ɛ_r	1.0
e_#>	#>	1.0
d_u	t	1.0
d	d	1.0
b_j	v	1.0
a_n	ã_n	1.0
a_#>	#>	1.0
<#_θ	<#_ʦ	1.0
<#_ʎ	<#_l	1.0
<#_ɡ_w	<#_w	1.0
<#_ɡ	<#	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_e	<#_e	1.0
<#_a	<#_a	1.0
<#	<#_ɔ	1.0
t	t	0.92
u_#>	#>	0.909
ɾ	r	0.889
i	-	0.875
m	m	0.871
s	s	0.846
w_ˈe	ˈɔ	0.833
ʝ	ʎ	0.818
w	w	0.818
ʃ	ʤ	0.8
n	n	0.794
a	ə	0.781
l	l	0.75
ʎ	l	0.643
o	-	0.636
ɲ	ɲ	0.625
ɡ	ɡ	0.625
j	j	0.611
b	v	0.577
n_u	j_n	0.556
e	ə	0.556
ˈi	ˈi	0.536
ˈu	ˈy	0.5
k	ʧ	0.477
k	k	0.477
n_u	n	0.444
#>	s_#>	0.429
b	b	0.423
u	-	0.421
ɣ	-	0.417
β	v	0.4
j	-	0.389
ɲ	-	0.375
ɡ	k	0.375
o	u	0.364
ɣ	ɡ	0.333
ˈo	ˈũ	0.326
u	ə	0.316
#>	ə_#>	0.286
#>	n_#>	0.286
ˈo	ˈu	0.279
u	j	0.263
ɣ	j	0.25
l	-	0.25
ˈe	ˈɛ	0.246
ˈa	ˈa	0.241
β	f	0.24
e	-	0.222
θ	z	0.214
θ	s	0.214
θ	j_s	0.214
θ	-	0.214
ˈi	ˈĩ	0.214
ʎ	p_l	0.214
ˈa	ˈe	0.207
ʃ	-	0.2
ˈa	ˈã	0.19
ˈu	ˈỹ	0.188
ˈu	j	0.188
ˈe	ˈẽ	0.185
ʝ	j	0.182
w	-	0.182
ˈi	-	0.179
w_ˈe	ˈɛ	0.167
β	b	0.16
s	-	0.154
θ	ʦ	0.143
ʎ	k_l	0.143
a	a	0.141
ˈo	ˈɔ	0.14
ˈe	ˈi	0.138
m	-	0.129
ˈu	ˈũ_j	0.125
i	ĩ	0.125
ˈa	ˈã_j	0.121
β	-	0.12
n	-	0.118
ˈe	ˈɔ_j	0.108
ˈe	ˈe	0.108
ˈo	ˈy	0.093
ˈo	-	0.093
ˈe	ˈɔ	0.092
u_#>	w_#>	0.091
n	n_d	0.088
ˈa	ˈɛ	0.086
ˈa	j	0.086
β	ˈɛ	0.08
t	-	0.08
ˈe	j	0.077
e	ˈẽ	0.074
e	ɔ	0.074
e	e	0.074
ˈi	r	0.071
ˈa	j_ˈɛ	0.069
