Spanish	Galician	probability
a	ɐ	0.667
a	a	0.249
b	b	0.866
b	-	0.1
d	d	1.0
e	e	0.475
e	ɪ	0.433
e	-	0.056
e_ˈe	ˈe	0.496
f	f	1.0
i	i	0.836
i	e	0.16
j	ˈɛ	0.567
j	j	0.232
j	-	0.092
j_ˈe	ˈe	1.0
k	k	0.965
l	l	0.726
l	-	0.201
m	m	1.0
n	n	0.579
n	-	0.199
n	ŋ	0.115
n	ɲ	0.105
n_o	ŋ	1.0
o	ʊ	0.723
o	o	0.169
p	p	0.943
p	β	0.053
r	r	1.0
s	s	0.938
t	t	0.857
t	w_t	0.083
t	-	0.057
u	u	0.392
u	i	0.223
u	o	0.223
w	ˈɔ	0.45
w	ˈo	0.349
w	w	0.089
w	-	0.065
x	ʎ	0.541
x	ʃ	0.406
x	β	0.052
ð	ð	0.989
ŋ	ŋ	0.91
ŋ	ɲ	0.064
ɟ͡ʝ	ʧ	0.886
ɟ͡ʝ	l	0.086
ɡ	ɡ	0.949
ɡ	-	0.052
ɣ	ɣ	1.0
ɲ	ɲ	0.564
ɲ	n	0.432
ɾ	ɾ	0.937
ɾ_e	ɪ	1.0
ʝ	l	0.686
ʝ	ʃ	0.16
ʝ	j	0.075
ʝ	ʧ	0.074
ʧ	j	1.0
ˈa	ˈa	0.817
ˈa	ˈɑ	0.136
ˈe	ˈe	0.556
ˈe	-	0.372
ˈe_j	ˈi	0.496
ˈe_s	s	1.0
ˈe_β	β	1.0
ˈi	ˈi	0.903
ˈi	ˈɛ	0.057
ˈo	ˈo	0.771
ˈo	ˈɔ	0.162
ˈu	ˈu	0.83
ˈu	ˈo	0.168
β	β	0.849
θ	θ	0.846
θ	ʃ	0.068
θ	s	0.055
