Bellunese	French	probability
b	b	1.0
f	f	1.0
m	m	1.0
ˈi	i	1.0
i	i	0.441
j	j	0.461
l	l	0.881
o	a	0.091
p	-	0.061
t	-	0.381
w	-	0.681
ŋ	ɛ̃	0.751
ˈa	-	0.121
ˈe	w	0.111
ˈe	-	0.241
ˈɔ	o	0.111
θ	s	0.751
d	d	0.572
e	ə	0.122
j	l	0.482
n	-	0.212
o	-	0.092
o	ɔ	0.182
s	-	0.082
v	v	0.822
ˈa	ɛ	0.542
n	n	0.493
ɡ	-	0.753
ˈa	a	0.253
ˈe	w_a	0.123
ˈo	-	0.103
ˈu	u	0.183
e	a	0.334
o	ø	0.144
o	u	0.394
v	-	0.174
z	-	0.344
ʧ	j	0.764
a	-	0.125
n	ɑ̃	0.295
o	ɔ̃	0.055
ð	ʒ	0.955
ɲ	-	0.5
ɲ	ɲ	0.5
ˈe	ɛ	0.475
ˈo	u	0.175
ˈo	œ	0.425
ˈɔ	ɔ	0.725
ˈɛ	-	0.385
z	z	0.656
ʧ	-	0.236
ˈa	e	0.076
a	j	0.057
a	a	0.817
e	i	0.057
e	-	0.487
k	k	0.247
ŋ	-	0.227
ɡ	ɡ	0.247
ˈo	ɔ	0.207
ˈu	y	0.817
d	-	0.428
k	ʃ	0.668
r	ʁ	0.98
ˈɔ	œ	0.078
ˈɛ	ɛ	0.58
i	-	0.559
l	-	0.119
p	p	0.939
s	s	0.909
t	t	0.619
w	ɑ̃	0.319
ˈɔ	i	0.059
θ	-	0.249
