Bavarian	Old West Norse	probability
β	v	1.0
ˈɛ	j	1.0
ˈɒ	ˈɑ	1.0
ˈɑː	ˈɑ	1.0
ˈoɐ̯	ˈɛi̯	1.0
ˈou̯	ˈɑu̯	1.0
ˈiː	-	1.0
ˈi_ɐ	ˈeː_r̥	1.0
ˈeɐ̯	ˈɔː	1.0
ˈa	-	1.0
ʋ_ˈo	ˈu	1.0
ʃ_d̥	s_t	1.0
ɑ	-	1.0
ɐ_ʦ	r_t	1.0
ɐ_n	r_n	1.0
ɐ_d̥	r_ð	1.0
ŋ_ɡ̊	kː	1.0
ç	-	1.0
sː	-	1.0
s_ˈo	s_ˈɑ	1.0
s_n	t_ɑ	1.0
r	r	1.0
i	ɡ_r̥	1.0
h_ˈeː	h	1.0
fː	p	1.0
eː	ɑː	1.0
d̥_n	ð_ɑ	1.0
b̥͡v̥	pʰ	1.0
l	l	0.941
b̥	b	0.849
h	h	0.831
ˈau̯	ˈuː	0.817
ˈuɐ̯	ˈoː	0.8
ʋ	v	0.784
f	f	0.755
kʰ	kʰ	0.75
a	ɑ	0.715
ˈoː	ˈɑː	0.702
s	s	0.689
ˈai̯	ˈiː	0.664
j	l	0.642
m	m	0.641
ŋ	ŋ	0.639
ˈɒː	ˈɑ	0.633
ə	u	0.6
ɐ	r	0.58
d̥	ð	0.568
ˈi	ˈi	0.538
x	k	0.526
ˈu	ˈu	0.522
ʦ	tʰ	0.481
n	n	0.449
ˈeː	ˈe	0.417
ˈaː	-	0.408
ˈeː	-	0.4
ə	i	0.4
ˈiɐ̯	j_ˈoː	0.387
ˈɑ	-	0.376
ɡ̊	ɣ	0.368
ˈɒː	-	0.367
ʃ	s	0.366
ˈɑ	ˈɑ	0.353
ˈe	ˈe	0.328
d̥	d	0.319
ˈo	ˈo	0.311
s	t	0.311
ˈaː	ˈɑu̯	0.299
ˈoː	-	0.298
ˈaː	ˈu	0.293
ˈiɐ̯	j	0.291
x	-	0.291
j	lː	0.291
ʃ	s_c	0.285
ˈɑ	ˈɑː	0.271
ʦ	t	0.264
ʦ	tː	0.255
kʰ	cʰ	0.25
n	nː	0.228
ˈo	ˈɑ	0.223
ˈuɐ̯	ˈøː	0.2
ˈai̯	ˈyː	0.2
ɡ̊	-	0.198
ˈe	-	0.197
ʃ	s_k	0.195
n	-	0.186
ˈu	-	0.185
ˈeː	ˈɛː	0.183
ˈau̯	-	0.183
ɡ̊	ɡ	0.183
x	tː	0.183
ˈo	ˈu	0.18
ŋ	ˈuː_ɣ	0.178
ˈu	ˈo	0.173
h	ç	0.169
m	v	0.165
ˈiɐ̯	ˈøː	0.161
ˈiɐ̯	j_ˈuː	0.161
ʃ	k	0.155
ˈo	-	0.153
b̥	v	0.151
a	a	0.145
ŋ	-	0.141
a	-	0.14
ˈi	ˈy	0.138
ˈi	ˈe	0.137
ˈai̯	-	0.136
ˈo	ˈy	0.133
m	mː	0.133
ɐ	i	0.132
f	v	0.131
ˈe	ˈu	0.128
ˈe	ˈɑ	0.126
ˈu	ˈy	0.121
ɐ	r̥ː	0.118
ʋ	-	0.116
ˈi	-	0.105
ɡ̊	k	0.103
ʋ	x_w	0.099
n	ɑ	0.096
ɐ	r̥	0.093
ˈe	j_ˈɑ	0.092
ɡ̊	ɟ	0.09
ˈi	s	0.082
f	ˈo_v	0.08
j	-	0.067
ˈe	ˈɛ	0.065
ˈe	j_ˈɔ	0.064
m	m_ˈa	0.061
l	l̥	0.059
ɡ̊	cː	0.058
