East Low German	Swiss German	probability
ˈɔʏ̯	ˈyə̯	1.0
ˈyː	ˈyː	1.0
ˈoː	ˈɒː	1.0
ˈeː	ˈeː	1.0
ʃ_#>	ʃː_#>	1.0
ɪ	i	1.0
ɡ_r	ɡ̊_r	1.0
ɡ	ɡ̊	1.0
æ_n	r_n	1.0
z	z̥	1.0
w	ʋ	1.0
v	ʋ	1.0
tʰ	ʦ	1.0
s_#>	z̥_#>	1.0
r	r	1.0
n_d_#>	ŋ_#>	1.0
n_#>	#>	1.0
l	l	1.0
kʰ	ɣ̊	1.0
h	h	1.0
f_#>	b̥_#>	1.0
d_r	tː_r	1.0
d_n	tː_ə	1.0
b	b̥	1.0
#>	i_#>	1.0
ʃ	ʒ̊	0.9
f	v̥	0.889
ˈɪ	ˈi	0.818
ˈa	ˈɒ	0.818
ˈʊ	ˈu	0.8
ˈɛ	ˈæ	0.8
ç_#>	ɡ̊_#>	0.778
p	fː	0.7
æ	r	0.694
x	χː	0.667
s	ʃː	0.667
d	d̥	0.647
ˈiː	ˈiː	0.643
m	m	0.643
ˈʏ	ˈy	0.625
ˈuː	ˈuː	0.611
ɾ	tː_ə	0.6
j	ɡ̊	0.6
t	tː	0.547
ˈɔ	ˈo	0.545
ŋ	ŋ	0.538
ˈae̯	ˈæi̯	0.524
ˈɛː	ˈɒ	0.5
ˈɛː	ˈæ	0.5
n	n	0.475
ˈaʊ̯	ˈuə̯	0.455
k	χː	0.444
ˈaː	r	0.429
ç	kː	0.429
ɾ	d̥_ə	0.4
j	j	0.4
ˈɒː	ˈɒː	0.389
ˈʏ	ˈu	0.375
n	ə	0.361
d	tː	0.353
t	sː	0.34
x	ɡ̊	0.333
s	χː_sː	0.333
k	kː	0.333
ŋ	ɡ̊_ə	0.308
æ	ə_r	0.306
p	p͡f	0.3
ˈaː	ˈɒː	0.286
ˈaː	ˈɒ_r	0.286
ˈae̯	ˈyː	0.286
ç	χː_ə	0.286
ç	χː_tː	0.286
ˈɒː	ˈoː	0.278
ˈɔ	ˈu	0.273
ˈaʊ̯	ˈoː	0.227
ˈaʊ̯	ˈau̯	0.227
ˈɒː	ˈɒ	0.222
ç_#>	#>	0.222
ˈiː	ˈiə̯	0.214
ˈʊ	ˈo	0.2
ˈɛ	ˈe	0.2
ˈɔ	ˈɒ	0.182
m	m_ə	0.179
ˈuː	ˈo	0.167
ŋ	ŋ_ə	0.154
ˈiː	ˈi	0.143
t	ʦ	0.113
ˈɒː	ˈo	0.111
ˈuː	ˈu	0.111
ˈuː	ˈoː	0.111
k	χː_ə	0.111
k	ɡ̊	0.111
f	fː	0.111
m	b̥_ə	0.107
ʃ	ʃː	0.1
n	n_d̥	0.098
ˈae̯	ˈy	0.095
ˈae̯	ˈeː	0.095
ˈɪ	ˈæi̯	0.091
ˈɪ	ˈiə̯	0.091
ˈaʊ̯	ˈɒ	0.091
ˈa	ˈɒː	0.091
ˈa	ˈæ	0.091
m	fː	0.071
n	n_ə	0.066
