Teochew	Teochew	probability
⁵⁵	²¹	1.0
⁵²	⁵³	1.0
⁴⁴	⁵⁵	1.0
⁴	²¹	1.0
ʨʰ	ʨʰ_j	1.0
ʣ_i	ɚ	1.0
ʣ	z	1.0
ʔ_⁴	²¹	1.0
ʔ_²	²¹	1.0
ŋ̍	x_w	1.0
¹¹	²¹³	1.0
³³	⁵⁵	1.0
²⁴	²¹	1.0
²¹³	²¹³	1.0
²	²¹	1.0
w_a	ɛ	1.0
ũ	a	1.0
tʰ	tʰ	1.0
õ	ŋ	1.0
o_ʔ	o	1.0
o_w	u	1.0
o_j	i	1.0
k̚_⁴	²¹	1.0
k̚_²	²¹	1.0
h_w	f	1.0
h_u	y	1.0
h	x	1.0
ẽ	i_n	1.0
e_ʔ	ɛ	1.0
e_k̚	ɛ	1.0
b	-	1.0
ã	n	1.0
a_w	ə_w	1.0
a_m	a_n	1.0
a_k̚	u	1.0
a_j	z̩	1.0
<#_m	<#_w	1.0
<#_l	<#_n	1.0
#>	²¹³_#>	1.0
j	j	0.8
e	a	0.778
ʦʰ	ʦʰ	0.727
u_ŋ	ə_n	0.714
u	u	0.667
kʰ	kʰ	0.667
ʦ	ʦ	0.625
s	s	0.625
ŋ	ŋ	0.6
w	w	0.6
³⁵	⁵³	0.571
a	a	0.56
t	t	0.5
n	nʲ	0.5
n	-	0.5
m	n	0.5
m	m	0.5
ĩ	ɛ_n	0.5
ĩ	-	0.5
<#	<#_x	0.5
ɯ	a	0.429
³⁵	²¹³	0.429
p	p	0.417
o	a_w	0.4
k	ʨ	0.385
k	k	0.385
ʦ	s	0.375
s	ɕ	0.375
i	z̩	0.375
i	i	0.375
a	o	0.36
u	-	0.333
p	f	0.333
kʰ	ʨʰ	0.333
ŋ	n	0.32
t	ʦ	0.3
ɯ	w_a	0.286
ɯ	-	0.286
u_ŋ	a_n	0.286
ʦʰ	-	0.273
w	-	0.267
p	pʰ	0.25
i	-	0.25
<#	<#_n	0.25
<#	<#_m	0.25
k	-	0.231
e	u	0.222
t	ʦʰ	0.2
o	u	0.2
o	o	0.2
o	a	0.2
j	-	0.2
w	ə_w	0.133
ŋ	ə_n	0.08
a	ɛ	0.08
