Sicilian	Emilian	probability
a	a	0.899
a	-	0.064
b	b	0.931
b	-	0.069
c	-	0.435
c	ʧ	0.371
c	p_j	0.151
d	d	0.911
d	ð	0.05
f	f	1.0
i	-	0.41
i	e	0.284
i	i	0.161
i	a	0.145
j	ð	0.303
j	j	0.277
j	ʤ	0.202
j	-	0.196
k	k	0.775
k	-	0.19
l	l	0.869
l	θ	0.086
m	m	0.816
m	-	0.171
n	n	0.621
n	ŋ	0.208
n	-	0.124
o	o	0.596
o	u	0.404
p	p	0.744
p	v	0.203
p	j	0.053
r	r	0.932
s	s	0.924
s	-	0.076
t	t	0.537
t	d	0.274
t	-	0.189
u	u	0.613
u	ɲ	0.327
u	ˈa	0.059
v	v	0.965
w	w	0.394
w	-	0.304
w	j	0.098
w	u	0.097
w	l	0.059
z	z	1.0
ç	f_j	1.0
ŋ	ŋ	1.0
ɕ	θ	0.615
ɕ	z	0.173
ɕ	-	0.147
ɕ	ð	0.065
ɖ	l	0.517
ɖ	-	0.483
ɟ	j	0.443
ɟ	-	0.365
ɟ	l	0.078
ɟ	b	0.074
ɡ	ɡ	1.0
ɪ	-	0.794
ɪ	e	0.154
ɲ	ɲ	0.476
ɲ	-	0.381
ɲ	ʤ	0.105
ɽ	r	0.693
ɽ	e	0.307
ɾ	r	0.612
ɾ	d	0.143
ɾ	-	0.088
ɾ	r_e	0.067
ʃ	s	0.775
ʃ	-	0.209
ʈ	d	0.748
ʈ	t	0.252
ʊ	-	0.993
ʐ	r	0.539
ʐ	-	0.461
ʤ	ð	0.717
ʤ	-	0.251
ʦ	θ	0.514
ʦ	-	0.251
ʦ	ɡ	0.109
ʦ	ð	0.088
ʧ	-	0.5
ʧ	θ	0.5
ˈa	ˈɛ	0.421
ˈa	ˈa	0.336
ˈa	ˈaː	0.211
ˈe	ˈa	1.0
ˈi	ˈe	0.347
ˈi	ˈa	0.233
ˈi	ˈiː	0.153
ˈi	ˈa_j	0.079
ˈi	ˈæ	0.073
ˈi	j	0.066
ˈo	ˈo	0.751
ˈo	ˈaː	0.249
ˈu	ˈo	0.427
ˈu	ˈʌu̯	0.199
ˈu	ˈuː	0.137
ˈu	ˈʌ	0.102
ˈɔ	ˈɔː	0.348
ˈɔ	ˈɔ	0.23
ˈɔ	ˈʌ	0.177
ˈɔ	-	0.057
ˈɔ	ˈuː	0.056
ˈɔ	ˈo	0.055
ˈɛ	ˈɛ	0.394
ˈɛ	ˈɛː	0.187
ˈɛ	ˈiː	0.137
ˈɛ	ˈæ	0.128
ˈɛ	ˈa	0.07
ˈɛ	ˈaː	0.059
