Brazilian Portuguese	Ligurian	probability
a	a	0.499
a	ˈaː	0.251
a	-	0.051
a	ˈø	0.051
a_ɾ	ˈɛ	1.0
b	v	0.421
b	b	0.413
b	ʤ	0.079
d	d	0.518
d	-	0.236
d	t	0.227
e	e	0.392
e	-	0.308
e	j	0.114
e	i	0.069
ẽ	n	0.364
ẽ	i	0.209
ẽ	j	0.209
ẽ	u	0.209
f	f	1.0
h	r	0.566
h	-	0.238
h	d_e	0.057
h	ŋ	0.053
i	e	0.6
i	-	0.122
i	i	0.115
i	u	0.077
i	a	0.057
ĩ	i_ŋ	1.0
j	-	0.406
j	ʒ	0.177
j	ˈiː	0.116
j	j	0.11
j	z	0.107
j̃	ɲ	0.4
j̃	ŋ	0.226
j̃	-	0.195
j̃	a	0.065
j̃	n	0.056
j̃	u	0.054
j̃_u	ŋ	0.494
k	k	0.921
l	l	0.902
l	-	0.061
m	m	0.948
n	n	0.88
n	ŋ	0.107
o	w	0.3
o	u	0.222
o	ɔː	0.205
o	ˈɔ	0.178
o	-	0.071
õ	u	1.0
p	p	0.963
s	s	0.863
s	r_s	0.052
t	t	0.796
t	ŋ_t	0.202
u	u	0.886
u	-	0.074
u_ʃ	i	1.0
v	v	0.735
v	b	0.081
v	-	0.07
w	w	0.324
w	-	0.31
w	r	0.164
w	ˈaː	0.078
w	e	0.058
w	u	0.056
w̃	ŋ	0.875
w̃	-	0.087
z	z	0.415
z	-	0.325
z	ʒ	0.132
z	n	0.081
ɐ	a	0.887
ɐ_ʃ	e	1.0
ɐ̃	a	0.375
ɐ̃	u	0.185
ɡ	ɡ	0.964
ɦ	r	1.0
ɾ	r	0.533
ɾ	-	0.272
ɾ	j	0.15
ɾ_ˈe	ˈeː	1.0
ʃ	-	0.388
ʃ	s	0.357
ʃ	ʃ	0.161
ʃ	ʧ	0.081
ʎ	ʤ	0.774
ʎ	-	0.141
ʎ	w	0.067
ʒ	z	0.634
ʒ	ʤ	0.266
ʒ	ʒ	0.096
ʤ	d	0.863
ʤ	t	0.097
ʧ	t	0.703
ʧ	-	0.094
ʧ	s	0.094
ʧ	ŋ_t	0.074
ˈa	ˈaː	0.462
ˈa	ˈa	0.385
ˈa	ˈɛː	0.074
ˈa	-	0.062
ˈa_h	ˈaː	1.0
ˈa_j	ˈa	1.0
ˈa_w	ˈaː	1.0
ˈa_ʤ	ˈɛː	1.0
ˈe	ˈe	0.443
ˈe	-	0.173
ˈe	ˈeː	0.167
ˈe	ˈɛː	0.115
ˈe_h	e	0.671
ˈe_h	ˈiː	0.325
ˈẽ	ˈe	0.477
ˈẽ	ˈi	0.156
ˈẽ	ˈeː	0.136
ˈẽ	ˈe_ŋ	0.103
ˈẽ	ˈa	0.089
ˈi	ˈi	0.425
ˈi	ˈiː	0.246
ˈi	ˈe	0.13
ˈi	i	0.055
ˈi	ˈɛː	0.055
ˈi	-	0.055
ˈi_h	ˈiː	1.0
ˈĩ	ˈi	0.777
ˈĩ	ˈe	0.207
ˈĩ_j̃	ŋ	1.0
ˈo	ˈøː	0.224
ˈo	ˈu	0.203
ˈo	ˈø	0.189
ˈo	ˈɔː	0.143
ˈo	ˈuː	0.068
ˈo	ˈy	0.068
ˈo_b	ˈuː	1.0
ˈo_h	ˈuː	1.0
ˈo_w	ˈɔː	1.0
ˈõ	ˈu_ŋ	0.365
ˈõ	ˈu	0.223
ˈõ	ˈɔ	0.174
ˈõ	ˈy	0.1
ˈõ	ˈø	0.1
ˈu	ˈyː	0.383
ˈu	ˈu	0.183
ˈu	ˈuː	0.156
ˈu	-	0.082
ˈu	ˈi	0.068
ˈu	ˈɔ	0.068
ˈu_ɾ	ˈyː	1.0
ˈũ	ˈy	0.441
ˈũ	ˈy_ŋ	0.308
ˈũ	ˈu	0.234
ˈɐ̃	ˈa	0.835
ˈɐ̃	ˈu	0.099
ˈɔ	ˈuː	0.221
ˈɔ	ˈɔː	0.203
ˈɔ	w	0.171
ˈɔ	ˈøː	0.158
ˈɔ	ˈɔ	0.137
ˈɔ	ˈa	0.062
ˈɛ	ˈe	0.235
ˈɛ	ˈɛː	0.215
ˈɛ	ˈeː	0.208
ˈɛ	ˈɛ	0.167
ˈɛ	-	0.149
ˈɛ_w	ˈeː	1.0
