Ligurian	Megleno-Romanian	probability
b	b	1.0
d	d	1.0
f	f	1.0
m	m	1.0
n	n	1.0
ʒ	ʦ	1.0
ʧ	-	1.0
ˈi	ˈi	1.0
ˈiː	ˈi	1.0
ˈu	ˈu	1.0
ˈy	ˈu	1.0
ˈø	ˈo	1.0
ˈøː	ˈo	1.0
ˈɔ	ˈo	1.0
a	r_ə	0.061
j	r	0.811
l	ʎ	0.091
v	-	0.131
z	s	0.291
ˈa	-	0.141
ˈe	ˈi	0.471
ˈuː	o̯ˈa	0.231
i	-	0.132
l	l	0.562
p	p	0.892
t	p_t	0.362
ʤ	ɡ_ʎ	0.102
ˈe	ˈe	0.322
ˈeː	ˈe	0.662
k	k	0.93
u	i	0.13
z	ʒ	0.133
ɡ	ɡ	0.3
ˈɛː	ˈa_t	0.193
e	ə	0.214
s	s	0.604
ŋ	m	0.064
ŋ	-	0.154
ʤ	k_ʎ	0.354
ˈa	ˈa	0.254
u	u	0.695
v	i_#>	0.275
w	u	0.25
w	-	0.75
ˈa	ˈɔ_j	0.15
ˈa	ˈɔ	0.455
ˈaː	ˈa	0.765
r	-	0.156
s	ʦ	0.396
u	ə	0.086
v	r_#>	0.056
z	z	0.576
ŋ	n	0.696
a	-	0.227
a	ə	0.67
k	ʦ	0.07
l	-	0.347
ɡ	k	0.7
ʤ	z	0.077
ʤ	ʎ	0.467
ˈaː	ˈa_r	0.067
ˈe	e̯ˈa	0.207
ˈɛː	ˈa	0.807
e	-	0.068
e	i	0.718
i	i	0.868
p	-	0.108
r	r	0.808
v	p	0.128
ŋ	n_i	0.08
ˈaː	ˈa_l	0.168
ˈeː	e̯ˈa	0.338
j	-	0.189
t	ʦ	0.129
t	t	0.509
u	-	0.09
v	v	0.409
ˈuː	ˈu	0.769
