East Franconian	Wymysorys	probability
β	v	1.0
ˈɛː	-	1.0
ˈɛ_ɐ	ˈɑ	1.0
ˈɒː	ˈɑ	1.0
ˈaʊ̯	ˈɑi̯	1.0
ˈa	ˈi̯ø	1.0
ʦ	ʦ	1.0
ʃ_d̥	s_t	1.0
ɪ	ˈu_ŋ	1.0
ɣ	l	1.0
ɡ̊_s	k_s	1.0
ə	ˈɑi̯_ɡ̊	1.0
z̥	s	1.0
x	x	1.0
v_ˈɔ	v	1.0
v	v	1.0
r	r	1.0
kʰ	k	1.0
j	j	1.0
h	h	1.0
f	f	1.0
eː	ɑ	1.0
d̥_r	t_r	1.0
b̥͡v̥	-	1.0
a	a	1.0
ʃ	ʃ	0.958
l	w	0.843
ˈɪ	ˈɘ̟	0.827
m	m	0.82
b̥	b	0.804
ˈʊ	ˈu	0.738
ˈaɪ̯	ˈai̯	0.669
ɾ	d	0.629
d̥	t	0.625
s	z	0.608
n	n	0.603
ˈɒ	ˈɑ	0.598
ɣ̊	ɡ̊	0.588
ˈuː	ˈʏ	0.527
ˈiː	ˈi	0.507
ɡ̊	ɡ	0.502
ˈɔ	ˈu	0.5
ˈaː	ˈa	0.499
ɡ̊	k	0.498
ˈɛ	ˈɛ	0.464
ˈeː	ˈɑ	0.42
ɣ̊	-	0.412
ɐ	ɛ	0.41
ŋ	ɟ	0.409
s	s	0.392
ɐ	-	0.384
ç	x	0.375
ɾ	t	0.371
ˈeː	-	0.369
ˈiː	ˈei̯	0.358
ˈoː	ˈø	0.355
ˈuː	ˈu	0.339
ç	ç	0.322
ç	ɡ̊	0.303
ˈɔ	ˈɔ	0.25
ˈɔ	-	0.25
ˈɒ	ˈɔ	0.248
ˈaɪ̯	ˈɑi̯	0.247
ˈoː	ˈɔ	0.244
ˈaː	ˈɑi̯	0.228
d̥	d	0.224
ˈeː	ˈa	0.212
n	a	0.207
ɐ	r	0.206
b̥	b̥	0.196
ˈɛ	ˈɑ	0.184
ˈɛ	ˈa	0.184
ˈɪ	ˈɘ̟_ŋ	0.173
ˈɛ	ˈɘ̟	0.167
ŋ	ŋ_ɡ̊	0.167
ˈoː	-	0.163
ŋ	n	0.162
ˈoː	ˈi̯ø	0.161
ˈʊ	ˈʏ	0.158
l	l	0.157
ŋ	x	0.156
d̥	d̥	0.15
ˈaː	ˈɑ	0.136
ˈaː	-	0.136
ˈuː	ˈi	0.134
n	n_d	0.109
ŋ	c	0.106
m	n	0.104
ˈʊ	ˈɘ̟	0.103
ˈiː	-	0.101
ˈɒ	ˈɛ	0.095
ˈaɪ̯	-	0.084
n	-	0.081
ˈoː	ˈɑ	0.077
m	-	0.075
ˈɒ	-	0.059
