Brazilian Portuguese	Logudorese	probability
f	f	1.0
m	m	1.0
o	o	1.0
p	p	1.0
t	t	1.0
z	ɣ	1.0
ʒ	ɡ	1.0
ʧ	t	1.0
ˈa	ˈa	1.0
ˈi	ˈi	1.0
ˈu	ˈu	1.0
ˈũ	ˈu	1.0
ˈɔ	ˈo	1.0
ˈɛ	ˈe	1.0
d	ð	0.561
h	r	0.341
i	e	0.751
j	-	0.491
ɦ	-	0.161
ɾ	-	0.131
ˈe	ˈe	0.311
ˈɐ̃	ˈa	0.611
h	r_e	0.542
l	-	0.062
ʎ	ʣ	0.442
ˈe	e	0.172
a	ˈa	0.273
b	b	0.553
h	e_r_e	0.053
l	ɖː	0.3
w̃	e	0.733
ɡ	ɣ	0.523
ʎ	-	0.133
e	i	0.504
j̃	n	0.834
k	-	0.054
v	b	0.594
w	l_e	0.204
ɐ	n_a	0.154
ɾ	e_r	0.074
h	-	0.065
s	sː	0.065
ɾ	r	0.795
ʎ	k_r	0.425
ˈõ	ˈo_n	0.365
ˈõ	ˈo	0.635
e	e	0.496
j	j	0.06
j̃	-	0.166
k	k	0.946
s	k	0.316
ɐ	a	0.846
ʃ	s	0.416
ˈe	ˈi	0.516
ˈẽ	ˈe	0.206
b	β	0.407
v	β	0.077
w̃	u	0.267
ɡ	b	0.07
ɡ	ɡ	0.407
ʃ	-	0.157
ʃ	z	0.427
ˈẽ	ˈi	0.217
ˈẽ	ˈe_n	0.577
ˈo	ˈo	0.727
a	a	0.678
i	i	0.18
l	l	0.638
n	n	0.978
w	l	0.328
ˈĩ	ˈi	0.968
d	d	0.439
i	u	0.069
j	ɣ_e	0.449
s	s	0.619
u	u	0.959
v	-	0.329
w	ˈa	0.089
w	-	0.379
ɦ	r	0.839
ˈo	ˈu	0.229
ˈɐ̃	ˈa_n	0.389
