Emilian	Portuguese	probability
a	ɐ	0.887
b	b	0.662
b	v	0.238
b	k	0.051
d	ð	0.429
d	d	0.407
d	-	0.144
e	ˈe	0.452
e	-	0.243
e	u	0.14
e	ɐ	0.075
e	ɐ̃	0.061
f	f	0.901
f	ʁ	0.059
i	ĩ	0.37
i	u	0.264
i	ẽ	0.139
i	ˈi	0.118
i	i	0.109
j	-	0.541
j	j	0.173
j	ʎ	0.066
j	w	0.066
j	ɾ	0.066
j	ˈi_ʎ	0.056
k	k	0.954
l	l	0.641
l	ɫ	0.146
l	-	0.142
l	w	0.052
m	m	0.771
m	m_ɨ	0.128
m	ɨ_m	0.062
n	n	0.625
n	-	0.318
o	ɔ	0.493
o	u	0.387
o	w	0.12
p	p	0.73
p	-	0.108
p	β	0.07
p	ʃ	0.051
r	ɾ	0.813
r	ʁ	0.055
s	ʃ	0.461
s	s	0.413
t	t	0.394
t	t_u	0.232
t	t_ɨ	0.194
t	ð	0.16
u	u	0.406
u	ɐ	0.135
u	ɔ	0.109
u	õ	0.098
u	o	0.095
u	-	0.087
u	w	0.063
v	v	0.55
v	β	0.227
v	v_ɨ	0.151
w	w	0.932
w	-	0.068
z	ʃ	0.602
z	ʒ	0.147
z	s	0.128
z	z	0.065
ð	ʒ	0.636
ð	-	0.241
ð	ʃ	0.078
ŋ	-	0.55
ŋ	w̃	0.219
ŋ	ɲ_u	0.056
ɡ	ɣ	0.397
ɡ	ɡ	0.309
ɡ	ɣ_u	0.17
ɲ	ɲ	0.958
ʤ	ʒ	0.487
ʤ	z	0.339
ʤ	-	0.173
ʧ	ʎ_u	0.574
ʧ	ʃ	0.241
ʧ	ʎ	0.185
ˈa	ˈe	0.268
ˈa	ˈɐ̃	0.206
ˈa	ˈɐ	0.138
ˈa	ˈẽ	0.138
ˈa	-	0.121
ˈa	ˈɛ	0.063
ˈaː	ˈɐ	0.333
ˈaː	ˈa	0.304
ˈaː	ˈɐ̃	0.098
ˈaː	ˈɔ	0.071
ˈaː	-	0.071
ˈaː	ˈõ	0.057
ˈe	ˈi	0.776
ˈe	ˈɐ	0.114
ˈi	ˈi	0.585
ˈi	j̃	0.311
ˈi	ˈe	0.104
ˈiː	ˈe	0.512
ˈiː	ˈi	0.234
ˈiː	ˈɛ	0.106
ˈiː	ˈɐ	0.082
ˈo	ˈu	0.371
ˈo	ˈo	0.232
ˈo	u	0.168
ˈo	ˈõ	0.087
ˈo	-	0.073
ˈuː	ˈu	0.639
ˈuː	ˈo	0.235
ˈuː	ˈɔ	0.126
ˈæ	ˈẽ	0.689
ˈæ	ˈɐ̃	0.174
ˈæ	ˈĩ	0.08
ˈæ	ˈɐ	0.057
ˈɔ	ˈo	0.595
ˈɔ	ˈɔ	0.37
ˈɔː	ˈo	0.377
ˈɔː	ˈɔ	0.26
ˈɔː	ˈo_w	0.138
ˈɔː	u	0.106
ˈɔː	-	0.074
ˈɛ	ˈa	0.607
ˈɛ	ˈɛ	0.164
ˈɛ	ˈɐ	0.105
ˈɛ	ˈe	0.052
ˈɛː	ˈɛ	0.847
ˈɛː	ɔ	0.103
ˈʌ	ˈo	0.415
ˈʌ	ˈõ	0.244
ˈʌ	ˈɐ̃	0.212
ˈʌ	ˈu	0.129
ˈʌu̯	ˈo	0.528
ˈʌu̯	ˈɔ	0.397
ˈʌu̯	ˈu	0.075
θ	s	0.69
θ	ʃ	0.177
θ	t	0.071
