West Flemish	Old Frisian	probability
ˈɑ_s	ˈe_s	1.0
ˈɑ_n	ˈoː	1.0
ˈyː	ˈuː	1.0
ʃ_h	s_k	1.0
ɾ_n	r_n	1.0
ɪ	i	1.0
ɦ̥	x	1.0
ç	x	1.0
z̥	z	1.0
z_ˈɛ	s_ˈi	1.0
n_ə	ə	1.0
j	j	1.0
iə̯	iː	1.0
h	x	1.0
d̥	d	1.0
b	b	1.0
p	p	0.947
l	l	0.917
z	s	0.916
ɾ	r	0.9
ʋ	w	0.899
t	t	0.884
m	m	0.873
ˈi	ˈiː	0.844
ə	ə	0.82
ˈæ	ˈe	0.795
ˈɪ	ˈi	0.774
v	f	0.761
k	k	0.721
ˈɔ	ˈo	0.693
s	s	0.684
w	l	0.671
ˈuə̯	ˈoː	0.667
ˈɛː	ˈɛː	0.666
n	n	0.625
ˈɑ	ˈa	0.596
d	θ	0.595
ˈøː	ˈu	0.574
ŋ	ŋ_ɡ	0.506
ŋ	ŋ	0.494
ˈiə̯	ˈi̯aː	0.489
ˈu	ˈu	0.448
ˈøː	-	0.426
ˈɒː	ˈeː	0.409
ˈeː	ˈe	0.406
ˈœ	ˈu	0.397
ˈoː	ˈaː	0.39
ˈɛ	ˈi	0.353
ˈuə̯	ˈeː	0.333
w	l_ə	0.329
ˈɛ	ˈe	0.323
ˈɛ	-	0.323
ˈɔ	-	0.307
ˈiə̯	ˈi̯uː	0.302
ˈœ	ˈe	0.301
ˈœ	-	0.301
ˈu	ˈa_l	0.293
ɦ	ɡ	0.279
ˈɒː	ˈe	0.274
ɦ	j	0.268
ɦ	ɣ	0.267
ˈu	-	0.259
ˈoː	ˈɔː	0.259
ˈɑ	ˈɔː	0.249
n	ə	0.248
v	v	0.239
ˈeː	ˈi	0.232
d	d	0.231
ˈɪ	-	0.226
ˈeː	ˈaː	0.221
ˈiə̯	-	0.21
ˈæ	ˈi	0.205
s	s_k	0.202
ˈɛː	ˈeː	0.196
k	k_ə	0.164
ˈɒː	ˈɔː	0.159
ˈɒː	ˈaː	0.159
ˈi	ˈi	0.156
ˈɑ	ˈe	0.154
ə	-	0.145
ˈeː	ˈi̯uː	0.141
ˈɛː	ˈaː	0.138
ˈoː	ˈɛː	0.132
m	mː	0.127
k	ʦ	0.115
s	k_s	0.114
ɦ	ɡː	0.113
d	d_ə	0.112
ʋ	w_ˈiː	0.101
ˈoː	-	0.095
ɾ	ə_r	0.086
z	s_w	0.084
l	lː	0.083
ˈoː	ˈo	0.078
ɦ	ʣ	0.073
n	-	0.069
t	tː	0.061
d	ð	0.061
t	t_ə	0.055
p	pː	0.053
