Elfdalian	Elfdalian	probability
ˈʉ̃ːə̯	-	1.0
ˈɪ̃ː	ˈi	1.0
ˈɛː	-	1.0
ˈɔ̃ː	-	1.0
ˈɔ	-	1.0
ˈœː	ˈoː	1.0
ˈœ	ˈɪ	1.0
ˈyːœ̯	ˈuə̯	1.0
ˈoː	-	1.0
ˈo_l	ˈu	1.0
ˈo	-	1.0
ʨː	-	1.0
ʥː	-	1.0
ʥ	ɦ	1.0
ʏ	-	1.0
ɽ	l	1.0
ɪ_n	ç	1.0
ɡ_#>	k_#>	1.0
ɡ	-	1.0
ɛ_r	ɾ	1.0
ɔ̃	iə̯	1.0
ɔ	n	1.0
ɑ̃	-	1.0
ɑ_#>	#>	1.0
w	ʋ	1.0
tʰ	d	1.0
t	t	1.0
s_k	s	1.0
s_#>	z̥_#>	1.0
rː	-	1.0
pː	p	1.0
pʰ	p	1.0
p	p	1.0
mː	m	1.0
m	m	1.0
l̥	s_l	1.0
lː	l	1.0
l	-	1.0
kː	k	1.0
k_t	h_t	1.0
j_ˈʉːə̯	ˈiə̯	1.0
f	v	1.0
d_#>	d̥_#>	1.0
d	d	1.0
b	b	1.0
a	n	1.0
<#_ˈoː	<#_ˈoː	1.0
<#_ˈiːe̯	<#	1.0
<#_ɡ	<#_ɦ	1.0
<#_tʰ	<#_t	1.0
<#_r	<#_ɾ	1.0
<#_n	<#_n	1.0
<#_kʰ	<#_k	1.0
r	ɾ	0.909
n	n	0.826
ɛ	ə	0.818
ŋ	ŋ	0.818
ˈɛ	-	0.8
ʉ	ə	0.8
ˈɑːu̯	ˈyː	0.75
ˈɑ	ˈɑ	0.75
nː	n	0.75
k	k	0.75
ˈɑːi̯	ˈi	0.714
ˈæ	-	0.714
ˈʉːə̯	ˈuə̯	0.692
ˈʉə̯	ˈoː	0.667
ð	d̥	0.632
v	v̥	0.625
ˈʏː	ˈiə̯	0.6
ˈɪ	ˈɪ	0.6
<#	<#_ˈɑ	0.6
ˈiːe̯	ˈɛː	0.571
tː	h_t	0.571
s	z	0.568
ˈɑː	ˈɑ	0.556
ɣ	ɦ	0.545
ɑ	n	0.536
ˈʏ	ˈœ	0.5
ˈʏ	-	0.5
ˈʉː	-	0.5
ˈæː	ˈoː	0.5
ˈæː	-	0.5
ɡː	ɦ_ə	0.5
ɡː	-	0.5
ɑ	ə	0.464
ˈʉ	ˈu	0.462
ɣ	ɦ̥	0.455
ˈɪː	ˈi	0.444
ˈɔː	ˈɒː	0.444
ˈɑː	ˈɒː	0.444
ˈiːe̯	-	0.429
tː	t	0.429
j	-	0.429
#>	ə_#>	0.414
ˈʏː	-	0.4
ʨ	k	0.4
ʨ	h	0.4
<#	<#_j	0.4
v	v	0.375
j	ˈæ	0.357
ˈʉə̯	-	0.333
ˈɪː	ˈiə̯	0.333
ˈɔː	w	0.333
s	s	0.295
ˈɑːi̯	-	0.286
ˈæ	ˈeː	0.286
ˈʉː	ˈøː	0.25
ˈʉː	ˈyː	0.25
ˈɑːu̯	-	0.25
ˈɑ	ˈɒː	0.25
nː	ɾ_n	0.25
k	-	0.25
ˈʉ	ˈœ	0.231
ˈɪː	ˈeː	0.222
ˈɔː	-	0.222
j	ˈiə̯	0.214
#>	n_#>	0.207
ˈɪ	ˈɛ	0.2
ˈɪ	-	0.2
ˈɛ	ˈæ	0.2
ʨ	-	0.2
ʉ	ɪ	0.2
ɛ	-	0.182
ŋ	-	0.182
n	-	0.174
ð	-	0.158
ˈʉːə̯	ˈiə̯	0.154
ˈʉːə̯	w	0.154
ˈʉ	ˈɔ	0.154
ˈʉ	ˈoː	0.154
#>	ɾ_#>	0.138
#>	d̥_#>	0.138
s	ʃ	0.136
ð	d_ə	0.105
ð	d	0.105
#>	ɦ̥_#>	0.103
r	ˈæ_ɾ	0.091
