Old English	Limburgish	probability
a	-	1.0
b	b	0.98
bː	b	1.0
d	t	0.455
d	d	0.327
d	-	0.183
dː	j	1.0
e	ə	0.479
e	ˈɔu̯	0.248
e	j	0.143
e	ˈi	0.09
eo̯	ə	1.0
f	v	0.701
f	f	0.228
h	ɦ	0.948
h	k	0.052
i	ɪ	0.41
i	-	0.37
i	ə	0.219
iː	ə	1.0
iːy̯	i	1.0
j	ɣ	0.393
j	x	0.281
j	-	0.162
j	ŋ	0.091
j	j	0.073
k	k	0.891
k	ə_k	0.07
kː	k	1.0
l	l	0.97
lː	l	1.0
l̥	l	1.0
m	m	0.817
m	ə_m	0.141
mː	m	1.0
n	n	0.765
n	-	0.235
nː	n	1.0
o	ə	0.807
o	-	0.174
p	p	0.95
p	ə_p	0.05
pː	p	1.0
r	ʀ	0.974
rː	ʀ	1.0
r̥	ʀ	1.0
s	z	0.556
s	s	0.444
t	t	0.908
t	j	0.052
tː	t	1.0
v	v	0.667
v	f	0.215
v	-	0.118
w	β	0.728
w	-	0.145
w	ˈɔː	0.086
x	x	1.0
z	s	0.619
z	z	0.191
z	ʀ	0.191
ç	x	0.806
ç	-	0.194
ð	-	0.411
ð	d	0.294
ð	t	0.294
ŋ	ŋ	1.0
ɑ	ə	0.923
ɑ	-	0.077
ɡ	ɣ	0.53
ɡ	-	0.283
ɡ	k	0.187
ɣ	ɣ	0.434
ɣ	x	0.306
ɣ	ə_x	0.244
ɫ	l	0.467
ɫ	j	0.229
ɫ	β	0.114
ɫ	ə_l	0.085
ɫ	n	0.082
ʃ	ʃ	0.686
ʃ	s	0.257
ʃ	-	0.057
ʃː	s	1.0
ʍ	β	1.0
ʤ	k	0.83
ʤ	x	0.17
ʤː	ɡ	1.0
ʧ	k	0.953
ʧː	k	1.0
ˈe	ˈeː	0.548
ˈe	-	0.184
ˈe	ˈɛ	0.159
ˈeo̯	ˈeː	0.369
ˈeo̯	ˈæː	0.298
ˈeo̯	ˈɑ	0.171
ˈeo̯	ˈaː	0.114
ˈeː	ˈøː	0.631
ˈeː	ˈɪː	0.11
ˈeː	ˈeː	0.103
ˈeː	ˈɔː	0.06
ˈeː	ˈi	0.052
ˈeːo̯	ˈeː	0.496
ˈeːo̯	ˈiː	0.148
ˈeːo̯	-	0.112
ˈeːo̯	ˈʏː	0.073
ˈi	ˈɪː	0.474
ˈi	ˈeː	0.096
ˈi	ˈɛː	0.09
ˈi	ɪː	0.062
ˈi	ˈɛ	0.054
ˈiy̯	ˈɑ	0.474
ˈiy̯	ˈeː	0.397
ˈiy̯	ˈɛː	0.129
ˈiː	ˈiː	0.777
ˈiː	ˈɪ	0.105
ˈiː	ˈɛ	0.077
ˈiːy̯	ˈi	0.284
ˈiːy̯	ˈu	0.204
ˈiːy̯	ˈyː	0.177
ˈiːy̯	ˈøː	0.175
ˈiːy̯	ˈœi̯	0.161
ˈo	ˈʊː	0.503
ˈo	ˈœː	0.131
ˈo	ˈɔ	0.126
ˈo	ˈøː	0.088
ˈo	ˈɔː	0.077
ˈoː	ˈʊː	0.299
ˈoː	ˈɔ	0.197
ˈoː	ˈɒː	0.178
ˈoː	ˈɑː	0.13
ˈoː	ˈøː	0.085
ˈoː	ˈoː	0.064
ˈu	ˈʊː	0.486
ˈu	ˈɔ	0.162
ˈu	ˈoː	0.104
ˈu	ˈɪ	0.085
ˈu	ˈʊ	0.085
ˈu	ˈɔː	0.079
ˈuː	ˈuː	0.78
ˈuː	ˈɔu̯	0.084
ˈuː	ˈʏː	0.054
ˈy	ˈœ	0.301
ˈy	ˈøː	0.256
ˈy	ˈœː	0.158
ˈy	ˈʏ	0.146
ˈy	ˈɔ	0.1
ˈyː	ˈyː	0.474
ˈyː	ˈœi̯	0.265
ˈyː	ˈuː	0.13
ˈyː	ˈɪː	0.13
ˈæ	ˈaː	0.608
ˈæ	ˈɑ	0.307
ˈæ	ˈɑː	0.061
ˈæɑ̯	ˈaː	0.435
ˈæɑ̯	ˈæː	0.26
ˈæɑ̯	ˈɑ	0.19
ˈæɑ̯	ˈæ	0.066
ˈæː	ˈɒː	0.712
ˈæː	ˈɛːi̯	0.123
ˈæː	ˈi	0.105
ˈæːɑ̯	ˈu	0.314
ˈæːɑ̯	ˈɔː	0.201
ˈæːɑ̯	ˈɒː	0.197
ˈæːɑ̯	ˈyː	0.072
ˈæːɑ̯	ˈʊː	0.058
ˈæːɑ̯	ˈuː	0.057
ˈɑ	ˈaː	0.513
ˈɑ	ˈɑː	0.294
ˈɑ	ˈɒː	0.167
ˈɑː	ˈɛː	0.57
ˈɑː	ˈi	0.238
ˈɑː	ˈʊː	0.128
ˈɑː	ˈɛːi̯	0.064
ˈɛ	ˈɑ	0.912
ˈɛ	ˈæː	0.088
θ	d	0.708
θ	t	0.254
