Bavarian	Saterland Frisian	probability
a	ə	0.784
a	-	0.081
a	ˈuː	0.069
a	r	0.066
b̥	b	0.704
b̥	-	0.178
b̥	v	0.07
d	d	1.0
d̥	d	0.741
d̥	t	0.194
d̥	-	0.064
eɐ̯	i	1.0
f	f	0.692
f	p	0.194
h	h	0.953
i	ɪ	0.547
i	l	0.453
j	l	0.862
j	j	0.138
k	k	0.591
k	x	0.285
k	-	0.124
kʰ	k	0.726
kʰ	s	0.232
l	l	0.868
l	-	0.082
m	m	0.784
m	v	0.096
n	n	0.592
n	ə	0.272
n	-	0.054
n	j_ə	0.05
p	p	0.905
p	-	0.095
p͡f	p	0.929
p͡f	d	0.071
r	r	0.885
s	s	0.579
s	t	0.319
s	z	0.069
t	d	0.533
t	t	0.437
x	k	0.535
x	x	0.465
ç	k	1.0
ŋ	ŋ	0.772
ŋ	n	0.155
ŋ	ɣ	0.073
ɐ	r	0.72
ɐ	-	0.191
ɐ	ə	0.09
ə	ə	1.0
ɡ̊	ɣ	0.534
ɡ̊	-	0.179
ɡ̊	x	0.13
ɡ̊	ɡ	0.079
ɪ	-	1.0
ʃ	s	1.0
ʋ	v	0.986
ʦ	t	1.0
ˈa	ˈoːu̯	0.199
ˈa	ˈɛː	0.181
ˈa	ˈɪ	0.175
ˈa	ˈoː	0.158
ˈa	j	0.136
ˈa	ˈɔ	0.11
ˈai̯	ˈi	0.227
ˈai̯	ˈɛɪ̯	0.179
ˈai̯	ˈiː	0.108
ˈai̯	ˈyː	0.107
ˈai̯	j_ˈuː	0.105
ˈai̯	j	0.095
ˈai̯	ˈɛ	0.064
ˈau̯	ˈuː	0.555
ˈau̯	ˈu	0.163
ˈau̯	ˈɛɪ̯	0.119
ˈau̯	ˈøː	0.115
ˈaː	ˈoː	0.619
ˈaː	ˈuː	0.18
ˈaː	ˈaː	0.087
ˈaː	ˈa	0.059
ˈe	ˈeː	0.25
ˈe	ˈa	0.219
ˈe	ˈʊ	0.119
ˈe	ˈɛɪ̯	0.105
ˈe	ˈɛ	0.098
ˈe	ˈiː	0.098
ˈe	ˈaː	0.058
ˈeɐ̯	ˈiː	0.255
ˈeɐ̯	ˈoːu̯	0.255
ˈeɐ̯	j	0.245
ˈeɐ̯	ˈɛɪ̯	0.245
ˈeː	ˈi	0.321
ˈeː	ˈɛɪ̯	0.223
ˈeː	ˈoː	0.195
ˈeː	ˈeːu̯	0.111
ˈeː	ˈeː	0.102
ˈi	ˈɪ	0.391
ˈi	ˈiː	0.245
ˈi	ˈi	0.13
ˈi	ˈʊ	0.073
ˈiɐ̯	j	0.651
ˈiɐ̯	ˈɛɪ̯	0.155
ˈiɐ̯	ˈʊ	0.123
ˈiɐ̯	ˈi	0.071
ˈiː	ˈoː	0.582
ˈiː	a	0.181
ˈiː	ˈɛː	0.171
ˈiː	ˈɪ	0.067
ˈo	ˈoːu̯	0.298
ˈo	ˈoː	0.203
ˈo	ˈʊ	0.111
ˈo	ˈɔː	0.094
ˈo	ˈuː	0.092
ˈo	ˈaː	0.072
ˈo	ˈɛ	0.066
ˈou̯	ˈoː	1.0
ˈoɐ̯	ˈeː	0.299
ˈoɐ̯	ˈoː	0.265
ˈoɐ̯	ˈoːu̯	0.16
ˈoɐ̯	ˈiː	0.083
ˈoɐ̯	ˈɔ	0.061
ˈoɐ̯	ˈɔːɪ̯	0.057
ˈoː	ˈoːu̯	0.263
ˈoː	ˈɛ	0.225
ˈoː	ˈɔː	0.184
ˈoː	ˈaːi̯	0.106
ˈoː	ˈɛɪ̯	0.106
ˈoː	ˈuː	0.058
ˈoː	-	0.058
ˈu	ˈʊ	0.245
ˈu	ˈuː	0.22
ˈu	ˈɔː	0.169
ˈu	ˈɛː	0.125
ˈu	-	0.12
ˈu	ˈɛɪ̯	0.12
ˈuɐ̯	ˈoːu̯	0.532
ˈuɐ̯	ˈuː	0.175
ˈuɐ̯	ˈɛɪ̯	0.152
ˈuɐ̯	ˈɔː	0.089
ˈuɐ̯	ˈu	0.052
ˈy	ˈuː	1.0
ˈɑː	ˈiː	1.0
ˈɒ	ˈɔː	0.536
ˈɒ	ˈɛ	0.245
ˈɒ	ˈoː	0.219
ˈɒː	ˈɛ	0.369
ˈɒː	ˈiː	0.357
ˈɒː	ˈɔː	0.19
ˈɒː	ˈɔ	0.083
ˈɔ	ˈoːu̯	0.427
ˈɔ	ˈɔ	0.214
ˈɔ	ˈoː	0.105
ˈɔ	ˈa	0.081
ˈɔ	ˈɔː	0.081
ˈɛ	ˈɔː	0.282
ˈɛ	ˈeː	0.276
ˈɛ	ˈɛɪ̯	0.136
ˈɛ	ˈuː	0.102
ˈɛ	ˈi	0.071
ˈɛ	ˈaːi̯	0.063
ˈɛː	ˈeː	0.735
ˈɛː	ˈoː	0.265
ˈʏ	ˈɛː	0.794
ˈʏ	ˈɔ	0.206
