Megleno-Romanian	Asturian	probability
d	d	1.0
e̯ˈa	ˈe	1.0
f	f	1.0
kʲ	p	1.0
o̯ˈa	w	1.0
z	d	1.0
ʎ	-	1.0
ʒ	ʃ	1.0
ʧ	θ	1.0
ˈɔ	ˈa	1.0
k	ɣ	0.091
l	-	0.1
n	ɲ	0.051
p	-	0.271
t	t	0.311
w	ˈe	0.211
ə	e	0.101
ʦ	θ	0.891
ˈo	w_ˈe	0.481
ˈu	ˈo	0.601
j	β_j	0.112
j	-	0.642
l	l	0.142
l	ʎ	0.592
m	m	0.832
p	p	0.542
s	s	0.812
u	u	0.792
v	b_j	0.512
ɡ	ɡ	0.392
ˈo	w	0.202
p	β	0.063
p	u_#>	0.093
t	ð	0.163
ˈi	ˈi	0.423
ˈu	ˈi	0.073
b	-	0.154
n	-	0.134
t	t_u	0.104
ʃ	ʃ	0.384
ˈa	j_ˈe	0.094
ˈa	ˈe	0.24
ˈi	ˈe	0.34
a	a	0.495
a	l	0.505
i	j	0.095
r	ɾ	0.885
ə	a	0.755
ˈe	j_ˈe	0.075
ˈe	ˈe	0.925
ˈu	ˈu	0.325
i	u	0.116
j	ɟ͡ʝ	0.246
k	-	0.26
l	ʎ_u	0.166
t	ʧ	0.086
u	o	0.106
ʦ	-	0.06
ˈi	j_ˈe	0.216
ə	u	0.057
ʃ	θ	0.217
ˈo	ˈo	0.317
b	β	0.448
k	k	0.558
m	-	0.168
n	n	0.588
t	-	0.308
u	a	0.08
v	b	0.488
ə	-	0.088
ɡ	-	0.608
b	b	0.399
i	e	0.789
k	ɣ_u	0.09
n	n_u	0.109
n	ŋ	0.119
s	s_u	0.179
w	-	0.789
ʃ	s	0.399
ˈa	ˈa	0.619
