Danish	Danish	probability
ˈʌˀ	-	1.0
ˈɶˀ	ˈʏ	1.0
ˈɶ	-	1.0
ˈɛː	-	1.0
ˈɔː	-	1.0
ˈɔ	ˈʊ	1.0
ˈɒˀ	-	1.0
ˈɑː	-	1.0
ˈɑˀ_j	ɡ̊	1.0
ˈɑˀ	ˈa_ɐ	1.0
ˈœː	ˈɛ	1.0
ˈø	ˈʏ	1.0
ˈæː	ˈa	1.0
ˈæˀ	ˈaː	1.0
ˈæ	-	1.0
ˈyː	ˈiː	1.0
ˈy	-	1.0
ˈuː	-	1.0
ˈoː	-	1.0
ˈi	ˈɪ	1.0
ˈaː	-	1.0
ʨ	d	1.0
ʌ	ɐ	1.0
ʁ	ʁ	1.0
ə_#>	#>	1.0
ɕ	z_ˈeː	1.0
ɐˀ	ɐ	1.0
ɐ_d̥	ɐ_ʦ	1.0
ŋˀ	ŋ	1.0
ð̞ˠ_ə	t_n	1.0
w_ə	b_n	1.0
s_ɡ̊	ʃ	1.0
s_l	ʃ_l	1.0
s_d̥	s_t	1.0
s_#>	z̥_#>	1.0
pʰ	p͡f	1.0
m	m	1.0
l_#>	l_#>	1.0
l	l	1.0
kʰ	kʰ	1.0
jˀ	ɡ	1.0
j_#>	x_#>	1.0
i	ɪ	1.0
h	h	1.0
f	f	1.0
b̥_#>	f_#>	1.0
<#_ˈʌ	<#_ˈaʊ̯	1.0
<#_ˈeˀ	<#_ˈaɪ̯	1.0
<#_n	<#_n	1.0
ɐ	ɐ	0.846
b̥	b	0.833
ʋ	v	0.783
lˀ	l	0.769
ˈe	ˈɪ	0.765
n	n	0.759
ˈœ	-	0.727
ˈu	ˈɔ	0.714
ˈuˀ	ˈaʊ̯	0.7
ˈoˀ	ˈuː	0.7
ˈa	ˈa	0.692
ˈɛˀ	-	0.667
ʦʰ	d	0.632
ˈyˀ	ˈiː	0.625
ŋ	ŋ	0.6
<#	<#_v	0.6
ˈiˀ	ˈaɪ̯	0.583
s	z	0.583
ˈo	ˈɔ	0.571
ˈiː	-	0.571
n_ə	n	0.571
nˀ	n	0.538
ð̞ˠ	s	0.533
ˈɔˀ	ˈaː	0.5
ˈeˀ	ˈaɪ̯	0.5
ə	ə	0.5
d̥	tʰ	0.467
ɡ̊	ɡ	0.464
nˀ	n_d̥	0.462
ˈɑ	ˈa	0.455
ˈʌ	-	0.444
#>	n_#>	0.444
ˈo	-	0.429
ˈiː	ˈaɪ̯	0.429
n_ə	n_ə	0.429
ˈœˀ	ˈoː	0.4
ŋ	-	0.4
ð̞ˠ	t	0.4
ˈɛ	ˈɛ	0.375
ˈɛ	ˈa	0.375
ˈyˀ	ˈɔʏ̯	0.375
ə	n	0.37
ʦʰ	ʦ	0.368
ˈɑ	-	0.364
s	ʃ	0.361
j	-	0.357
ˈʌ	ˈa	0.333
ˈɛˀ	ˈaɪ̯	0.333
ˈøː	ˈøː	0.333
ˈøː	ˈuː	0.333
ˈøː	-	0.333
ɡ̊	k	0.321
ˈa	ˈaː	0.308
ˈɔˀ	-	0.3
ˈuˀ	-	0.3
ˈoˀ	-	0.3
ˈu	ˈʊ	0.286
j	ç	0.286
ˈœ	ˈʏ	0.273
w	ɡ̊	0.273
d̥	t	0.267
ˈɛ	-	0.25
ˈiˀ	n	0.25
ˈeˀ	ˈeː	0.25
ˈeˀ	-	0.25
ˈe	ˈɛ	0.235
lˀ	l_d̥	0.231
ˈʌ	ˈɔ	0.222
#>	ɐ_#>	0.222
j	h	0.214
ˈɔˀ	ˈa	0.2
ˈœˀ	ˈyː	0.2
ˈœˀ	ˈaʊ̯	0.2
ˈœˀ	-	0.2
<#	<#_ˈa	0.2
<#	<#_j	0.2
ˈɑ	ˈɪ	0.182
w	ɡ	0.182
w	x	0.182
w	b̥	0.182
w	b	0.182
ˈiˀ	ˈiː	0.167
b̥	f	0.167
#>	ç_#>	0.167
j	ˈɛ	0.143
n	n_d	0.138
d̥	ʦ	0.133
d̥	x_t	0.133
ʋ	-	0.13
#>	d̥_#>	0.111
ɡ̊	ç	0.107
ɡ̊	-	0.107
n	-	0.103
ʋ	v_ˈɪ	0.087
ə	-	0.087
ɐ	ʁ_ə	0.077
ɐ	ə	0.077
ð̞ˠ	d̥	0.067
s	t	0.056
#>	f_#>	0.056
